cluster,word1,word2,pair_count,pmi,matched_seed
covenant_cluster,smlouva,učinit,84,9.031,smlouva
covenant_cluster,soud,ustanovení,60,10.952,soud
covenant_cluster,soud,spravedlnost,59,10.16,soud
covenant_cluster,ostříhat,ustanovení,56,11.01,ustanovení
covenant_cluster,smlouva,truhlo,36,10.787,smlouva
covenant_cluster,svědectví,vydávat,32,11.894,svědectví
covenant_cluster,přikázaní,ustanovení,29,11.361,ustanovení
covenant_cluster,mojžíšův,zákon,20,11.286,zákon
covenant_cluster,smlouva,zrušit,18,11.888,smlouva
covenant_cluster,melchisedechův,řád,8,16.225,řád
covenant_cluster,pronárod,ustanovení,8,12.911,ustanovení
covenant_cluster,křivý,svědectví,8,12.421,svědectví
covenant_cluster,falešný,svědek,7,12.662,svědek
covenant_cluster,ustanovení,vyuč,7,12.612,ustanovení
covenant_cluster,dědičný,právo,6,13.038,právo
covenant_cluster,právo,příbuznost,5,13.534,právo
