cluster,word1,word2,pair_count,pmi,matched_seed
creation_cluster,hospodin,země,706,6.456,země
creation_cluster,den,hospodin,488,6.325,den
creation_cluster,egyptský,země,244,8.787,země
creation_cluster,nebe,země,193,8.336,nebe
creation_cluster,den,měsíc,132,8.78,den
creation_cluster,den,noc,114,8.723,den
creation_cluster,den,sedmý,77,9.384,den
creation_cluster,den,dnešní,58,10.056,den
creation_cluster,studnice,voda,41,10.46,voda
creation_cluster,světlo,tma,31,12.232,světlo
creation_cluster,umýt,voda,27,11.11,voda
creation_cluster,světlo,temnota,20,12.237,světlo
creation_cluster,voda,zpézt,18,11.325,voda
creation_cluster,nebe,sstupující,15,11.67,nebe
creation_cluster,nebe,vyslýchát,12,11.965,nebe
creation_cluster,mrákota,tma,9,12.838,tma
creation_cluster,svítit,světlo,9,12.196,světlo
creation_cluster,stín,temnota,8,12.286,temnota
