cluster,word1,word2,pair_count,pmi,matched_seed
cultic_cluster,obětovat,oběť,244,10.466,obětovat
cultic_cluster,oběť,zápalný,160,11.285,oběť
cultic_cluster,oběť,suchý,129,11.035,oběť
cultic_cluster,hřích,oběť,110,9.229,oběť
cultic_cluster,oběť,pokojný,85,10.932,oběť
cultic_cluster,kněz,vysoký,85,9.698,kněz
cultic_cluster,kněz,přední,83,9.912,kněz
cultic_cluster,obětovat,zápalný,69,11.115,obětovat
cultic_cluster,oběť,ohnivý,65,10.731,oběť
cultic_cluster,oběť,zápal,64,10.486,oběť
cultic_cluster,mokrý,oběť,58,11.356,oběť
cultic_cluster,beránek,oběť,58,10.369,beránek
cultic_cluster,oběť,skopce,58,10.308,oběť
cultic_cluster,oběť,olej,57,9.563,oběť
cultic_cluster,obětovat,suchý,49,10.681,obětovat
cultic_cluster,oběť,roční,47,11.078,oběť
cultic_cluster,obětovat,pokojný,46,11.09,obětovat
cultic_cluster,beránek,roční,45,14.033,beránek
cultic_cluster,obětovat,zápal,44,10.989,obětovat
cultic_cluster,beránek,skopce,41,12.826,beránek
cultic_cluster,oběť,vůně,40,10.637,oběť
cultic_cluster,kněz,levítová,40,10.33,kněz
cultic_cluster,biskupové,kněz,39,11.495,kněz
cultic_cluster,mouka,oběť,39,10.712,oběť
cultic_cluster,bělný,oběť,38,11.105,oběť
cultic_cluster,oltář,vzdělat,38,10.851,oltář
cultic_cluster,eleazar,kněz,38,10.692,kněz
cultic_cluster,hřích,kozel,36,11.834,kozel
cultic_cluster,oltář,zápal,36,10.797,oltář
cultic_cluster,barvený,červec,34,15.65,červec
cultic_cluster,dvakrát,červec,34,15.251,červec
cultic_cluster,suchý,zápalný,34,11.582,zápalný
cultic_cluster,oběť,zadělaný,33,11.256,oběť
cultic_cluster,oltář,pálit,29,11.572,oltář
cultic_cluster,modrý,červec,28,15.185,červec
cultic_cluster,postavec,červec,27,15.384,červec
cultic_cluster,oběť,pozdvižení,27,11.048,oběť
cultic_cluster,oběť,ustavičný,27,10.677,oběť
cultic_cluster,pokojný,zápalný,26,11.694,zápalný
cultic_cluster,mokrý,obětovat,26,11.242,obětovat
cultic_cluster,obětovat,volka,26,10.586,obětovat
cultic_cluster,biskup,kněz,24,11.259,kněz
cultic_cluster,beránek,zápalný,23,11.505,beránek
cultic_cluster,červec,šarla,22,15.726,červec
cultic_cluster,roční,zápalný,22,12.453,zápalný
cultic_cluster,oběť,spokojující,22,11.381,oběť
cultic_cluster,hedbáví,červec,21,15.166,červec
cultic_cluster,bílý,červec,21,14.11,červec
cultic_cluster,rozbít,stan,21,14.055,stan
cultic_cluster,beránek,mladý,20,11.756,beránek
cultic_cluster,lot,svatyně,20,11.137,svatyně
cultic_cluster,roucho,roztrhnout,19,12.523,roucho
cultic_cluster,lota,svatyně,19,12.436,svatyně
cultic_cluster,krev,vylit,19,11.107,krev
cultic_cluster,kadidlnice,kadidlo,18,14.2,kadidlnice
cultic_cluster,beránek,kozl,18,13.662,beránek
cultic_cluster,beránek,volka,18,12.03,beránek
cultic_cluster,stan,ven,18,11.963,stan
cultic_cluster,beránek,suchý,18,11.212,beránek
cultic_cluster,krev,pokropit,17,12.089,krev
cultic_cluster,kadidlo,olej,17,11.824,kadidlo
cultic_cluster,beránek,poškvrna,16,12.133,beránek
cultic_cluster,ustavičný,zápalný,15,12.299,zápalný
cultic_cluster,oděv,roucho,15,11.948,roucho
cultic_cluster,mokrý,zápalný,15,11.876,zápalný
cultic_cluster,udělat,červec,15,11.576,červec
cultic_cluster,kadidlnice,zlato,15,11.552,kadidlnice
cultic_cluster,kadidlo,vonný,14,13.107,kadidlo
cultic_cluster,kadidlnice,lot,14,12.887,kadidlnice
cultic_cluster,kadidlnice,plný,14,12.56,kadidlnice
cultic_cluster,kadidlo,plný,14,12.035,kadidlo
cultic_cluster,bílý,roucho,14,11.451,roucho
cultic_cluster,přesukovaný,červec,13,15.722,červec
cultic_cluster,beránek,volk,13,13.708,beránek
cultic_cluster,beránek,skopec,13,13.64,beránek
cultic_cluster,krev,kropit,13,12.38,krev
cultic_cluster,sedmdesát,svatyně,13,12.026,svatyně
cultic_cluster,deset,kadidlnice,13,11.878,kadidlnice
cultic_cluster,stan,vně,13,11.741,stan
cultic_cluster,dílo,červec,13,11.588,červec
cultic_cluster,roční,volek,12,15.09,volek
cultic_cluster,mladý,volek,12,13.982,volek
cultic_cluster,volek,zápalný,12,13.53,volek
cultic_cluster,mladý,skopec,12,13.43,skopec
cultic_cluster,báň,svatyně,12,13.145,svatyně
cultic_cluster,skopec,zápalný,12,12.977,skopec
cultic_cluster,svatyně,ztížit,12,12.84,svatyně
cultic_cluster,kadidlo,lot,12,12.139,kadidlo
cultic_cluster,beránek,mokrý,12,12.102,beránek
cultic_cluster,kozel,suchý,12,11.825,kozel
cultic_cluster,skopec,volek,11,16.363,skopec
cultic_cluster,roční,skopec,11,14.412,skopec
cultic_cluster,beránek,volek,11,13.952,beránek
cultic_cluster,beránek,volový,11,13.611,beránek
cultic_cluster,kozel,mokrý,11,13.174,kozel
cultic_cluster,mokrý,zápal,11,11.952,zápal
cultic_cluster,náprsník,náramenník,10,15.007,náprsník
cultic_cluster,kozel,ustavičný,10,13.46,kozel
cultic_cluster,opona,svatyně,10,11.925,svatyně
cultic_cluster,kroužek,náprsník,8,15.778,náprsník
cultic_cluster,beránek,čtrnáct,8,12.814,beránek
cultic_cluster,beránek,desetina,8,12.756,beránek
cultic_cluster,kozel,očištění,7,12.82,kozel
cultic_cluster,efod,terafim,6,17.1,efod
cultic_cluster,červec,řemeslný,6,14.906,červec
cultic_cluster,roucho,roztržený,6,13.725,roucho
cultic_cluster,beránek,velikonoční,6,13.177,beránek
cultic_cluster,cedrový,červec,6,13.083,červec
cultic_cluster,kraj,náprsník,6,12.746,náprsník
cultic_cluster,krumpéřský,červec,5,15.759,červec
cultic_cluster,yzopa,červec,5,15.536,červec
cultic_cluster,vrabce,červec,5,14.759,červec
cultic_cluster,červec,šarle,5,14.536,červec
cultic_cluster,náramenník,červec,5,13.344,červec
cultic_cluster,proměnný,roucho,5,13.27,roucho
cultic_cluster,kadidlnice,uhlí,5,13.19,kadidlnice
cultic_cluster,cena,posvětit,5,13.066,posvětit
cultic_cluster,spodek,zápal,5,12.996,zápal
