cluster,word1,word2,pair_count,pmi,matched_seed
kinship_cluster,hospodin,syn,41,6.988,syn
kinship_cluster,bůh,otec,36,8.669,otec
kinship_cluster,ježíš,otec,28,9.372,otec
kinship_cluster,otec,pán,26,9.156,otec
kinship_cluster,bůh,syn,25,6.718,syn
kinship_cluster,otec,syn,18,8.181,otec
kinship_cluster,slovo,syn,18,7.844,syn
kinship_cluster,král,syn,18,7.181,syn
kinship_cluster,milost,otec,17,9.771,otec
kinship_cluster,pán,syn,17,7.118,syn
kinship_cluster,otec,pokoj,15,10.503,otec
kinship_cluster,ježíš,syn,15,7.047,syn
kinship_cluster,kristus,otec,14,8.537,otec
kinship_cluster,kněz,syn,14,8.394,syn
kinship_cluster,syn,země,13,6.517,syn
kinship_cluster,jméno,syn,11,8.195,syn
kinship_cluster,den,syn,10,6.515,syn
kinship_cluster,jozue,syn,9,9.522,syn
kinship_cluster,kristus,syn,9,6.475,syn
kinship_cluster,izraelští,syn,8,10.09,syn
kinship_cluster,milosrdenství,otec,8,9.73,otec
kinship_cluster,dnů,syn,8,8.452,syn
kinship_cluster,boží,syn,8,6.833,syn
kinship_cluster,léta,syn,7,8.543,syn
kinship_cluster,hospodin,muž,7,7.156,muž
kinship_cluster,pokolení,tisíců,6,12.622,pokolení
kinship_cluster,porodila,syn,6,9.674,syn
kinship_cluster,judského,syn,6,9.385,syn
kinship_cluster,měsíce,syn,6,8.596,syn
kinship_cluster,syn,šalomoun,6,8.522,syn
kinship_cluster,david,syn,6,8.144,syn
kinship_cluster,dům,syn,6,7.635,syn
kinship_cluster,lidu,syn,6,7.487,syn
kinship_cluster,bůh,pokolení,6,7.244,pokolení
kinship_cluster,syn,zástupů,6,7.23,syn
kinship_cluster,pokolení,set,5,10.844,pokolení
kinship_cluster,bratr,kristus,5,10.492,bratr
kinship_cluster,bratr,ježíš,5,10.328,bratr
kinship_cluster,syn,člověčí,5,10.259,syn
kinship_cluster,počala,syn,5,9.774,syn
kinship_cluster,aronovi,syn,5,9.774,syn
kinship_cluster,otec,šalomoun,5,9.684,otec
kinship_cluster,kralovati,syn,5,9.411,syn
kinship_cluster,syn,šalomouna,5,9.411,syn
kinship_cluster,davida,syn,5,9.411,syn
kinship_cluster,dnes,syn,5,8.996,syn
kinship_cluster,bratra,syn,5,8.411,syn
kinship_cluster,syn,tvého,5,8.259,syn
kinship_cluster,muž,země,5,7.857,muž
kinship_cluster,syn,viděl,5,7.723,syn
kinship_cluster,pokolení,země,5,7.723,pokolení
kinship_cluster,krev,syn,5,7.674,syn
kinship_cluster,milosrdenství,syn,5,7.627,syn
kinship_cluster,pokolení,syn,5,7.494,pokolení
kinship_cluster,mluvil,syn,5,7.452,syn
kinship_cluster,svém,syn,5,7.296,syn
kinship_cluster,potom,syn,5,7.296,syn
kinship_cluster,lid,syn,5,7.027,syn
kinship_cluster,král,otec,5,6.758,otec
kinship_cluster,milost,syn,5,6.581,syn
kinship_cluster,duch,syn,5,6.296,syn
kinship_cluster,hospodin,otec,5,5.377,otec
