cluster,word1,word2,pair_count,pmi,matched_seed
moral_cluster,hospodin,zlý,14,8.156,zlý
moral_cluster,bůh,milosrdenství,12,8.378,milosrdenství
moral_cluster,láska,víra,11,11.051,láska
moral_cluster,bůh,zlý,11,8.252,zlý
moral_cluster,bůh,dobrý,11,8.162,dobrý
moral_cluster,hospodin,milosrdenství,11,7.808,milosrdenství
moral_cluster,milosrdenství,pán,10,9.071,milosrdenství
moral_cluster,země,zlý,9,8.705,zlý
moral_cluster,milosrdenství,otec,8,9.73,milosrdenství
moral_cluster,ježíš,milosrdenství,8,8.859,milosrdenství
moral_cluster,dobrý,viděl,7,10.837,dobrý
moral_cluster,pravda,slovo,7,8.869,pravda
moral_cluster,láska,pán,7,8.756,láska
moral_cluster,dobrý,zlý,6,10.518,dobrý
moral_cluster,ježíš,láska,6,8.643,láska
moral_cluster,dobrý,země,6,8.03,dobrý
moral_cluster,bůh,láska,6,7.577,láska
moral_cluster,milosrdenství,pokoj,5,10.212,milosrdenství
moral_cluster,milosrdenství,milost,5,9.3,milosrdenství
moral_cluster,kristus,láska,5,8.545,láska
moral_cluster,kristus,pravda,5,8.014,pravda
moral_cluster,milosrdenství,syn,5,7.627,milosrdenství
moral_cluster,dobrý,hospodin,5,6.58,dobrý
