cluster,word1,word2,pair_count,pmi,matched_seed
royal_cluster,hospodin,král,24,6.804,král
royal_cluster,král,syn,18,7.346,král
royal_cluster,bůh,král,17,6.751,král
royal_cluster,král,pán,13,7.32,král
royal_cluster,král,léta,12,9.91,král
royal_cluster,král,země,11,6.865,král
royal_cluster,král,vasti,10,10.849,král
royal_cluster,dnů,král,9,9.211,král
royal_cluster,domu,král,9,8.112,král
royal_cluster,asvera,král,8,10.849,král
royal_cluster,judského,král,8,10.389,král
royal_cluster,král,královského,8,10.148,král
royal_cluster,král,poslal,8,9.325,král
royal_cluster,král,učinil,8,8.563,král
royal_cluster,dal,král,8,8.294,král
royal_cluster,jakž,král,8,8.205,král
royal_cluster,kněz,král,8,8.176,král
royal_cluster,král,slovo,8,7.264,král
royal_cluster,král,rozkázal,7,10.197,král
royal_cluster,král,šalomoun,7,9.334,král
royal_cluster,král,pročež,7,8.702,král
royal_cluster,buď,král,7,8.612,král
royal_cluster,král,mého,7,8.568,král
royal_cluster,král,všecky,7,7.798,král
royal_cluster,což,král,7,7.056,král
royal_cluster,král,sen,6,10.112,král
royal_cluster,král,živ,6,9.849,král
royal_cluster,král,stolici,6,9.434,král
royal_cluster,král,měsíce,6,9.186,král
royal_cluster,david,král,6,8.733,david
royal_cluster,syn,šalomoun,6,8.687,šalomoun
royal_cluster,král,království,6,8.679,král
royal_cluster,david,syn,6,8.309,david
royal_cluster,král,ním,6,7.879,král
royal_cluster,hospodin,šalomoun,6,7.73,šalomoun
royal_cluster,hospodin,království,6,7.297,království
royal_cluster,král,královna,5,10.586,král
royal_cluster,král,nátan,5,10.363,král
royal_cluster,král,žen,5,10.363,král
royal_cluster,davidovi,král,5,10.171,král
royal_cluster,král,šalomouna,5,10.001,král
royal_cluster,davida,král,5,10.001,král
royal_cluster,otec,šalomoun,5,9.849,šalomoun
royal_cluster,král,oblíčej,5,9.849,král
royal_cluster,království,všecky,5,9.806,království
royal_cluster,král,ustanovil,5,9.711,král
royal_cluster,jeruzalémě,král,5,8.711,král
royal_cluster,jeruzaléma,král,5,8.711,král
royal_cluster,král,věky,5,8.416,král
royal_cluster,král,nechť,5,8.363,král
royal_cluster,bůh,království,5,7.479,království
royal_cluster,david,hospodin,5,7.089,david
royal_cluster,král,otec,5,6.923,král
royal_cluster,den,král,5,6.104,král
