cluster,word1,word2,pair_count,pmi,matched_seed
salvation_cluster,mrtvý,tělo,49,9.692,mrtvý
salvation_cluster,věčný,život,46,10.005,věčný
salvation_cluster,mrtvý,vstát,38,10.913,mrtvý
salvation_cluster,poslední,první,34,11.854,poslední
salvation_cluster,milosrdenství,věčný,32,10.358,věčný
salvation_cluster,mrtvý,vzkřísit,22,12.39,mrtvý
salvation_cluster,evangelium,kázat,20,12.333,evangelium
salvation_cluster,hřích,odpuštění,15,11.658,odpuštění
salvation_cluster,zplození,živý,14,12.053,živý
salvation_cluster,mrtvý,vzkříšení,13,11.712,mrtvý
salvation_cluster,mrtvý,vstání,8,13.141,mrtvý
salvation_cluster,evangelium,kázaný,7,13.293,evangelium
salvation_cluster,pronárod,věčný,7,12.563,věčný
salvation_cluster,mrtvý,vstaný,6,13.141,mrtvý
salvation_cluster,odpuštění,pokání,5,13.174,odpuštění
