cluster,word1,word2,pair_count,pmi,matched_seed
theological_cluster,ježíš,kristus,74,10.233,ježíš
theological_cluster,bůh,hospodin,71,7.432,bůh
theological_cluster,hospodin,země,58,7.882,hospodin
theological_cluster,ježíš,pán,54,9.504,ježíš
theological_cluster,hospodin,zástupů,49,9.467,hospodin
theological_cluster,bůh,ježíš,42,8.185,bůh
theological_cluster,hospodin,syn,41,7.152,hospodin
theological_cluster,hospodin,slovo,38,8.13,hospodin
theological_cluster,bůh,otec,36,8.834,bůh
theological_cluster,bůh,pán,35,7.812,bůh
theological_cluster,bůh,země,33,7.513,bůh
theological_cluster,den,hospodin,31,7.355,hospodin
theological_cluster,ježíš,milost,28,9.785,ježíš
theological_cluster,ježíš,otec,28,9.537,ježíš
theological_cluster,hospodin,oběť,28,8.631,hospodin
theological_cluster,otec,pán,26,9.32,pán
theological_cluster,bůh,kristus,26,7.658,bůh
theological_cluster,bůh,syn,25,6.883,bůh
theological_cluster,bůh,milost,24,8.497,bůh
theological_cluster,hospodin,král,24,6.804,hospodin
theological_cluster,milost,pán,21,9.26,milost
theological_cluster,domu,hospodin,20,7.882,hospodin
theological_cluster,kristus,pán,19,8.161,kristus
theological_cluster,hospodin,kněz,19,8.043,hospodin
theological_cluster,boží,ježíš,18,8.721,ježíš
theological_cluster,bůh,dal,18,8.527,bůh
theological_cluster,budu,hospodin,18,8.352,hospodin
theological_cluster,slovo,syn,18,8.009,slovo
theological_cluster,milost,pokoj,17,11.097,milost
theological_cluster,milost,otec,17,9.936,milost
theological_cluster,pán,syn,17,7.283,pán
theological_cluster,bůh,král,17,6.751,bůh
theological_cluster,ježíš,pokoj,16,9.89,ježíš
theological_cluster,pokoj,pán,16,9.78,pán
theological_cluster,kristus,milost,16,9.142,kristus
theological_cluster,bůh,pokoj,16,8.824,bůh
theological_cluster,boží,kristus,16,8.716,kristus
theological_cluster,ježíš,syn,15,7.212,ježíš
theological_cluster,kristus,otec,14,8.702,kristus
theological_cluster,bůh,učinil,14,8.434,bůh
theological_cluster,hospodin,zlý,14,8.32,hospodin
theological_cluster,hospodin,zdaliž,14,8.187,hospodin
theological_cluster,bůh,slovo,14,7.134,bůh
theological_cluster,slovo,řkoucí,13,11.512,slovo
theological_cluster,kristus,pavel,13,10.673,kristus
theological_cluster,ježíš,pavel,13,10.508,ježíš
theological_cluster,hospodin,řkoucí,13,9.467,hospodin
theological_cluster,ježíš,víra,13,9.093,ježíš
theological_cluster,bůh,svému,13,8.364,bůh
theological_cluster,dal,hospodin,13,7.613,hospodin
theological_cluster,král,pán,13,7.32,pán
theological_cluster,hospodin,toho,13,6.613,hospodin
theological_cluster,což,hospodin,13,6.568,hospodin
theological_cluster,bůh,milosrdenství,12,8.542,bůh
theological_cluster,hospodin,poslal,12,8.529,hospodin
theological_cluster,hospodin,vašich,12,8.467,hospodin
theological_cluster,duch,pán,12,8.167,duch
theological_cluster,hospodin,mluvil,12,7.923,hospodin
theological_cluster,hospodin,ním,12,7.498,hospodin
theological_cluster,hospodin,lid,12,7.498,hospodin
theological_cluster,bůh,což,12,6.897,bůh
theological_cluster,bůh,den,12,6.431,bůh
theological_cluster,láska,víra,11,11.216,víra
theological_cluster,kristus,víra,11,9.017,kristus
theological_cluster,boží,slovo,11,8.545,slovo
theological_cluster,hospodin,tvá,11,8.467,hospodin
theological_cluster,bůh,zlý,11,8.417,bůh
theological_cluster,bůh,dobrý,11,8.327,bůh
theological_cluster,hospodin,milosrdenství,11,7.972,hospodin
theological_cluster,hospodin,více,11,7.882,hospodin
theological_cluster,bůh,víra,11,7.786,bůh
theological_cluster,dům,hospodin,11,7.717,hospodin
theological_cluster,hospodin,učinil,11,7.641,hospodin
