cluster,word1,word2,pair_count,pmi,matched_seed
war_cluster,hrazený,město,45,10.778,město
war_cluster,město,ves,41,9.962,město
war_cluster,hlad,meč,39,10.864,meč
war_cluster,hejtman,vojsko,31,10.782,vojsko
war_cluster,meč,zbitý,25,11.246,meč
war_cluster,meč,mor,24,11.822,meč
war_cluster,meč,ostrost,22,12.421,meč
war_cluster,boj,výše,19,12.16,boj
war_cluster,boj,dome,18,11.266,boj
war_cluster,boj,dvadcítiletý,12,12.617,boj
war_cluster,boj,načtený,11,12.623,boj
war_cluster,kořist,loupež,11,12.337,kořist
war_cluster,meč,neobřezance,11,12.137,meč
war_cluster,pavéza,štít,9,14.073,štít
war_cluster,kareachův,vojsko,9,12.55,vojsko
war_cluster,boj,způsobní,8,13.096,boj
war_cluster,meč,pošev,8,12.315,meč
war_cluster,boj,padesátiletý,6,13.333,boj
war_cluster,boj,třidcítiletý,6,13.333,boj
war_cluster,brána,hořejší,6,12.903,brána
war_cluster,dělit,kořist,5,13.462,kořist
war_cluster,bitva,sšikovat,5,13.136,bitva
