cluster,word1,word2,pair_count,pmi,matched_seed
wisdom_cluster,celý,srdce,55,10.051,srdce
wisdom_cluster,moudrost,umění,29,11.729,moudrost
wisdom_cluster,moudrost,rozumnost,27,12.542,moudrost
wisdom_cluster,blázen,moudrý,23,11.684,blázen
wisdom_cluster,moudrost,opatrnost,15,12.564,moudrost
wisdom_cluster,rozumnost,umění,13,12.598,rozumnost
wisdom_cluster,blázen,bláznovství,12,12.498,blázen
wisdom_cluster,achitofelův,rada,6,13.69,rada
wisdom_cluster,učení,zdravý,6,13.019,učení
wisdom_cluster,přísloví,užívat,6,12.703,přísloví
