file_name,sentence_count,avg_tree_depth,max_tree_depth,avg_clause_count
bible_BKR_1J.txt,150,3.827,9,0.833
bible_BKR_1K.txt,559,3.515,19,0.735
bible_BKR_1Kr.txt,1050,4.441,21,0.726
bible_BKR_1P.txt,92,5.109,17,0.924
bible_BKR_1Pa.txt,1003,3.847,31,0.29
bible_BKR_1S.txt,1304,3.966,13,0.709
bible_BKR_1Te.txt,82,4.256,11,0.988
bible_BKR_1Tm.txt,100,4.85,15,0.78
bible_BKR_2J.txt,14,4.643,11,1.071
bible_BKR_2K.txt,279,4.136,18,1.004
bible_BKR_2Kr.txt,1084,4.108,16,0.654
bible_BKR_2P.txt,48,5.438,12,0.958
bible_BKR_2Pa.txt,1044,4.567,22,0.635
bible_BKR_2S.txt,1056,3.991,15,0.738
bible_BKR_2Te.txt,37,5.243,13,1.189
bible_BKR_2Tm.txt,84,4.25,13,0.583
bible_BKR_3J.txt,20,4.0,8,0.85
bible_BKR_Abd.txt,32,4.156,10,0.75
bible_BKR_Abk.txt,79,4.013,9,0.747
bible_BKR_Ag.txt,47,4.213,9,0.766
bible_BKR_Am.txt,173,4.445,15,0.873
bible_BKR_Da.txt,451,4.672,12,0.752
bible_BKR_Dt.txt,970,5.135,20,0.856
bible_BKR_Ef.txt,94,5.309,20,0.968
bible_BKR_Est.txt,215,4.665,16,0.916
bible_BKR_Ex.txt,1662,3.939,13,0.528
bible_BKR_Ez.txt,1487,4.626,21,0.705
bible_BKR_Ezd.txt,257,4.677,15,0.58
bible_BKR_Fm.txt,21,4.286,13,1.143
bible_BKR_Fp.txt,88,4.864,13,0.92
bible_BKR_Ga.txt,166,3.663,13,0.735
bible_BKR_Gn.txt,2256,3.76,16,0.551
bible_BKR_Iz.txt,1768,4.114,15,0.663
bible_BKR_J.txt,1216,3.568,12,0.85
bible_BKR_Jb.txt,1131,3.543,12,0.724
bible_BKR_Jk.txt,143,3.629,11,0.587
bible_BKR_Jl.txt,93,4.194,14,0.473
bible_BKR_Jon.txt,67,4.09,22,0.91
bible_BKR_Joz.txt,783,4.369,20,0.464
bible_BKR_Jr.txt,1697,4.628,28,0.793
bible_BKR_Ju.txt,23,5.304,10,0.87
bible_BKR_Kaz.txt,295,4.031,13,0.885
bible_BKR_Ko.txt,74,5.095,22,0.73
bible_BKR_L.txt,1397,3.88,35,0.82
bible_BKR_Lv.txt,1033,4.187,14,0.485
bible_BKR_Mal.txt,99,3.96,10,0.747
bible_BKR_Mi.txt,155,3.697,10,0.394
bible_BKR_Mk.txt,904,3.539,10,0.768
bible_BKR_Mt.txt,1365,3.655,12,0.713
bible_BKR_Na.txt,64,4.047,10,0.562
bible_BKR_Neh.txt,427,4.347,12,0.555
bible_BKR_Nu.txt,1425,4.202,19,0.457
bible_BKR_Oz.txt,274,3.748,14,0.631
bible_BKR_Pis.txt,161,3.894,10,0.584
bible_BKR_Pl.txt,198,3.682,11,0.46
bible_BKR_Pr.txt,936,3.444,12,0.462
bible_BKR_R.txt,505,3.78,19,0.653
bible_BKR_Rt.txt,148,3.818,10,0.878
bible_BKR_Sd.txt,888,4.132,17,0.695
bible_BKR_Sf.txt,75,4.387,12,0.573
bible_BKR_Sk.txt,1154,4.276,19,0.884
bible_BKR_Tit.txt,37,4.865,13,0.838
bible_BKR_Z.txt,2676,3.676,18,0.424
bible_BKR_Za.txt,268,4.377,12,0.791
bible_BKR_Zd.txt,293,4.474,13,0.857
bible_BKR_Zj.txt,521,4.708,20,0.624
