file_name,acl,acl:relcl,advcl,advmod,advmod:emph,amod,appos,aux,aux:pass,case,cc,ccomp,compound,conj,cop,csubj,csubj:pass,dep,det,det:numgov,det:nummod,discourse,expl:pass,expl:pv,fixed,flat,flat:foreign,iobj,mark,nmod,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:arg,orphan,parataxis,punct,root,vocative,xcomp,total
bible_BKR_1J.txt,5,47,42,47,21,74,2,74,8,186,183,57,0,187,60,10,1,5,94,0,0,0,0,18,4,7,0,1,108,49,258,1,2,0,165,145,56,13,1,519,150,0,10,2610
bible_BKR_1K.txt,16,93,178,363,127,331,12,264,83,562,616,100,2,678,174,19,3,50,232,2,0,0,16,109,15,30,0,0,348,268,729,41,35,1,358,377,242,84,4,1708,559,0,94,8923
bible_BKR_1Kr.txt,36,304,279,732,270,1000,77,452,73,1841,1559,293,0,1942,217,27,0,50,1029,1,0,1,15,249,4,371,10,0,582,1089,1700,50,140,40,1121,1384,687,113,17,3805,1053,5,110,22728
bible_BKR_1P.txt,8,35,44,79,34,151,4,43,30,195,134,10,0,209,38,6,0,6,68,0,0,0,2,26,4,9,0,0,87,111,137,15,1,1,87,129,77,15,0,438,94,0,17,2344
bible_BKR_1Pa.txt,16,112,144,470,198,881,189,200,36,1459,1416,81,1,2382,193,4,0,210,858,5,0,0,4,123,0,576,3,0,262,972,1082,38,72,12,634,763,342,440,9,3600,1007,0,37,18831
bible_BKR_1S.txt,47,205,337,959,376,720,69,489,64,1904,1656,376,0,1952,224,25,1,79,935,3,0,0,16,360,3,277,6,2,706,849,1912,47,97,17,1152,1436,747,127,13,4138,1304,2,126,23758
bible_BKR_1Te.txt,3,18,30,74,36,59,7,53,14,172,146,20,0,172,31,0,0,2,69,0,0,0,1,29,2,14,1,0,67,69,90,9,0,0,76,106,56,5,2,325,82,1,26,1867
bible_BKR_1Tm.txt,6,28,30,70,38,149,2,40,14,171,154,15,0,256,42,1,0,7,50,1,0,0,3,21,2,17,0,0,64,99,160,9,6,0,84,103,56,10,2,430,101,0,24,2265
bible_BKR_2J.txt,1,7,7,4,4,10,0,14,0,28,21,2,0,26,4,0,0,0,8,0,0,0,0,2,0,2,0,1,11,8,22,0,0,0,17,23,5,1,1,56,14,0,4,303
bible_BKR_2K.txt,16,71,104,223,106,212,6,212,71,547,364,75,0,445,120,13,0,24,198,1,0,0,10,89,8,23,0,1,256,206,331,32,7,0,240,344,147,42,7,1091,281,1,65,5989
bible_BKR_2Kr.txt,36,248,252,666,253,929,73,313,93,1749,1386,285,0,1790,148,28,0,53,802,2,0,0,15,248,9,462,7,0,511,907,1624,49,93,33,1042,1358,569,102,12,3699,1089,3,96,21034
bible_BKR_2P.txt,1,21,17,39,19,86,4,22,16,133,83,13,0,128,12,2,0,3,61,0,0,0,2,24,2,11,0,0,37,80,89,11,3,0,50,102,47,17,1,239,48,0,12,1435
bible_BKR_2Pa.txt,34,278,291,722,291,1229,62,443,82,2129,1868,164,0,2226,160,20,0,51,969,4,0,0,23,304,7,362,8,4,558,1216,1527,74,101,40,1178,1529,643,179,16,3800,1045,2,138,23777
bible_BKR_2S.txt,34,165,278,766,272,665,68,420,51,1509,1256,305,0,1524,201,23,0,71,714,3,0,0,25,266,5,353,9,2,539,783,1603,53,71,14,933,1099,589,114,19,3326,1057,3,120,19308
bible_BKR_2Te.txt,2,12,17,40,9,30,3,32,11,88,71,11,0,91,9,2,0,3,48,0,0,0,1,15,1,14,0,0,41,57,54,3,1,0,45,45,29,6,0,174,37,0,12,1014
bible_BKR_2Tm.txt,7,31,17,47,26,76,5,36,9,155,105,9,0,155,22,3,0,7,52,0,0,0,2,26,2,16,0,0,34,61,123,7,0,0,67,107,47,16,0,315,85,0,13,1683
bible_BKR_3J.txt,2,6,7,16,4,7,0,7,1,20,17,2,0,22,3,1,0,2,10,1,0,0,2,1,0,0,0,0,10,5,18,1,0,0,22,12,8,1,0,59,20,0,5,292
bible_BKR_Abd.txt,2,6,15,21,7,21,1,18,4,61,28,1,0,40,8,2,0,0,27,0,0,0,2,6,0,3,0,0,22,32,37,3,0,0,22,48,9,5,2,97,32,0,2,584
bible_BKR_Abk.txt,3,15,25,28,12,50,0,40,6,107,90,9,0,131,11,3,0,6,61,0,0,0,1,27,3,6,1,0,46,55,103,5,0,0,80,88,22,3,0,259,79,0,19,1394
bible_BKR_Ag.txt,5,6,11,27,14,61,5,16,5,72,71,14,0,112,11,0,0,2,51,0,0,0,0,17,0,16,0,0,20,76,79,1,2,0,39,39,16,8,1,212,47,0,5,1061
bible_BKR_Am.txt,7,43,58,119,46,152,8,106,14,302,265,53,0,310,32,3,0,7,136,0,0,0,3,44,1,42,1,0,123,175,299,10,8,2,172,237,81,24,1,688,176,0,29,3777
bible_BKR_Da.txt,17,143,123,277,118,498,17,292,83,832,922,98,0,1163,127,11,1,22,532,2,0,0,17,170,8,56,5,0,274,446,756,77,46,9,473,638,299,68,6,1884,451,1,84,11046
bible_BKR_Dt.txt,45,451,413,783,249,918,64,1031,82,2033,1795,153,1,2441,255,18,2,50,1487,4,0,0,15,266,11,302,5,3,695,1101,1482,52,61,13,1511,1554,970,150,25,4286,976,5,176,25934
bible_BKR_Ef.txt,10,35,40,83,37,139,7,56,23,297,191,11,0,247,55,4,0,6,123,0,0,0,1,27,4,24,0,0,73,189,137,10,14,0,109,168,64,33,3,470,95,1,23,2809
bible_BKR_Est.txt,10,72,79,148,68,263,22,98,45,434,389,58,0,471,45,3,2,6,224,3,0,0,13,73,4,77,0,0,143,221,394,27,24,9,212,317,179,21,14,882,219,0,33,5302
bible_BKR_Ex.txt,49,238,369,944,322,1394,74,693,125,2638,2031,282,3,2415,286,22,3,127,1166,1,0,0,25,235,4,186,30,2,670,1640,1776,83,250,65,1518,1748,712,271,10,4809,1668,5,145,29034
bible_BKR_Ez.txt,48,386,437,1021,383,1763,82,879,187,3121,2369,381,3,3329,423,26,1,112,1703,1,0,0,48,400,10,299,22,1,947,1779,2177,132,194,25,1592,2297,780,343,21,6072,1500,5,136,35435
bible_BKR_Ezd.txt,10,72,68,154,57,363,35,157,44,536,477,33,0,753,44,4,1,54,266,0,0,0,10,56,4,161,0,0,120,425,330,37,44,8,208,338,139,133,3,1166,257,1,31,6599
bible_BKR_Fm.txt,3,3,7,16,6,10,3,10,2,30,29,3,0,37,6,1,0,3,20,0,0,0,0,0,0,8,0,0,17,19,18,1,0,0,21,22,13,3,2,86,21,1,8,429
bible_BKR_Fp.txt,10,26,23,105,51,61,4,56,13,218,134,25,0,188,37,5,0,16,87,0,0,0,1,32,7,24,0,1,65,89,115,3,2,0,74,133,75,28,0,383,89,0,18,2198
bible_BKR_Ga.txt,6,41,50,113,41,96,10,109,35,228,191,34,0,210,58,2,1,16,57,0,0,0,2,40,3,22,0,2,111,109,217,25,9,1,119,156,86,15,1,560,167,0,29,2972
bible_BKR_Gn.txt,70,327,435,1314,513,1115,154,707,124,2705,2731,526,2,3176,475,44,0,148,1818,6,0,1,28,437,10,384,29,1,932,1492,2644,118,170,81,1844,1968,1164,199,17,6790,2268,5,151,37123
bible_BKR_Iz.txt,70,327,453,874,337,1333,71,849,271,2472,2439,294,0,3364,387,54,1,87,1431,0,0,0,54,548,25,159,28,2,982,1571,2419,184,40,8,1631,1860,652,247,28,6280,1770,6,273,33881
bible_BKR_J.txt,33,217,278,666,245,385,45,561,90,1102,1272,509,2,1484,244,25,2,67,584,4,0,1,24,173,18,82,1,2,644,365,1834,69,36,4,1078,797,763,68,13,3858,1218,9,176,19048
bible_BKR_Jb.txt,25,118,339,597,195,580,13,511,89,1196,1092,177,0,1319,224,19,0,73,776,3,0,0,31,287,10,44,8,0,732,603,1318,62,18,7,1010,943,483,87,15,3157,1134,1,244,17540
bible_BKR_Jk.txt,2,24,32,79,29,107,4,50,22,131,170,27,0,206,41,2,0,12,72,1,0,0,1,31,1,3,1,1,62,90,189,11,4,1,93,86,64,10,0,433,143,0,21,2256
bible_BKR_Jl.txt,3,14,17,37,16,79,2,25,11,128,167,8,0,214,23,1,0,7,91,0,0,0,2,33,1,9,4,0,52,76,135,9,1,0,87,91,37,10,0,312,93,0,15,1810
bible_BKR_Jon.txt,2,8,19,46,17,35,1,40,3,112,83,26,0,108,5,3,0,3,48,0,0,0,0,34,0,12,1,0,41,41,96,1,7,0,58,96,26,4,3,236,67,1,8,1291
bible_BKR_Joz.txt,22,220,163,539,246,628,76,272,28,1611,1319,100,0,1699,146,14,0,65,682,0,0,0,10,200,3,264,10,1,323,1018,1031,42,57,19,757,1103,428,213,15,2933,783,2,49,17091
bible_BKR_Jr.txt,90,526,555,1334,353,1606,150,968,228,3071,2521,368,0,3774,354,39,3,105,1861,4,0,0,52,535,24,481,19,4,1083,1721,2759,149,56,6,1912,2203,987,208,32,7068,1715,11,262,39197
bible_BKR_Ju.txt,1,11,7,17,7,43,1,5,3,49,28,4,0,58,9,0,0,2,24,0,0,0,1,12,1,8,0,0,12,26,36,1,0,0,24,38,21,7,1,117,23,0,7,604
bible_BKR_Kaz.txt,15,66,105,181,72,199,7,156,11,352,403,66,0,433,112,19,0,10,176,6,0,0,8,91,6,1,1,0,206,218,438,12,9,0,248,272,142,25,4,919,297,0,52,5338
bible_BKR_Ko.txt,2,35,25,61,27,80,7,41,14,205,127,14,0,187,32,1,1,2,74,0,0,0,2,24,5,17,0,0,46,101,113,6,3,0,71,134,57,12,2,347,74,1,10,1960
bible_BKR_L.txt,48,259,331,751,449,711,65,484,182,1649,1727,460,2,2208,354,59,2,125,813,5,1,0,29,466,7,81,11,1,733,722,1887,110,87,24,1137,1216,897,91,8,4883,1404,11,240,24730
