dependency,count
punct,131430
conj,66302
case,57933
nsubj,51342
cc,50508
obl,41327
root,38655
obj,35511
nmod,32277
det,30974
amod,30043
advmod,22874
obl:arg,20428
mark,19708
aux,17071
advcl,9778
expl:pv,9461
advmod:emph,8715
cop,8683
acl:relcl,7919
ccomp,7876
flat,6822
orphan,5308
xcomp,4899
aux:pass,3725
dep,2930
nummod,2633
nsubj:pass,2592
appos,2174
acl,1263
csubj,885
expl:pass,814
nummod:gov,668
parataxis,445
flat:foreign,348
fixed,343
vocative,130
det:numgov,104
iobj,53
csubj:pass,50
compound,28
det:nummod,8
discourse,7
