dep,n,mean,median,std,max
conj,66302,7.076,5,7.036,190
case,57933,1.588,1,3.711,184
nsubj,51342,2.664,2,3.919,246
cc,50508,2.496,1,3.946,152
obl,41327,3.179,2,3.552,248
obj,35511,1.988,1,2.568,159
nmod,32277,2.363,1,4.857,164
det,30974,1.673,1,3.939,142
amod,30043,1.939,1,4.855,283
advmod,22874,2.381,1,3.318,82
obl:arg,20428,2.103,1,2.496,89
mark,19708,2.525,2,2.809,85
aux,17071,1.943,1,2.908,86
advcl,9778,7.198,6,5.558,165
expl:pv,9461,1.474,1,1.925,52
advmod:emph,8715,1.786,1,3.409,157
cop,8683,1.821,1,3.878,139
acl:relcl,7919,5.04,4,4.77,143
ccomp,7876,5.787,5,4.547,92
flat,6822,3.459,1,11.048,167
orphan,5308,6.464,3,14.933,190
xcomp,4899,2.421,2,2.966,84
aux:pass,3725,1.397,1,1.716,34
dep,2930,3.421,3,3.404,56
nummod,2633,1.886,1,4.552,87
nsubj:pass,2592,2.889,2,3.02,40
appos,2174,4.24,3,6.468,118
acl,1263,5.35,4,5.02,82
csubj,885,5.875,5,5.218,66
expl:pass,814,1.819,1,2.518,37
nummod:gov,668,1.772,1,2.563,22
parataxis,445,6.971,6,5.792,74
flat:foreign,348,1.213,1,1.344,22
fixed,343,3.764,1,9.204,100
vocative,130,3.754,3,2.826,17
det:numgov,104,1.202,1,0.87,8
iobj,53,1.83,1,2.704,14
csubj:pass,50,6.0,5,3.181,20
compound,28,1.679,1,0.928,4
det:nummod,8,1.25,1,0.433,2
discourse,7,3.143,4,1.884,5
