distance,count,rate
0,85,0.00015
1,275421,0.48751
2,110312,0.19526
3,54691,0.09681
4,33200,0.05877
5,20467,0.03623
6,14766,0.02614
7,10744,0.01902
8,8340,0.01476
9,6242,0.01105
10,5070,0.00897
11,3974,0.00703
12,3346,0.00592
13,2725,0.00482
14,2209,0.00391
15,1854,0.00328
16,1591,0.00282
17,1236,0.00219
18,1100,0.00195
19,906,0.0016
20,755,0.00134
21,669,0.00118
22,520,0.00092
23,424,0.00075
24,395,0.0007
25,360,0.00064
26,284,0.0005
27,257,0.00045
28,252,0.00045
29,219,0.00039
30,175,0.00031
31,157,0.00028
32,156,0.00028
33,123,0.00022
34,114,0.0002
35,111,0.0002
36,104,0.00018
37,95,0.00017
38,74,0.00013
39,68,0.00012
40,67,0.00012
41,68,0.00012
42,62,0.00011
43,61,0.00011
44,47,8e-05
45,56,0.0001
46,50,9e-05
47,47,8e-05
48,29,5e-05
49,34,6e-05
50,25,4e-05
51,27,5e-05
52,25,4e-05
53,29,5e-05
54,23,4e-05
55,34,6e-05
56,32,6e-05
57,15,3e-05
58,24,4e-05
59,22,4e-05
60,14,2e-05
61,13,2e-05
62,22,4e-05
63,21,4e-05
64,18,3e-05
65,12,2e-05
66,24,4e-05
67,20,4e-05
68,8,1e-05
69,17,3e-05
70,13,2e-05
71,14,2e-05
72,12,2e-05
73,9,2e-05
74,9,2e-05
75,13,2e-05
76,12,2e-05
77,8,1e-05
78,7,1e-05
79,10,2e-05
80,9,2e-05
81,9,2e-05
82,8,1e-05
83,8,1e-05
84,5,1e-05
85,5,1e-05
86,10,2e-05
87,9,2e-05
88,8,1e-05
89,6,1e-05
90,7,1e-05
91,8,1e-05
92,6,1e-05
93,3,1e-05
94,6,1e-05
95,5,1e-05
96,6,1e-05
97,3,1e-05
98,8,1e-05
99,3,1e-05
100,6,1e-05
101,3,1e-05
102,5,1e-05
103,7,1e-05
104,6,1e-05
105,5,1e-05
106,2,0.0
107,2,0.0
108,1,0.0
109,4,1e-05
110,9,2e-05
111,6,1e-05
112,4,1e-05
113,4,1e-05
114,3,1e-05
115,2,0.0
116,5,1e-05
117,4,1e-05
118,5,1e-05
119,4,1e-05
120,3,1e-05
121,2,0.0
122,4,1e-05
123,3,1e-05
124,4,1e-05
125,1,0.0
126,4,1e-05
128,2,0.0
129,3,1e-05
130,2,0.0
131,2,0.0
132,2,0.0
133,3,1e-05
134,2,0.0
135,1,0.0
136,6,1e-05
137,2,0.0
138,5,1e-05
139,1,0.0
140,1,0.0
141,4,1e-05
142,3,1e-05
143,3,1e-05
144,2,0.0
145,2,0.0
147,1,0.0
148,2,0.0
150,2,0.0
152,1,0.0
154,1,0.0
155,1,0.0
157,2,0.0
158,1,0.0
159,2,0.0
161,1,0.0
164,1,0.0
165,2,0.0
166,1,0.0
167,1,0.0
174,1,0.0
175,1,0.0
181,1,0.0
184,1,0.0
187,1,0.0
190,2,0.0
246,1,0.0
248,1,0.0
283,1,0.0
