head,count
",",82216
být,33718
a,33491
.,31033
on,14427
se,11788
i,10894
v,10697
ten,10545
svůj,8615
:,8397
jeho,8024
na,7995
kterýž,6694
k,6239
z,5853
já,5640
;,5093
syn,4562
pak,4462
s,4345
hospodin,4275
aby,4033
že,3872
nebo,3553
bůh,3420
do,3378
ť,3253
můj,3163
?,3149
země,2972
od,2962
vy,2900
tvůj,2900
když,2891
ale,2832
král,2490
tento,2387
tak,2353
za,2250
den,2224
mít,2204
jako,2135
před,2066
dům,1983
tedy,1964
lid,1847
všechen,1846
izraelský,1789
po,1759
ruka,1578
jeden,1578
jenž,1577
muž,1490
ty,1472
my,1454
otec,1451
nad,1394
také,1374
což,1366
říci,1366
hospodinův,1366
až,1357
proti,1349
město,1334
protož,1259
o,1196
u,1173
váš,1144
každý,1137
dát,1115
věc,1108
všecka,1103
kdo,1100
slovo,1089
aj,1078
služebník,1037
ani,1010
pán,1004
jít,1001
náš,986
přijít,980
jméno,977
pro,960
boží,927
srdce,920
co,919
učinit,908
mluvit,907
mezi,898
místo,891
toba,866
david,860
veliký,850
ježíš,846
při,845
li,837
kněz,829
bratr,821
cesta,793
mojžíš,779
člověk,776
všickn,774
aniž,762
izrael,761
oko,757
národ,755
dva,748
činit,735
žena,735
skrz,722
pravit,719
kdož,710
žádný,710
řko,705
hospodina,674
všecek,670
zajisté,669
samý,657
jiný,655
voda,653
léta,653
hora,648
potom,630
však,625
jakž,624
duch,623
moci,611
jeruzalém,608
čas,606
kníže,596
stát,594
druhý,588
svatý,587
vidět,583
tvář,578
tam,573
lidé,571
duše,570
více,564
tisíc,564
podlé,563
proto,562
sto,561
aneb,559
nyní,556
kterouž,551
(,549
),547
ať,533
zlý,528
tělo,524
dobrý,519
jestliže,514
již,511
hlas,501
život,500
dcera,496
oběť,492
hřích,478
vzít,478
věk,476
takto,470
mnohý,465
egyptský,464
prorok,463
ještě,460
pokolení,460
judský,459
ne,451
zástup,445
meč,435
živý,433
oheň,433
všeliký,432
ó,431
jakož,427
oltář,424
teba,422
než,421
nic,420
zákon,418
strana,418
ústa,416
silný,413
sedm,412
obět,409
krev,408
království,401
bývat,399
tři,397
též,397
hlava,389
nepřítel,385
prostřed,384
zase,381
nebe,379
soud,375
tu,374
moře,369
kristus,368
pravost,368
slyšet,367
pokoj,364
chléb,364
pod,360
hospodine,359
řeč,355
sláva,350
chtít,349
noha,349
neboť,345
všeckený,343
umřít,342
spravedlnost,339
smrt,337
bez,335
vojsko,335
měsíc,333
velmi,329
zdaliž,325
spravedlivý,321
chodit,319
-,319
čistý,318
vyjít,316
smlouva,315
abys,313
poněvadž,312
moc,309
vůkol,309
zlato,303
noc,302
vědět,301
obětovat,300
anděl,297
pročež,297
neb,294
proč,294
pole,292
vysoký,291
pět,291
saul,291
dědictví,289
tobě,284
panovník,284
dít,283
množství,282
skutek,281
královský,281
aron,279
stánek,277
starý,276
dílo,275
mrtvý,274
matka,273
přikázat,270
egypt,269
obyvatel,266
poslat,265
milosrdenství,264
učedlník,264
jíst,261
čtyři,260
bát,258
bydlit,258
síla,258
první,256
kdež,254
loket,254
buď,253
manželka,253
čeleď,253
ostříhat,250
opět,250
hned,250
milost,249
prosit,248
pan,248
šalomoun,246
poušť,243
takový,242
svět,241
hledat,240
některý,240
dnes,240
hněv,238
davidův,238
pravda,237
kteréhož,236
prvý,235
zdali,235
filistinský,235
pakle,234
dávat,234
žid,232
díl,232
mnoho,229
milovat,227
pravý,226
víra,225
shromáždění,223
sloužit,223
navrátit,222
vedlý,222
jozue,221
kralovat,220
přední,218
prchlivost,217
stříbro,215
věčný,213
totiž,213
svědectví,212
moudrost,212
deset,212
kniha,212
juda,211
naleznout,211
nebeský,210
víno,210
nežli,209
boj,209
příbytek,208
obrátit,206
nechat,205
dokudž,204
který,203
přivést,203
dobře,202
uvést,202
ano,201
olej,200
uzřít,200
postavit,199
ráno,199
kole,198
ustanovení,197
svatyně,196
ucho,195
nádoba,194
jak,192
šest,191
kteříž,190
abraham,190
světlo,189
to,189
vydat,189
dítě,188
vejít,188
tvý,188
toliko,187
spolu,187
dar,187
řeka,186
počet,186
příčina,185
padnout,184
zůstat,183
ješto,183
krajina,182
jozef,181
nýbrž,179
liž,179
slunce,179
zabít,179
brána,179
poznat,178
znát,178
třetí,178
oblíčej,176
jaký,175
oznámit,174
braný,173
jordán,172
babylonský,172
podobný,171
zápalný,171
konec,170
řkoucí,170
jazyk,169
sedět,169
zlatý,169
cizí,168
ačkoli,167
přes,167
roucha,167
kteréž,166
odtud,166
oba,166
vyvést,165
položit,164
bezbožný,164
suchý,164
vůz,163
rada,162
dříví,161
truhlo,161
služba,160
petr,159
hrob,159
lidský,158
ovoce,158
dvanáct,157
roucho,157
kámen,156
údolí,156
chudý,156
poslouchat,154
spasení,154
pokrm,154
síň,154
dělat,150
tvoj,150
malý,149
kamení,147
potok,147
kůň,147
úmluva,147
ohavnost,147
jistě,146
jeruzalémský,146
syrský,146
dobytek,145
kterýžto,145
peníze,145
naděje,144
ovce,141
vrch,141
dveře,141
říkat,140
moudrý,139
semeno,139
celý,139
uslyšet,139
samuel,139
an,137
bližní,137
naplnit,137
čtyřidcet,137
kterak,136
bojovat,136
jeremiáš,136
přikázaní,135
pavel,135
prostředek,135
stolice,135
volat,135
prvorozený,135
chrám,134
tehdy,134
znamení,133
ukázat,132
přebývat,132
žeť,131
modlitba,131
plný,129
onť,129
týž,129
skála,129
sem,129
te,129
někdo,128
stádo,128
naproti,128
ezechiáš,128
jákob,128
hejtman,127
východ,127
jákoba,127
nový,126
počít,126
milý,125
pohan,125
kost,125
sedmý,125
večer,125
síma,124
odejít,124
mladý,124
babylon,124
vinný,123
faraon,123
vinice,122
amen,122
přísaha,122
výsost,122
skopce,122
velký,121
daný,121
vůl,121
nebesa,121
brát,121
láska,120
vysvobodit,120
ssoužení,120
přicházet,120
učiněný,119
dědičně,119
vycházet,119
udělat,119
