subj,verb,obj,count_total
kterýž,být,on,274
Ježíš,říci,on,75
což,být,on,72
kterýž,být,sál,72
kterýž,být,země,60
kterýž,být,vy,56
on,říci,on,54
hospodin,mluvit,Mojžíš,53
hospodin,říci,já,46
kterýž,být,Jeruzalém,42
syn,kralovat,on,41
hospodin,pravit,tento,38
kterýž,být,jatra,37
já,přikazovat,kterýž,35
kterýž,být,já,32
kterýž,být,nebe,32
kterýž,poslat,já,31
syn,kralovat,léta,30
kterýž,být,dům,29
hospodin,ukázat,kterýž,29
což,být,oko,28
kterýž,být,zákon,27
hospodin,dát,toba,27
hospodin,dávat,toba,27
kterýž,vyvést,země,26
hospodin,vyvolit,kterýž,26
kterýž,být,víra,26
kterýž,být,nebese,26
hospodin,dávat,kterouž,25
kterýž,říci,on,24
kterýž,být,pole,24
já,přikazovat,vy,24
hospodin,říci,on,23
hospodin,dát,on,23
kterýž,být,prostřed,23
hospodin,dát,kterouž,23
syn,opravovat,on,23
král,říci,on,22
hospodin,dát,ruka,20
kterýž,mluvit,já,19
hospodin,dát,vy,19
odpověděv,říci,on,19
syn,opravovat,ten,19
hospodin,přikázat,on,18
hospodin,přikázat,kterýž,18
kterýž,přijít,on,18
kterýž,být,údolí,18
Ježíš,dědět,on,18
bůh,dát,on,17
kterýž,být,řeka,17
kterýž,být,teba,17
já,dát,on,17
kterýž,být,půlnoc,17
Ježíš,odpovědět,on,17
kterýž,být,vrch,16
kterýž,být,Hospodin,16
kterýž,činit,věc,16
slovo,stát,já,16
kterýž,stát,Jeremiáš,16
kdo,mít,ucho,16
kterýž,být,bůh,15
kterýž,být,Jordán,15
hospodin,být,on,15
což,vidět,dobrý,15
kterýž,být,hlava,15
kterýž,mít,nenávist,15
já,přikazovat,toba,15
kterýž,být,brána,15
kněz,očistit,on,15
hospodin,dát,já,14
kterýž,být,Judstvo,14
kterýž,být,Kristus,14
hospodin,poslat,já,14
kterýž,slyšet,slovo,14
hospodin,mluvit,vy,14
kterýž,být,pomezí,14
Ježíš,dít,on,14
syn,kralovat,Samaří,13
muž,říci,on,13
kterýž,být,strana,13
kterýž,nenávidět,já,13
bůh,být,já,13
kterýž,nést,ovoce,13
amen,pravit,vy,13
kterýž,zjímat,on,12
kterýž,vyvést,ty,12
kdož,umřít,město,12
kdož,umřít,pole,12
kterýž,nést,truhlo,12
hospodin,přikázat,Mojžíš,12
kterýž,mít,se,12
kterýž,být,hora,12
kterýž,být,ruka,12
hospodin,dát,kterýž,12
kterýž,mít,on,12
on,podlýt,pokolení,12
hovado,podlýt,pokolení,12
já,dát,kterouž,12
kterýž,vyvést,syn,12
ledvinka,být,on,12
kněz,vyhlásit,on,12
kterýž,být,obřezání,12
hospodin,dát,odpočinutí,11
kterýž,být,lid,11
kterýž,být,syn,11
kterýž,bydlit,Jordán,11
ten,být,bůh,11
kterýž,mluvit,on,11
bůh,dát,já,11
Nabuchodonozor,postavit,kterýž,11
hospodin,požehnat,toba,11
kterýž,být,břeh,11
kterýž,být,voda,11
kterýž,mluvit,vy,11
úřad,konat,já,11
ten,být,já,11
kterýž,mít,přijít,11
Mojžíš,dát,on,11
služebník,říci,on,10
kterýž,být,stánek,10
ten,vyslýchát,nebe,10
kterýž,být,den,10
hospodin,mluvit,já,10
otec,činit,což,10
hospodin,mluvit,on,10
kterýž,přivést,hřešení,10
hospodin,říci,jenž,10
hospodin,poslat,on,10
hospodin,být,my,10
kdo,být,vy,10
kterýž,hledat,bezživotí,10
kterýž,být,oko,10
panovník,pravit,hora,10
kněz,pohledit,on,10
báň,ztížit,lota,10
duch,být,on,9
Izrael,všeckat,on,9
kterýž,být,město,9
kterýž,dát,on,9
hospodin,vydat,ruka,9
kterýž,být,Egypt,9
Saul,poslat,poslo,9
kterýž,být,toba,9
kterýž,doufat,on,9
kterýž,učinit,nebe,9
kterýž,mít,ruka,9
kterýž,být,východ,9
kterýž,být,tvůj,9
kdož,pohrdat,já,9
co,pozůstat,housenka,9
co,pozůstat,kobylka,9
co,pozůstat,broucí,9
já,pojít,kterýž,9
Petr,říci,on,9
kněz,vyhlásit,čistý,9
já,panovat,vy,9
syn,panovat,vy,9
hospodin,panovat,vy,9
národ,oslavovat,ty,9
ten,být,on,8
on,být,moře,8
zadkový,být,moře,8
kterýž,zzajímat,on,8
hospodin,ukázat,on,8
otec,říci,on,8
hospodin,vydat,on,8
kdož,umřít,dům,8
Achab,kralovat,léta,8
Zdaliž,jít,ten,8
kdož,ujít,meč,8
ť,být,my,8
Arfaxad,zplodit,sál,8
což,líbit,on,8
hospodin,přikázat,což,8
ruka,být,on,8
bůh,dát,ruka,8
hospodin,mluvit,jenž,8
David,říci,on,8
kterýž,vyvést,vy,8
hospodin,učinit,věc,8
hospodin,pravit,slovo,8
protož,nazvat,jméno,8
hospodin,pravit,troj,8
já,vyvést,vy,8
kterýž,mít,oko,8
kterýž,bydlit,Ezebon,8
hospodin,zaslíbit,přísaha,8
Mojžíš,předložit,kterýž,8
