opposition_pair,count
nebe | země,2166
život | smrt,1355
den | noc,1033
dobrý | zlý,852
duch | tělo,579
spravedlivý | bezbožný,572
moudrost | bláznovství,417
světlo | tma,384
pravice | levice,306
láska | nenávist,296
pokoj | boj,296
milosrdenství | soud,290
první | poslední,264
duše | tělo,259
víra | skutek,231
spravedlnost | nepravost,226
jeruzalém | babylon,209
chudý | bohatý,190
milost | zákon,140
milosrdenství | zákon,131
požehnání | zlořečení,125
bůh | modla,121
oběť | milosrdenství,95
pravda | lež,73
izrael | pohan,71
svatý | obecný,47
přítel | nepřítel,45
spása | zahynutí,45
pokora | pýcha,34
beránek | šelma,22
kristus | antikrist,12
sláva | hanba,10
věčný | časný,7
věrný | nevěrný,7
