source,target,weight
země,nebe,16
smrt,život,11
moudrost,bláznovství,10
den,noc,10
světlo,tma,9
duch,tělo,7
tělo,duch,7
tma,světlo,6
noc,den,6
víra,skutek,5
život,smrt,5
skutek,víra,4
nebe,země,4
pravda,lež,3
zákon,milosrdenství,3
bůh,modla,3
bláznovství,moudrost,2
nepravost,spravedlnost,2
spravedlnost,nepravost,2
milost,zákon,2
milosrdenství,oběť,2
oběť,milosrdenství,2
modla,bůh,2
duše,tělo,1
tělo,duše,1
lež,pravda,1
zlý,dobrý,1
chudý,bohatý,1
bohatý,chudý,1
milosrdenství,zákon,1
soud,milosrdenství,1
milosrdenství,soud,1
první,poslední,1
