opposition_pair,total,positive,negative,both,polarity_ratio
nebe | země,2166,197,303,1666,0.394
život | smrt,1355,170,186,999,0.478
den | noc,1033,114,57,862,0.667
dobrý | zlý,852,61,57,734,0.517
duch | tělo,579,74,62,443,0.544
spravedlivý | bezbožný,572,52,48,472,0.52
moudrost | bláznovství,417,46,55,316,0.455
světlo | tma,384,32,19,333,0.627
pravice | levice,306,12,6,288,0.667
láska | nenávist,296,34,29,233,0.54
pokoj | boj,296,41,42,213,0.494
milosrdenství | soud,290,30,22,238,0.577
první | poslední,264,9,5,250,0.643
duše | tělo,259,29,36,194,0.446
víra | skutek,231,37,24,170,0.607
spravedlnost | nepravost,226,26,39,161,0.4
jeruzalém | babylon,209,32,30,147,0.516
chudý | bohatý,190,18,13,159,0.581
milost | zákon,140,20,21,99,0.488
milosrdenství | zákon,131,22,23,86,0.489
požehnání | zlořečení,125,10,9,106,0.526
bůh | modla,121,19,15,87,0.559
oběť | milosrdenství,95,19,3,73,0.864
pravda | lež,73,10,9,54,0.526
izrael | pohan,71,7,7,57,0.5
svatý | obecný,47,6,4,37,0.6
přítel | nepřítel,45,3,4,38,0.429
spása | zahynutí,45,5,2,38,0.714
pokora | pýcha,34,2,2,30,0.5
beránek | šelma,22,3,8,11,0.273
kristus | antikrist,12,2,2,8,0.5
sláva | hanba,10,1,1,8,0.5
věčný | časný,7,1,1,5,0.5
věrný | nevěrný,7,0,0,7,
