file_name,total_sentences,rhetorical_density,dominant_strategy,avg_confidence,top3_intentions,commanding_rate,condemning_rate,declaring_rate,ideological_contestation_rate,intervention_rate,justifying_rate,legitimation_rate,mobilizing_rate,narrative_rate,persuading_rate,praising_rate,promising_rate,questioning_rate,record_rate,unclassified_rate,warning_rate,commanding_vs_mean,condemning_vs_mean,declaring_vs_mean,ideological_contestation_vs_mean,intervention_vs_mean,justifying_vs_mean,legitimation_vs_mean,mobilizing_vs_mean,narrative_vs_mean,persuading_vs_mean,praising_vs_mean,promising_vs_mean,questioning_vs_mean,record_vs_mean,unclassified_vs_mean,warning_vs_mean
bible_BKR_1J.txt,150,0.76,direct_address,0.709,commanding(0.227) > record(0.193) > declaring(0.127),0.2267,0.0133,0.1267,0.0467,0.0333,0.1,0.0,0.02,0.0067,0.1267,0.0133,0.0267,0.0267,0.1933,0.04,0.0,0.0463,0.0061,0.0574,0.0218,-0.0261,0.019,-0.0412,0.0015,-0.027,0.019,-0.0036,0.0084,-0.0129,-0.0679,0.0199,-0.0206
bible_BKR_1K.txt,559,0.832,direct_address,0.752,commanding(0.191) > persuading(0.182) > record(0.118),0.1914,0.0,0.0519,0.0286,0.093,0.093,0.0054,0.0268,0.0179,0.1825,0.0215,0.0072,0.1145,0.1181,0.0322,0.0161,0.011,-0.0072,-0.0174,0.0037,0.0336,0.012,-0.0358,0.0083,-0.0158,0.0748,0.0046,-0.0111,0.0749,-0.1431,0.0121,-0.0045
bible_BKR_1Kr.txt,1053,0.536,unclassified,0.731,record(0.438) > commanding(0.105) > legitimation(0.086),0.1054,0.0019,0.0598,0.018,0.0627,0.075,0.0864,0.0104,0.0247,0.0731,0.0038,0.0057,0.0247,0.4378,0.0019,0.0085,-0.075,-0.0053,-0.0095,-0.0069,0.0033,-0.006,0.0452,-0.0081,-0.009,-0.0346,-0.0131,-0.0126,-0.0149,0.1766,-0.0182,-0.0121
bible_BKR_1P.txt,94,0.936,direct_address,0.772,commanding(0.287) > persuading(0.160) > ideological_contestation(0.074),0.2872,0.0213,0.0532,0.0745,0.0426,0.0638,0.0638,0.0319,0.0,0.1596,0.0213,0.0426,0.0319,0.0426,0.0213,0.0426,0.1068,0.0141,-0.0161,0.0496,-0.0168,-0.0172,0.0226,0.0134,-0.0337,0.0519,0.0044,0.0243,-0.0077,-0.2186,0.0012,0.022
bible_BKR_1Pa.txt,1007,0.317,unclassified,0.718,record(0.412) > narrative(0.267) > justifying(0.080),0.0487,0.001,0.0199,0.006,0.0248,0.0804,0.0526,0.004,0.2671,0.0586,0.0089,0.004,0.006,0.4121,0.004,0.002,-0.1317,-0.0062,-0.0494,-0.0189,-0.0346,-0.0006,0.0114,-0.0145,0.2334,-0.0491,-0.008,-0.0143,-0.0336,0.1509,-0.0161,-0.0186
bible_BKR_1S.txt,1304,0.567,unclassified,0.734,record(0.415) > commanding(0.127) > justifying(0.106),0.1265,0.0046,0.0399,0.0176,0.0483,0.1058,0.0506,0.0161,0.0146,0.0775,0.0023,0.0123,0.0621,0.4149,0.0038,0.0031,-0.0539,-0.0026,-0.0294,-0.0073,-0.0111,0.0248,0.0094,-0.0024,-0.0191,-0.0302,-0.0146,-0.006,0.0225,0.1537,-0.0163,-0.0175
bible_BKR_1Te.txt,82,0.915,direct_address,0.76,persuading(0.207) > commanding(0.183) > justifying(0.134),0.1829,0.0,0.0976,0.0366,0.0244,0.1341,0.0366,0.0488,0.0366,0.2073,0.061,0.0244,0.0122,0.0244,0.0244,0.0488,0.0025,-0.0072,0.0283,0.0117,-0.035,0.0531,-0.0046,0.0303,0.0029,0.0996,0.0441,0.0061,-0.0274,-0.2368,0.0043,0.0282
bible_BKR_1Tm.txt,101,0.861,direct_address,0.759,commanding(0.277) > justifying(0.109) > mobilizing(0.099),0.2772,0.0,0.0495,0.0495,0.0495,0.1089,0.0198,0.099,0.0099,0.099,0.0693,0.0198,0.0,0.099,0.0297,0.0198,0.0968,-0.0072,-0.0198,0.0246,-0.0099,0.0279,-0.0214,0.0805,-0.0238,-0.0087,0.0524,0.0015,-0.0396,-0.1622,0.0096,-0.0008
bible_BKR_2J.txt,14,0.643,unclassified,0.736,record(0.357) > commanding(0.286) > declaring(0.071),0.2857,0.0,0.0714,0.0714,0.0,0.0,0.0,0.0714,0.0,0.0,0.0714,0.0714,0.0,0.3571,0.0,0.0,0.1053,-0.0072,0.0021,0.0465,-0.0594,-0.081,-0.0412,0.0529,-0.0337,-0.1077,0.0545,0.0531,-0.0396,0.0959,-0.0201,-0.0206
bible_BKR_2K.txt,281,0.847,direct_address,0.738,persuading(0.178) > commanding(0.171) > justifying(0.142),0.1708,0.0,0.0819,0.0391,0.0534,0.1423,0.0142,0.0214,0.0249,0.1779,0.0356,0.0249,0.0747,0.0925,0.0356,0.0107,-0.0096,-0.0072,0.0126,0.0142,-0.006,0.0613,-0.027,0.0029,-0.0088,0.0702,0.0187,0.0066,0.0351,-0.1687,0.0155,-0.0099
