file_name,total,antithetical_disputation,apodictic_law,apodictic_prohibition,attributive_praise,beatitude_formula,casuistic_law,confessional_creed,covenant_promise,declarative_assertion,deliberative_rhetoric,dialogic_controversy,divine_oath_formula,doxological_formula,elenctic_questioning,enumerative_list,hymnic_praise,missionary_commission,narrative_chronicle,prophetic_admonition,prophetic_judgment_speech,royal_legitimation_formula,scriptural_warrant,theological_rationale,theophanic_declaration,theophanic_self_presentation,universal_truth_claim,woe_oracle,antithetical_disputation_rate,apodictic_law_rate,apodictic_prohibition_rate,attributive_praise_rate,beatitude_formula_rate,casuistic_law_rate,confessional_creed_rate,covenant_promise_rate,declarative_assertion_rate,deliberative_rhetoric_rate,dialogic_controversy_rate,divine_oath_formula_rate,doxological_formula_rate,elenctic_questioning_rate,enumerative_list_rate,hymnic_praise_rate,missionary_commission_rate,narrative_chronicle_rate,prophetic_admonition_rate,prophetic_judgment_speech_rate,royal_legitimation_formula_rate,scriptural_warrant_rate,theological_rationale_rate,theophanic_declaration_rate,theophanic_self_presentation_rate,universal_truth_claim_rate,woe_oracle_rate
bible_BKR_1J.txt,150,7,15,0,0,0,20,2,2,18,19,5,2,0,4,1,0,3,29,0,2,0,0,15,5,0,1,0,0.0467,0.1,0.0,0.0,0.0,0.1333,0.0133,0.0133,0.12,0.1267,0.0333,0.0133,0.0,0.0267,0.0067,0.0,0.02,0.1933,0.0,0.0133,0.0,0.0,0.1,0.0333,0.0,0.0067,0.0
bible_BKR_1K.txt,559,16,99,0,7,0,12,2,2,33,102,52,2,2,64,10,1,15,66,9,0,1,1,51,7,2,3,0,0.0286,0.1771,0.0,0.0125,0.0,0.0215,0.0036,0.0036,0.059,0.1825,0.093,0.0036,0.0036,0.1145,0.0179,0.0018,0.0268,0.1181,0.0161,0.0,0.0018,0.0018,0.0912,0.0125,0.0036,0.0054,0.0
bible_BKR_1Kr.txt,1053,19,103,2,1,0,7,1,4,38,77,66,2,2,26,26,0,11,461,9,2,68,16,63,13,23,13,0,0.018,0.0978,0.0019,0.0009,0.0,0.0066,0.0009,0.0038,0.0361,0.0731,0.0627,0.0019,0.0019,0.0247,0.0247,0.0,0.0104,0.4378,0.0085,0.0019,0.0646,0.0152,0.0598,0.0123,0.0218,0.0123,0.0
bible_BKR_1P.txt,94,7,24,0,0,0,3,1,0,6,15,4,4,1,3,0,0,3,4,4,2,3,0,6,1,3,0,0,0.0745,0.2553,0.0,0.0,0.0,0.0319,0.0106,0.0,0.0638,0.1596,0.0426,0.0426,0.0106,0.0319,0.0,0.0,0.0319,0.0426,0.0426,0.0213,0.0319,0.0,0.0638,0.0106,0.0319,0.0,0.0
bible_BKR_1Pa.txt,1007,6,48,1,0,0,0,1,4,14,59,25,0,7,6,269,1,4,415,2,1,28,15,66,5,25,5,0,0.006,0.0477,0.001,0.0,0.0,0.0,0.001,0.004,0.0139,0.0586,0.0248,0.0,0.007,0.006,0.2671,0.001,0.004,0.4121,0.002,0.001,0.0278,0.0149,0.0655,0.005,0.0248,0.005,0.0
bible_BKR_1S.txt,1304,23,140,6,1,0,19,0,8,35,101,63,8,2,81,19,0,21,541,4,5,34,19,119,15,32,7,1,0.0176,0.1074,0.0046,0.0008,0.0,0.0146,0.0,0.0061,0.0268,0.0775,0.0483,0.0061,0.0015,0.0621,0.0146,0.0,0.0161,0.4149,0.0031,0.0038,0.0261,0.0146,0.0913,0.0115,0.0245,0.0054,0.0008
bible_BKR_1Te.txt,82,3,15,0,3,0,0,1,0,10,17,2,2,1,1,3,0,4,2,4,0,1,0,11,0,2,0,0,0.0366,0.1829,0.0,0.0366,0.0,0.0,0.0122,0.0,0.122,0.2073,0.0244,0.0244,0.0122,0.0122,0.0366,0.0,0.0488,0.0244,0.0488,0.0,0.0122,0.0,0.1341,0.0,0.0244,0.0,0.0
bible_BKR_1Tm.txt,101,5,26,0,3,0,2,3,0,5,10,5,2,1,0,1,0,10,10,2,0,2,0,11,2,0,1,0,0.0495,0.2574,0.0,0.0297,0.0,0.0198,0.0297,0.0,0.0495,0.099,0.0495,0.0198,0.0099,0.0,0.0099,0.0,0.099,0.099,0.0198,0.0,0.0198,0.0,0.1089,0.0198,0.0,0.0099,0.0
bible_BKR_2J.txt,14,1,2,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0.0714,0.1429,0.0,0.0,0.0,0.1429,0.0714,0.0,0.0714,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.3571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_2K.txt,281,11,41,0,4,0,7,2,0,27,50,15,7,4,21,7,0,6,26,3,0,1,3,37,3,3,3,0,0.0391,0.1459,0.0,0.0142,0.0,0.0249,0.0071,0.0,0.0961,0.1779,0.0534,0.0249,0.0142,0.0747,0.0249,0.0,0.0214,0.0925,0.0107,0.0,0.0036,0.0107,0.1317,0.0107,0.0107,0.0107,0.0
