illocutionary_force,file_name,count,total,rate,corpus_mean,corpus_std,zscore,rank
assertive,bible_BKR_1J.txt,83,150,0.5533,0.5529,0.114,0.003,32
assertive,bible_BKR_1K.txt,259,559,0.4633,0.5529,0.114,-0.786,52
assertive,bible_BKR_1Kr.txt,706,1053,0.6705,0.5529,0.114,1.032,12
assertive,bible_BKR_1P.txt,30,94,0.3191,0.5529,0.114,-2.051,65
assertive,bible_BKR_1Pa.txt,844,1007,0.8381,0.5529,0.114,2.502,1
assertive,bible_BKR_1S.txt,851,1304,0.6526,0.5529,0.114,0.875,16
assertive,bible_BKR_1Te.txt,41,82,0.5,0.5529,0.114,-0.464,43
assertive,bible_BKR_1Tm.txt,37,101,0.3663,0.5529,0.114,-1.637,64
assertive,bible_BKR_2J.txt,6,14,0.4286,0.5529,0.114,-1.091,59
assertive,bible_BKR_2K.txt,146,281,0.5196,0.5529,0.114,-0.292,40
assertive,bible_BKR_2Kr.txt,698,1089,0.641,0.5529,0.114,0.773,19
assertive,bible_BKR_2P.txt,19,48,0.3958,0.5529,0.114,-1.378,60
assertive,bible_BKR_2Pa.txt,703,1045,0.6727,0.5529,0.114,1.051,10
assertive,bible_BKR_2S.txt,703,1057,0.6651,0.5529,0.114,0.984,14
assertive,bible_BKR_2Te.txt,17,37,0.4595,0.5529,0.114,-0.82,53
assertive,bible_BKR_2Tm.txt,41,85,0.4824,0.5529,0.114,-0.619,47
assertive,bible_BKR_3J.txt,9,20,0.45,0.5529,0.114,-0.903,55
assertive,bible_BKR_Abd.txt,15,32,0.4688,0.5529,0.114,-0.738,50
assertive,bible_BKR_Abk.txt,42,79,0.5316,0.5529,0.114,-0.187,38
assertive,bible_BKR_Ag.txt,18,47,0.383,0.5529,0.114,-1.491,61
assertive,bible_BKR_Am.txt,84,176,0.4773,0.5529,0.114,-0.663,48
assertive,bible_BKR_Da.txt,274,451,0.6075,0.5529,0.114,0.479,24
assertive,bible_BKR_Dt.txt,454,976,0.4652,0.5529,0.114,-0.77,51
assertive,bible_BKR_Ef.txt,35,95,0.3684,0.5529,0.114,-1.619,63
assertive,bible_BKR_Est.txt,147,219,0.6712,0.5529,0.114,1.038,11
assertive,bible_BKR_Ex.txt,1146,1668,0.6871,0.5529,0.114,1.177,7
assertive,bible_BKR_Ez.txt,894,1500,0.596,0.5529,0.114,0.378,25
assertive,bible_BKR_Ezd.txt,166,257,0.6459,0.5529,0.114,0.816,17
assertive,bible_BKR_Fm.txt,12,21,0.5714,0.5529,0.114,0.162,29
assertive,bible_BKR_Fp.txt,33,89,0.3708,0.5529,0.114,-1.598,62
assertive,bible_BKR_Ga.txt,81,167,0.485,0.5529,0.114,-0.596,45
assertive,bible_BKR_Gn.txt,1685,2268,0.7429,0.5529,0.114,1.667,3
assertive,bible_BKR_Iz.txt,955,1770,0.5395,0.5529,0.114,-0.118,35
assertive,bible_BKR_J.txt,699,1218,0.5739,0.5529,0.114,0.184,28
assertive,bible_BKR_Jb.txt,622,1134,0.5485,0.5529,0.114,-0.039,34
assertive,bible_BKR_Jk.txt,63,143,0.4406,0.5529,0.114,-0.985,56
assertive,bible_BKR_Jl.txt,47,93,0.5054,0.5529,0.114,-0.417,42
assertive,bible_BKR_Jon.txt,44,67,0.6567,0.5529,0.114,0.911,15
assertive,bible_BKR_Joz.txt,556,783,0.7101,0.5529,0.114,1.379,4
assertive,bible_BKR_Jr.txt,807,1715,0.4706,0.5529,0.114,-0.722,49
assertive,bible_BKR_Ju.txt,13,23,0.5652,0.5529,0.114,0.108,30
assertive,bible_BKR_Kaz.txt,151,297,0.5084,0.5529,0.114,-0.391,41
assertive,bible_BKR_Ko.txt,23,74,0.3108,0.5529,0.114,-2.124,66
assertive,bible_BKR_L.txt,808,1404,0.5755,0.5529,0.114,0.198,27
assertive,bible_BKR_Lv.txt,578,1044,0.5536,0.5529,0.114,0.006,31
assertive,bible_BKR_Mal.txt,44,100,0.44,0.5529,0.114,-0.991,57
assertive,bible_BKR_Mi.txt,76,155,0.4903,0.5529,0.114,-0.549,44
assertive,bible_BKR_Mk.txt,565,905,0.6243,0.5529,0.114,0.626,21
assertive,bible_BKR_Mt.txt,756,1376,0.5494,0.5529,0.114,-0.031,33
assertive,bible_BKR_Na.txt,40,64,0.625,0.5529,0.114,0.632,20
assertive,bible_BKR_Neh.txt,330,427,0.7728,0.5529,0.114,1.929,2
assertive,bible_BKR_Nu.txt,1053,1488,0.7077,0.5529,0.114,1.358,5
assertive,bible_BKR_Oz.txt,176,274,0.6423,0.5529,0.114,0.784,18
assertive,bible_BKR_Pis.txt,109,163,0.6687,0.5529,0.114,1.016,13
assertive,bible_BKR_Pl.txt,136,198,0.6869,0.5529,0.114,1.175,8
assertive,bible_BKR_Pr.txt,507,940,0.5394,0.5529,0.114,-0.119,36
assertive,bible_BKR_R.txt,235,516,0.4554,0.5529,0.114,-0.856,54
assertive,bible_BKR_Rt.txt,91,148,0.6149,0.5529,0.114,0.544,23
assertive,bible_BKR_Sd.txt,627,888,0.7061,0.5529,0.114,1.344,6
assertive,bible_BKR_Sf.txt,44,75,0.5867,0.5529,0.114,0.296,26
assertive,bible_BKR_Sk.txt,779,1156,0.6739,0.5529,0.114,1.061,9
assertive,bible_BKR_Tit.txt,16,37,0.4324,0.5529,0.114,-1.057,58
assertive,bible_BKR_Z.txt,1494,2813,0.5311,0.5529,0.114,-0.191,39
