file_name,total,assertive,commissive,declarative,directive,expressive,assertive_rate,commissive_rate,declarative_rate,directive_rate,expressive_rate
bible_BKR_1J.txt,150,88,4,12,42,4,0.5867,0.0267,0.08,0.28,0.0267
bible_BKR_1K.txt,559,273,4,71,199,12,0.4884,0.0072,0.127,0.356,0.0215
bible_BKR_1Kr.txt,1053,707,6,176,158,6,0.6714,0.0057,0.1671,0.15,0.0057
bible_BKR_1P.txt,94,32,4,17,37,4,0.3404,0.0426,0.1809,0.3936,0.0426
bible_BKR_1Pa.txt,1007,848,4,84,61,10,0.8421,0.004,0.0834,0.0606,0.0099
bible_BKR_1S.txt,1304,856,16,152,271,9,0.6564,0.0123,0.1166,0.2078,0.0069
bible_BKR_1Te.txt,82,43,2,8,24,5,0.5244,0.0244,0.0976,0.2927,0.061
bible_BKR_1Tm.txt,101,40,2,12,40,7,0.396,0.0198,0.1188,0.396,0.0693
bible_BKR_2J.txt,14,6,1,1,5,1,0.4286,0.0714,0.0714,0.3571,0.0714
bible_BKR_2K.txt,281,156,7,30,78,10,0.5552,0.0249,0.1068,0.2776,0.0356
bible_BKR_2Kr.txt,1089,702,3,177,206,1,0.6446,0.0028,0.1625,0.1892,0.0009
bible_BKR_2P.txt,48,20,3,13,12,0,0.4167,0.0625,0.2708,0.25,0.0
bible_BKR_2Pa.txt,1045,704,1,209,128,3,0.6737,0.001,0.2,0.1225,0.0029
bible_BKR_2S.txt,1057,704,3,142,203,5,0.666,0.0028,0.1343,0.1921,0.0047
bible_BKR_2Te.txt,37,17,3,6,10,1,0.4595,0.0811,0.1622,0.2703,0.027
bible_BKR_2Tm.txt,85,43,5,12,22,3,0.5059,0.0588,0.1412,0.2588,0.0353
bible_BKR_3J.txt,20,12,0,0,7,1,0.6,0.0,0.0,0.35,0.05
bible_BKR_Abd.txt,32,16,0,3,12,1,0.5,0.0,0.0938,0.375,0.0312
bible_BKR_Abk.txt,79,45,2,3,23,6,0.5696,0.0253,0.038,0.2911,0.0759
bible_BKR_Ag.txt,47,18,1,13,15,0,0.383,0.0213,0.2766,0.3191,0.0
bible_BKR_Am.txt,176,90,1,26,54,5,0.5114,0.0057,0.1477,0.3068,0.0284
bible_BKR_Da.txt,451,275,4,91,73,8,0.6098,0.0089,0.2018,0.1619,0.0177
bible_BKR_Dt.txt,976,466,25,200,277,8,0.4775,0.0256,0.2049,0.2838,0.0082
bible_BKR_Ef.txt,95,37,4,11,38,5,0.3895,0.0421,0.1158,0.4,0.0526
bible_BKR_Est.txt,219,148,0,32,37,2,0.6758,0.0,0.1461,0.1689,0.0091
bible_BKR_Ex.txt,1668,1159,18,173,296,22,0.6948,0.0108,0.1037,0.1775,0.0132
bible_BKR_Ez.txt,1500,904,15,247,315,19,0.6027,0.01,0.1647,0.21,0.0127
bible_BKR_Ezd.txt,257,167,0,71,17,2,0.6498,0.0,0.2763,0.0661,0.0078
bible_BKR_Fm.txt,21,12,1,0,8,0,0.5714,0.0476,0.0,0.381,0.0
bible_BKR_Fp.txt,89,33,2,19,31,4,0.3708,0.0225,0.2135,0.3483,0.0449
bible_BKR_Ga.txt,167,84,7,26,47,3,0.503,0.0419,0.1557,0.2814,0.018
bible_BKR_Gn.txt,2268,1694,42,137,384,11,0.7469,0.0185,0.0604,0.1693,0.0049
bible_BKR_Iz.txt,1770,1000,13,202,492,63,0.565,0.0073,0.1141,0.278,0.0356
bible_BKR_J.txt,1218,721,14,183,290,10,0.592,0.0115,0.1502,0.2381,0.0082
bible_BKR_Jb.txt,1134,667,14,46,372,35,0.5882,0.0123,0.0406,0.328,0.0309
