file_name,assertive,commissive,declarative,directive,expressive,unknown,total
bible_BKR_1J.txt,83,4,12,41,4,6,150
bible_BKR_1K.txt,259,4,71,195,12,18,559
bible_BKR_1Kr.txt,706,6,176,157,6,2,1053
bible_BKR_1P.txt,30,4,17,37,4,2,94
bible_BKR_1Pa.txt,844,4,84,61,10,4,1007
bible_BKR_1S.txt,851,16,152,271,9,5,1304
bible_BKR_1Te.txt,41,2,8,24,5,2,82
bible_BKR_1Tm.txt,37,2,12,40,7,3,101
bible_BKR_2J.txt,6,1,1,5,1,0,14
bible_BKR_2K.txt,146,7,30,78,10,10,281
bible_BKR_2Kr.txt,698,3,177,205,1,5,1089
bible_BKR_2P.txt,19,3,13,12,0,1,48
bible_BKR_2Pa.txt,703,1,209,127,3,2,1045
bible_BKR_2S.txt,703,3,142,202,5,2,1057
bible_BKR_2Te.txt,17,3,6,9,1,1,37
bible_BKR_2Tm.txt,41,5,12,22,3,2,85
bible_BKR_3J.txt,9,0,0,7,1,3,20
bible_BKR_Abd.txt,15,0,3,11,1,2,32
bible_BKR_Abk.txt,42,2,3,23,6,3,79
bible_BKR_Ag.txt,18,1,13,15,0,0,47
bible_BKR_Am.txt,84,1,26,54,5,6,176
bible_BKR_Da.txt,274,4,91,72,8,2,451
bible_BKR_Dt.txt,454,25,200,267,8,22,976
bible_BKR_Ef.txt,35,4,11,38,5,2,95
bible_BKR_Est.txt,147,0,32,37,2,1,219
bible_BKR_Ex.txt,1146,18,173,287,22,22,1668
bible_BKR_Ez.txt,894,15,247,310,19,15,1500
bible_BKR_Ezd.txt,166,0,71,17,2,1,257
bible_BKR_Fm.txt,12,1,0,8,0,0,21
bible_BKR_Fp.txt,33,2,19,31,4,0,89
bible_BKR_Ga.txt,81,7,26,46,3,4,167
bible_BKR_Gn.txt,1685,42,137,381,11,12,2268
bible_BKR_Iz.txt,955,13,202,487,63,50,1770
bible_BKR_J.txt,699,14,183,284,10,28,1218
bible_BKR_Jb.txt,622,14,46,368,35,49,1134
bible_BKR_Jk.txt,63,0,10,59,6,5,143
bible_BKR_Jl.txt,47,0,11,33,2,0,93
bible_BKR_Jon.txt,44,1,5,17,0,0,67
bible_BKR_Joz.txt,556,4,100,118,2,3,783
bible_BKR_Jr.txt,807,8,285,546,28,41,1715
bible_BKR_Ju.txt,13,1,2,6,0,1,23
bible_BKR_Kaz.txt,151,6,35,93,5,7,297
bible_BKR_Ko.txt,23,1,15,29,5,1,74
bible_BKR_L.txt,808,17,200,332,27,20,1404
bible_BKR_Lv.txt,578,21,136,257,33,19,1044
bible_BKR_Mal.txt,44,0,21,30,4,1,100
bible_BKR_Mi.txt,76,0,14,58,5,2,155
bible_BKR_Mk.txt,565,4,98,217,8,13,905
bible_BKR_Mt.txt,756,22,165,390,23,20,1376
bible_BKR_Na.txt,40,0,3,17,1,3,64
bible_BKR_Neh.txt,330,1,47,41,3,5,427
bible_BKR_Nu.txt,1053,29,129,258,10,9,1488
bible_BKR_Oz.txt,176,3,19,59,8,9,274
bible_BKR_Pis.txt,109,6,7,39,0,2,163
bible_BKR_Pl.txt,136,1,6,46,2,7,198
bible_BKR_Pr.txt,507,8,61,248,76,40,940
bible_BKR_R.txt,235,17,75,161,20,8,516
bible_BKR_Rt.txt,91,1,16,37,1,2,148
bible_BKR_Sd.txt,627,3,96,160,0,2,888
bible_BKR_Sf.txt,44,2,8,16,3,2,75
bible_BKR_Sk.txt,779,12,130,225,5,5,1156
bible_BKR_Tit.txt,16,1,10,9,1,0,37
bible_BKR_Z.txt,1494,24,163,796,188,148,2813
bible_BKR_Za.txt,144,5,50,60,6,5,270
bible_BKR_Zd.txt,142,16,44,82,6,4,294
bible_BKR_Zj.txt,330,11,54,120,15,2,532
