primary_intention,file_name,count,total,rate,corpus_mean,corpus_std,zscore,rank
commanding,bible_BKR_1J.txt,1,40,0.025,0.1232,0.0495,-1.981,65
commanding,bible_BKR_1K.txt,4,40,0.1,0.1232,0.0495,-0.467,40
commanding,bible_BKR_1Kr.txt,5,40,0.125,0.1232,0.0495,0.037,22
commanding,bible_BKR_1P.txt,4,40,0.1,0.1232,0.0495,-0.467,41
commanding,bible_BKR_1Pa.txt,7,40,0.175,0.1232,0.0495,1.046,7
commanding,bible_BKR_1S.txt,5,40,0.125,0.1232,0.0495,0.037,23
commanding,bible_BKR_1Te.txt,11,40,0.275,0.1232,0.0495,3.065,1
commanding,bible_BKR_1Tm.txt,5,40,0.125,0.1232,0.0495,0.037,24
commanding,bible_BKR_2J.txt,3,13,0.2308,0.1232,0.0495,2.173,2
commanding,bible_BKR_2K.txt,4,40,0.1,0.1232,0.0495,-0.467,42
commanding,bible_BKR_2Kr.txt,3,40,0.075,0.1232,0.0495,-0.972,53
commanding,bible_BKR_2P.txt,9,40,0.225,0.1232,0.0495,2.056,3
commanding,bible_BKR_2Pa.txt,8,40,0.2,0.1232,0.0495,1.551,4
commanding,bible_BKR_2S.txt,3,40,0.075,0.1232,0.0495,-0.972,54
commanding,bible_BKR_2Te.txt,4,40,0.1,0.1232,0.0495,-0.467,43
commanding,bible_BKR_2Tm.txt,2,40,0.05,0.1232,0.0495,-1.477,60
commanding,bible_BKR_3J.txt,2,15,0.1333,0.1232,0.0495,0.205,21
commanding,bible_BKR_Abd.txt,2,21,0.0952,0.1232,0.0495,-0.564,52
commanding,bible_BKR_Abk.txt,4,40,0.1,0.1232,0.0495,-0.467,44
commanding,bible_BKR_Ag.txt,7,38,0.1842,0.1232,0.0495,1.232,6
commanding,bible_BKR_Am.txt,2,40,0.05,0.1232,0.0495,-1.477,61
commanding,bible_BKR_Da.txt,5,40,0.125,0.1232,0.0495,0.037,25
commanding,bible_BKR_Dt.txt,4,40,0.1,0.1232,0.0495,-0.467,45
commanding,bible_BKR_Ef.txt,4,40,0.1,0.1232,0.0495,-0.467,46
commanding,bible_BKR_Est.txt,5,40,0.125,0.1232,0.0495,0.037,26
commanding,bible_BKR_Ex.txt,5,40,0.125,0.1232,0.0495,0.037,27
commanding,bible_BKR_Ez.txt,4,40,0.1,0.1232,0.0495,-0.467,47
commanding,bible_BKR_Ezd.txt,6,40,0.15,0.1232,0.0495,0.542,16
commanding,bible_BKR_Fm.txt,3,25,0.12,0.1232,0.0495,-0.064,39
commanding,bible_BKR_Fp.txt,7,40,0.175,0.1232,0.0495,1.046,8
commanding,bible_BKR_Ga.txt,3,40,0.075,0.1232,0.0495,-0.972,55
commanding,bible_BKR_Gn.txt,2,40,0.05,0.1232,0.0495,-1.477,62
commanding,bible_BKR_Iz.txt,7,40,0.175,0.1232,0.0495,1.046,9
commanding,bible_BKR_J.txt,7,40,0.175,0.1232,0.0495,1.046,10
commanding,bible_BKR_Jb.txt,7,40,0.175,0.1232,0.0495,1.046,11
commanding,bible_BKR_Jk.txt,5,40,0.125,0.1232,0.0495,0.037,28
commanding,bible_BKR_Jl.txt,1,40,0.025,0.1232,0.0495,-1.981,66
commanding,bible_BKR_Jon.txt,5,40,0.125,0.1232,0.0495,0.037,29
commanding,bible_BKR_Joz.txt,5,40,0.125,0.1232,0.0495,0.037,30
commanding,bible_BKR_Jr.txt,3,40,0.075,0.1232,0.0495,-0.972,56
commanding,bible_BKR_Ju.txt,1,25,0.04,0.1232,0.0495,-1.678,64
commanding,bible_BKR_Kaz.txt,3,40,0.075,0.1232,0.0495,-0.972,57
commanding,bible_BKR_Ko.txt,5,40,0.125,0.1232,0.0495,0.037,31
commanding,bible_BKR_L.txt,5,40,0.125,0.1232,0.0495,0.037,32
commanding,bible_BKR_Lv.txt,5,40,0.125,0.1232,0.0495,0.037,33
commanding,bible_BKR_Mal.txt,6,40,0.15,0.1232,0.0495,0.542,17
commanding,bible_BKR_Mi.txt,7,40,0.175,0.1232,0.0495,1.046,12
commanding,bible_BKR_Mk.txt,5,40,0.125,0.1232,0.0495,0.037,34
commanding,bible_BKR_Mt.txt,4,40,0.1,0.1232,0.0495,-0.467,48
commanding,bible_BKR_Na.txt,4,40,0.1,0.1232,0.0495,-0.467,49
commanding,bible_BKR_Neh.txt,6,40,0.15,0.1232,0.0495,0.542,18
commanding,bible_BKR_Nu.txt,8,40,0.2,0.1232,0.0495,1.551,5
commanding,bible_BKR_Oz.txt,7,40,0.175,0.1232,0.0495,1.046,13
commanding,bible_BKR_Pis.txt,4,40,0.1,0.1232,0.0495,-0.467,50
commanding,bible_BKR_Pl.txt,5,40,0.125,0.1232,0.0495,0.037,35
commanding,bible_BKR_Pr.txt,6,40,0.15,0.1232,0.0495,0.542,19
commanding,bible_BKR_R.txt,5,40,0.125,0.1232,0.0495,0.037,36
commanding,bible_BKR_Rt.txt,5,40,0.125,0.1232,0.0495,0.037,37
commanding,bible_BKR_Sd.txt,6,40,0.15,0.1232,0.0495,0.542,20
commanding,bible_BKR_Sf.txt,3,40,0.075,0.1232,0.0495,-0.972,58
commanding,bible_BKR_Sk.txt,7,40,0.175,0.1232,0.0495,1.046,14
commanding,bible_BKR_Tit.txt,7,40,0.175,0.1232,0.0495,1.046,15
commanding,bible_BKR_Z.txt,5,40,0.125,0.1232,0.0495,0.037,38
commanding,bible_BKR_Za.txt,2,40,0.05,0.1232,0.0495,-1.477,63
commanding,bible_BKR_Zd.txt,3,40,0.075,0.1232,0.0495,-0.972,59
commanding,bible_BKR_Zj.txt,4,40,0.1,0.1232,0.0495,-0.467,51
condemning,bible_BKR_1J.txt,6,40,0.15,0.0661,0.0374,2.246,1
condemning,bible_BKR_1K.txt,2,40,0.05,0.0661,0.0374,-0.43,36
condemning,bible_BKR_1Kr.txt,4,40,0.1,0.0661,0.0374,0.908,8
condemning,bible_BKR_1P.txt,3,40,0.075,0.0661,0.0374,0.239,18
condemning,bible_BKR_1Pa.txt,2,40,0.05,0.0661,0.0374,-0.43,37
condemning,bible_BKR_1S.txt,4,40,0.1,0.0661,0.0374,0.908,9
condemning,bible_BKR_1Te.txt,3,40,0.075,0.0661,0.0374,0.239,19
condemning,bible_BKR_1Tm.txt,4,40,0.1,0.0661,0.0374,0.908,10
condemning,bible_BKR_2J.txt,0,13,0.0,0.0661,0.0374,-1.768,62
condemning,bible_BKR_2K.txt,2,40,0.05,0.0661,0.0374,-0.43,38
condemning,bible_BKR_2Kr.txt,3,40,0.075,0.0661,0.0374,0.239,20
condemning,bible_BKR_2P.txt,3,40,0.075,0.0661,0.0374,0.239,21
condemning,bible_BKR_2Pa.txt,1,40,0.025,0.0661,0.0374,-1.099,53
condemning,bible_BKR_2S.txt,1,40,0.025,0.0661,0.0374,-1.099,54
condemning,bible_BKR_2Te.txt,2,40,0.05,0.0661,0.0374,-0.43,39
condemning,bible_BKR_2Tm.txt,1,40,0.025,0.0661,0.0374,-1.099,55
condemning,bible_BKR_3J.txt,0,15,0.0,0.0661,0.0374,-1.768,63
condemning,bible_BKR_Abd.txt,3,21,0.1429,0.0661,0.0374,2.056,4
condemning,bible_BKR_Abk.txt,0,40,0.0,0.0661,0.0374,-1.768,64
condemning,bible_BKR_Ag.txt,2,38,0.0526,0.0661,0.0374,-0.36,35
condemning,bible_BKR_Am.txt,2,40,0.05,0.0661,0.0374,-0.43,40
condemning,bible_BKR_Da.txt,4,40,0.1,0.0661,0.0374,0.908,11
condemning,bible_BKR_Dt.txt,2,40,0.05,0.0661,0.0374,-0.43,41
condemning,bible_BKR_Ef.txt,4,40,0.1,0.0661,0.0374,0.908,12
condemning,bible_BKR_Est.txt,2,40,0.05,0.0661,0.0374,-0.43,42
condemning,bible_BKR_Ex.txt,3,40,0.075,0.0661,0.0374,0.239,22
condemning,bible_BKR_Ez.txt,2,40,0.05,0.0661,0.0374,-0.43,43
condemning,bible_BKR_Ezd.txt,2,40,0.05,0.0661,0.0374,-0.43,44
condemning,bible_BKR_Fm.txt,3,25,0.12,0.0661,0.0374,1.443,6
condemning,bible_BKR_Fp.txt,5,40,0.125,0.0661,0.0374,1.577,5
condemning,bible_BKR_Ga.txt,1,40,0.025,0.0661,0.0374,-1.099,56
condemning,bible_BKR_Gn.txt,6,40,0.15,0.0661,0.0374,2.246,2
condemning,bible_BKR_Iz.txt,6,40,0.15,0.0661,0.0374,2.246,3
condemning,bible_BKR_J.txt,4,40,0.1,0.0661,0.0374,0.908,13
condemning,bible_BKR_Jb.txt,3,40,0.075,0.0661,0.0374,0.239,23
