file_name,total,commanding,condemning,declaring,ideological_contestation,intervention,justifying,legitimation,mobilizing,narrative,persuading,praising,promising,questioning,record,unclassified,warning,commanding_rate,condemning_rate,declaring_rate,ideological_contestation_rate,intervention_rate,justifying_rate,legitimation_rate,mobilizing_rate,narrative_rate,persuading_rate,praising_rate,promising_rate,questioning_rate,record_rate,unclassified_rate,warning_rate
bible_BKR_1J.txt,150,34,2,19,7,5,15,0,3,1,19,2,4,4,29,6,0,0.2267,0.0133,0.1267,0.0467,0.0333,0.1,0.0,0.02,0.0067,0.1267,0.0133,0.0267,0.0267,0.1933,0.04,0.0
bible_BKR_1K.txt,559,107,0,29,16,52,52,3,15,10,102,12,4,64,66,18,9,0.1914,0.0,0.0519,0.0286,0.093,0.093,0.0054,0.0268,0.0179,0.1825,0.0215,0.0072,0.1145,0.1181,0.0322,0.0161
bible_BKR_1Kr.txt,1053,111,2,63,19,66,79,91,11,26,77,4,6,26,461,2,9,0.1054,0.0019,0.0598,0.018,0.0627,0.075,0.0864,0.0104,0.0247,0.0731,0.0038,0.0057,0.0247,0.4378,0.0019,0.0085
bible_BKR_1P.txt,94,27,2,5,7,4,6,6,3,0,15,2,4,3,4,2,4,0.2872,0.0213,0.0532,0.0745,0.0426,0.0638,0.0638,0.0319,0.0,0.1596,0.0213,0.0426,0.0319,0.0426,0.0213,0.0426
bible_BKR_1Pa.txt,1007,49,1,20,6,25,81,53,4,269,59,9,4,6,415,4,2,0.0487,0.001,0.0199,0.006,0.0248,0.0804,0.0526,0.004,0.2671,0.0586,0.0089,0.004,0.006,0.4121,0.004,0.002
bible_BKR_1S.txt,1304,165,6,52,23,63,138,66,21,19,101,3,16,81,541,5,4,0.1265,0.0046,0.0399,0.0176,0.0483,0.1058,0.0506,0.0161,0.0146,0.0775,0.0023,0.0123,0.0621,0.4149,0.0038,0.0031
bible_BKR_1Te.txt,82,15,0,8,3,2,11,3,4,3,17,5,2,1,2,2,4,0.1829,0.0,0.0976,0.0366,0.0244,0.1341,0.0366,0.0488,0.0366,0.2073,0.061,0.0244,0.0122,0.0244,0.0244,0.0488
bible_BKR_1Tm.txt,101,28,0,5,5,5,11,2,10,1,10,7,2,0,10,3,2,0.2772,0.0,0.0495,0.0495,0.0495,0.1089,0.0198,0.099,0.0099,0.099,0.0693,0.0198,0.0,0.099,0.0297,0.0198
bible_BKR_2J.txt,14,4,0,1,1,0,0,0,1,0,0,1,1,0,5,0,0,0.2857,0.0,0.0714,0.0714,0.0,0.0,0.0,0.0714,0.0,0.0,0.0714,0.0714,0.0,0.3571,0.0,0.0
bible_BKR_2K.txt,281,48,0,23,11,15,40,4,6,7,50,10,7,21,26,10,3,0.1708,0.0,0.0819,0.0391,0.0534,0.1423,0.0142,0.0214,0.0249,0.1779,0.0356,0.0249,0.0747,0.0925,0.0356,0.0107
