file_name,total,legitimation,legitimation_ratio,ideological_contestation,ideological_contestation_ratio,intervention,intervention_ratio,directive,assertive,directive_vs_assertive
bible_BKR_1J.txt,150,0,0.0,7,0.047,5,0.033,42,88,0.323
bible_BKR_1K.txt,559,3,0.005,16,0.029,52,0.093,199,273,0.422
bible_BKR_1Kr.txt,1053,91,0.086,19,0.018,66,0.063,158,707,0.183
bible_BKR_1P.txt,94,6,0.064,7,0.074,4,0.043,37,32,0.536
bible_BKR_1Pa.txt,1007,53,0.053,6,0.006,25,0.025,61,848,0.067
bible_BKR_1S.txt,1304,66,0.051,23,0.018,63,0.048,271,856,0.24
bible_BKR_1Te.txt,82,3,0.037,3,0.037,2,0.024,24,43,0.358
bible_BKR_1Tm.txt,101,2,0.02,5,0.05,5,0.05,40,40,0.5
bible_BKR_2J.txt,14,0,0.0,1,0.071,0,0.0,5,6,0.455
bible_BKR_2K.txt,281,4,0.014,11,0.039,15,0.053,78,156,0.333
bible_BKR_2Kr.txt,1089,99,0.091,18,0.017,60,0.055,206,702,0.227
bible_BKR_2P.txt,48,1,0.021,3,0.062,9,0.188,12,20,0.375
bible_BKR_2Pa.txt,1045,127,0.122,14,0.013,68,0.065,128,704,0.154
bible_BKR_2S.txt,1057,79,0.075,16,0.015,47,0.044,203,704,0.224
bible_BKR_2Te.txt,37,3,0.081,1,0.027,2,0.054,10,17,0.37
bible_BKR_2Tm.txt,85,2,0.024,7,0.082,3,0.035,22,43,0.338
bible_BKR_3J.txt,20,0,0.0,0,0.0,0,0.0,7,12,0.368
bible_BKR_Abd.txt,32,1,0.031,0,0.0,2,0.062,12,16,0.429
bible_BKR_Abk.txt,79,0,0.0,1,0.013,2,0.025,23,45,0.338
bible_BKR_Ag.txt,47,4,0.085,2,0.043,7,0.149,15,18,0.455
bible_BKR_Am.txt,176,12,0.068,6,0.034,8,0.045,54,90,0.375
bible_BKR_Da.txt,451,47,0.104,11,0.024,33,0.073,73,275,0.21
bible_BKR_Dt.txt,976,117,0.12,5,0.005,78,0.08,277,466,0.373
bible_BKR_Ef.txt,95,2,0.021,4,0.042,5,0.053,38,37,0.507
bible_BKR_Est.txt,219,16,0.073,3,0.014,13,0.059,37,148,0.2
bible_BKR_Ex.txt,1668,90,0.054,5,0.003,78,0.047,296,1159,0.203
bible_BKR_Ez.txt,1500,121,0.081,26,0.017,100,0.067,315,904,0.258
bible_BKR_Ezd.txt,257,45,0.175,2,0.008,24,0.093,17,167,0.092
bible_BKR_Fm.txt,21,0,0.0,0,0.0,0,0.0,8,12,0.4
bible_BKR_Fp.txt,89,0,0.0,5,0.056,14,0.157,31,33,0.484
bible_BKR_Ga.txt,167,4,0.024,13,0.078,9,0.054,47,84,0.359
bible_BKR_Gn.txt,2268,23,0.01,18,0.008,96,0.042,384,1694,0.185
bible_BKR_Iz.txt,1770,85,0.048,42,0.024,75,0.042,492,1000,0.33
bible_BKR_J.txt,1218,7,0.006,40,0.033,136,0.112,290,721,0.287
bible_BKR_Jb.txt,1134,5,0.004,8,0.007,33,0.029,372,667,0.358
bible_BKR_Jk.txt,143,1,0.007,5,0.035,4,0.028,59,68,0.465
bible_BKR_Jl.txt,93,8,0.086,1,0.011,2,0.022,33,47,0.412
bible_BKR_Jon.txt,67,0,0.0,1,0.015,4,0.06,17,44,0.279
bible_BKR_Joz.txt,783,42,0.054,5,0.006,53,0.068,119,558,0.176
bible_BKR_Jr.txt,1715,156,0.091,33,0.019,96,0.056,551,843,0.395
bible_BKR_Ju.txt,23,0,0.0,2,0.087,0,0.0,6,14,0.3
bible_BKR_Kaz.txt,297,4,0.013,5,0.017,26,0.088,95,156,0.378
bible_BKR_Ko.txt,74,2,0.027,2,0.027,11,0.149,29,24,0.547
bible_BKR_L.txt,1404,12,0.009,33,0.024,155,0.11,334,826,0.288
bible_BKR_Lv.txt,1044,75,0.072,1,0.001,60,0.057,259,595,0.303
bible_BKR_Mal.txt,100,4,0.04,1,0.01,16,0.16,30,45,0.4
bible_BKR_Mi.txt,155,7,0.045,1,0.006,6,0.039,60,76,0.441
bible_BKR_Mk.txt,905,3,0.003,18,0.02,77,0.085,218,577,0.274
bible_BKR_Mt.txt,1376,15,0.011,27,0.02,123,0.089,390,776,0.334
bible_BKR_Na.txt,64,1,0.016,0,0.0,2,0.031,17,43,0.283
bible_BKR_Neh.txt,427,25,0.059,8,0.019,14,0.033,42,334,0.112
bible_BKR_Nu.txt,1488,72,0.048,6,0.004,51,0.034,259,1061,0.196
bible_BKR_Oz.txt,274,12,0.044,1,0.004,6,0.022,60,184,0.246
bible_BKR_Pis.txt,163,0,0.0,0,0.0,7,0.043,39,111,0.26
bible_BKR_Pl.txt,198,1,0.005,0,0.0,5,0.025,48,141,0.254
bible_BKR_Pr.txt,940,6,0.006,20,0.021,35,0.037,257,538,0.323
bible_BKR_R.txt,516,10,0.019,39,0.076,26,0.05,163,241,0.403
bible_BKR_Rt.txt,148,4,0.027,3,0.02,9,0.061,37,93,0.285
bible_BKR_Sd.txt,888,39,0.044,4,0.005,53,0.06,161,628,0.204
bible_BKR_Sf.txt,75,5,0.067,0,0.0,3,0.04,16,46,0.258
bible_BKR_Sk.txt,1156,28,0.024,36,0.031,66,0.057,226,783,0.224
bible_BKR_Tit.txt,37,2,0.054,2,0.054,6,0.162,9,16,0.36
bible_BKR_Z.txt,2813,93,0.033,18,0.006,52,0.018,806,1632,0.331
bible_BKR_Za.txt,270,22,0.081,6,0.022,22,0.081,60,149,0.287
bible_BKR_Zd.txt,294,15,0.051,12,0.041,17,0.058,82,146,0.36
bible_BKR_Zj.txt,532,19,0.036,16,0.03,19,0.036,120,332,0.265
