file_name,appeal_to_authority,appeal_to_scripture,appeal_to_tradition,conditional_threat,contrast,direct_address,narrative_example,promise_of_reward,repetition,rhetorical_question,unclassified,total
bible_BKR_1J.txt,20,8,8,15,4,57,5,1,10,1,21,150
bible_BKR_1K.txt,80,51,9,13,12,133,18,7,76,27,133,559
bible_BKR_1Kr.txt,165,155,40,17,6,158,87,16,118,19,272,1053
bible_BKR_1P.txt,20,20,4,6,2,26,0,3,5,0,8,94
bible_BKR_1Pa.txt,83,87,69,17,3,152,36,8,167,3,382,1007
bible_BKR_1S.txt,203,194,29,36,12,255,66,14,75,56,364,1304
bible_BKR_1Te.txt,13,19,2,2,2,38,1,0,2,0,3,82
bible_BKR_1Tm.txt,15,7,10,10,3,20,5,2,9,0,20,101
bible_BKR_2J.txt,0,1,2,1,0,4,0,0,1,0,5,14
bible_BKR_2K.txt,45,27,6,8,7,111,1,7,15,4,50,281
bible_BKR_2Kr.txt,158,123,28,34,10,210,67,10,95,30,324,1089
bible_BKR_2P.txt,12,8,2,1,2,13,0,0,3,0,7,48
bible_BKR_2Pa.txt,146,179,51,29,6,199,58,15,105,4,253,1045
bible_BKR_2S.txt,108,118,27,30,16,245,82,7,70,37,317,1057
bible_BKR_2Te.txt,10,5,3,2,0,14,0,0,1,0,2,37
bible_BKR_2Tm.txt,15,11,5,5,3,11,4,2,7,0,22,85
bible_BKR_3J.txt,0,1,0,0,1,11,1,0,1,0,5,20
bible_BKR_Abd.txt,3,9,0,1,0,6,2,1,3,1,6,32
bible_BKR_Abk.txt,7,14,3,2,1,7,1,2,4,4,34,79
bible_BKR_Ag.txt,23,7,0,0,0,4,2,0,2,2,7,47
bible_BKR_Am.txt,53,42,1,5,3,22,3,0,8,7,32,176
bible_BKR_Da.txt,60,66,8,20,5,41,18,37,51,7,138,451
bible_BKR_Dt.txt,170,302,36,13,10,168,28,16,55,1,177,976
bible_BKR_Ef.txt,30,11,5,3,4,26,0,0,5,0,11,95
bible_BKR_Est.txt,10,35,3,7,2,28,15,7,27,10,75,219
bible_BKR_Ex.txt,207,384,27,18,20,199,91,13,201,6,502,1668
bible_BKR_Ez.txt,368,203,28,36,18,176,64,18,219,25,345,1500
bible_BKR_Ezd.txt,35,32,3,4,0,67,5,2,29,0,80,257
bible_BKR_Fm.txt,6,5,0,0,1,6,0,0,1,0,2,21
bible_BKR_Fp.txt,20,9,2,5,1,32,1,0,7,1,11,89
bible_BKR_Ga.txt,47,13,15,2,4,36,7,0,13,3,27,167
bible_BKR_Gn.txt,225,220,133,39,31,362,126,41,158,40,893,2268
bible_BKR_Iz.txt,244,388,17,34,30,294,42,40,127,33,521,1770
bible_BKR_J.txt,275,106,57,37,31,200,42,19,72,47,332,1218
bible_BKR_Jb.txt,91,156,19,39,52,108,56,17,57,78,461,1134
bible_BKR_Jk.txt,13,9,15,4,3,42,7,4,11,3,32,143
bible_BKR_Jl.txt,11,23,1,0,1,21,2,1,8,0,25,93
bible_BKR_Jon.txt,13,18,2,1,2,9,3,1,4,3,11,67
bible_BKR_Joz.txt,85,138,63,22,8,125,22,6,93,3,218,783
bible_BKR_Jr.txt,441,310,27,23,20,292,58,14,131,39,360,1715
bible_BKR_Ju.txt,6,6,1,0,2,5,0,0,1,0,2,23
bible_BKR_Kaz.txt,35,31,2,20,14,20,20,7,46,6,96,297
bible_BKR_Ko.txt,15,6,6,3,3,26,0,0,4,0,11,74
bible_BKR_L.txt,255,159,30,39,24,276,49,39,51,49,433,1404
bible_BKR_Lv.txt,91,288,33,15,13,110,36,6,120,0,332,1044
bible_BKR_Mal.txt,34,17,3,3,2,14,1,0,3,4,19,100
bible_BKR_Mi.txt,14,42,5,4,4,31,3,1,7,7,37,155
bible_BKR_Mk.txt,143,90,16,28,6,121,45,16,44,28,368,905
bible_BKR_Mt.txt,245,124,36,19,16,246,53,58,83,37,459,1376
bible_BKR_Na.txt,3,21,0,1,0,9,1,1,5,1,22,64
bible_BKR_Neh.txt,43,48,14,8,5,94,14,6,47,4,144,427
bible_BKR_Nu.txt,133,374,98,18,14,141,51,11,140,8,500,1488
bible_BKR_Oz.txt,35,57,3,11,8,47,9,7,18,3,76,274
bible_BKR_Pis.txt,7,37,0,3,1,28,4,0,19,3,61,163
bible_BKR_Pl.txt,13,40,2,3,8,40,5,4,5,1,77,198
bible_BKR_Pr.txt,44,102,18,26,82,121,43,21,66,10,407,940
bible_BKR_R.txt,80,43,30,35,13,103,12,10,50,22,118,516
bible_BKR_Rt.txt,12,13,3,1,2,35,12,1,14,6,49,148
bible_BKR_Sd.txt,94,127,36,12,11,191,53,5,58,23,278,888
bible_BKR_Sf.txt,10,22,0,1,0,11,4,2,7,0,18,75
bible_BKR_Sk.txt,376,111,30,19,22,160,48,22,33,19,316,1156
bible_BKR_Tit.txt,8,0,3,0,1,12,0,0,3,0,10,37
bible_BKR_Z.txt,224,529,53,62,60,503,60,133,134,28,1027,2813
bible_BKR_Za.txt,80,55,1,2,2,29,11,2,26,10,52,270
bible_BKR_Zd.txt,51,46,19,12,9,37,6,10,31,4,69,294
bible_BKR_Zj.txt,78,92,15,33,14,62,14,14,66,2,142,532
