file_name,christian_elements_token_density,christian_elements_sentence_density,covenant_law_token_density,covenant_law_sentence_density,divine_token_density,divine_sentence_density,divine_hierarchy_token_density,divine_hierarchy_sentence_density,eschatology_token_density,eschatology_sentence_density,genealogy_lineage_token_density,genealogy_lineage_sentence_density,kinship_token_density,kinship_sentence_density,legal_token_density,legal_sentence_density,life_death_token_density,life_death_sentence_density,monotheism_token_density,monotheism_sentence_density,moral_token_density,moral_sentence_density,prophetic_speech_token_density,prophetic_speech_sentence_density,ritual_sacrifice_token_density,ritual_sacrifice_sentence_density,royal_power_token_density,royal_power_sentence_density,sacred_space_token_density,sacred_space_sentence_density,war_conflict_token_density,war_conflict_sentence_density,wisdom_token_density,wisdom_sentence_density,yhwh_elements_token_density,yhwh_elements_sentence_density
bible_BKR_1J.txt,0.01074,0.1,0.0,0.0,0.0138,0.15,0.0,0.0,0.0046,0.05,0.0,0.0,0.0138,0.175,0.00153,0.025,0.00613,0.05,0.00307,0.05,0.01994,0.225,0.0,0.0,0.00153,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_1K.txt,0.04309,0.4,0.0,0.0,0.06463,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.025,0.0018,0.025,0.0,0.0,0.01975,0.275,0.0,0.0,0.0018,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02154,0.3,0.0,0.0
bible_BKR_1Kr.txt,0.00634,0.125,0.0,0.0,0.01014,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.01521,0.275,0.0,0.0,0.0,0.0,0.01014,0.125,0.0,0.0,0.00634,0.125,0.01014,0.2,0.03295,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.00634,0.125
bible_BKR_1P.txt,0.02259,0.225,0.0,0.0,0.04367,0.375,0.0,0.0,0.00151,0.025,0.00151,0.025,0.00301,0.05,0.0,0.0,0.00151,0.025,0.00904,0.15,0.00301,0.05,0.00301,0.05,0.0,0.0,0.00151,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_1Pa.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00326,0.025,0.06515,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_1S.txt,0.03408,0.65,0.0,0.0,0.04194,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.00393,0.05,0.0,0.0,0.0,0.0,0.03801,0.675,0.00393,0.075,0.0,0.0,0.00393,0.075,0.00131,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.03408,0.65
bible_BKR_1Te.txt,0.02033,0.325,0.0,0.0,0.04201,0.575,0.0,0.0,0.0,0.0,0.00136,0.025,0.00407,0.075,0.00136,0.025,0.0,0.0,0.01762,0.325,0.00271,0.05,0.0,0.0,0.0,0.0,0.00136,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_1Tm.txt,0.03041,0.25,0.00507,0.075,0.05068,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.00169,0.025,0.00507,0.075,0.0,0.0,0.01014,0.15,0.01182,0.175,0.00169,0.025,0.0,0.0,0.00338,0.05,0.0,0.0,0.00169,0.025,0.0,0.0,0.0,0.0
bible_BKR_2J.txt,0.01389,0.23077,0.0,0.0,0.02778,0.30769,0.0,0.0,0.00463,0.07692,0.0,0.0,0.00926,0.15385,0.0,0.0,0.0,0.0,0.00926,0.15385,0.01389,0.23077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_2K.txt,0.0208,0.25,0.0,0.0,0.04012,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.00149,0.025,0.0,0.0,0.00594,0.075,0.01486,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00149,0.025,0.0,0.0
bible_BKR_2Kr.txt,0.01497,0.35,0.0,0.0,0.02353,0.425,0.00214,0.05,0.0,0.0,0.0,0.0,0.00214,0.05,0.0,0.0,0.00214,0.05,0.02032,0.375,0.00107,0.025,0.0,0.0,0.0,0.0,0.00642,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.01497,0.35
bible_BKR_2P.txt,0.01282,0.15,0.0,0.0,0.02422,0.25,0.0,0.0,0.00142,0.025,0.0,0.0,0.00285,0.05,0.00285,0.05,0.0,0.0,0.0057,0.1,0.00997,0.175,0.00285,0.05,0.0,0.0,0.00142,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_2Pa.txt,0.00874,0.2,0.0,0.0,0.01749,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.00765,0.15,0.0,0.0,0.0,0.0,0.01749,0.3,0.0,0.0,0.0,0.0,0.00109,0.025,0.01093,0.25,0.00109,0.025,0.0,0.0,0.00328,0.075,0.00874,0.2
bible_BKR_2S.txt,0.00812,0.15,0.0,0.0,0.01083,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.01083,0.2,0.0,0.0,0.00271,0.05,0.00812,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.00541,0.1,0.0,0.0,0.00406,0.075,0.0,0.0,0.00812,0.15
bible_BKR_2Te.txt,0.02206,0.275,0.0,0.0,0.05294,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01618,0.275,0.01324,0.175,0.00147,0.025,0.0,0.0,0.00147,0.025,0.0,0.0,0.0,0.0,0.00147,0.025,0.0,0.0
bible_BKR_2Tm.txt,0.03427,0.275,0.0,0.0,0.04673,0.375,0.0,0.0,0.00156,0.025,0.0,0.0,0.0,0.0,0.00156,0.025,0.00467,0.05,0.00623,0.1,0.00467,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_3J.txt,0.0,0.0,0.0,0.0,0.00962,0.13333,0.0,0.0,0.0,0.0,0.0,0.0,0.00481,0.06667,0.0,0.0,0.0,0.0,0.00962,0.13333,0.02885,0.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_Abd.txt,0.01453,0.28571,0.0,0.0,0.01453,0.28571,0.0,0.0,0.00242,0.04762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01453,0.28571,0.0,0.0,0.00242,0.04762,0.0,0.0,0.00242,0.04762,0.0,0.0,0.00484,0.09524,0.0,0.0,0.01453,0.28571
bible_BKR_Abk.txt,0.00813,0.15,0.00136,0.025,0.02168,0.3,0.0,0.0,0.00136,0.025,0.0,0.0,0.0,0.0,0.00407,0.05,0.00136,0.025,0.01355,0.225,0.00813,0.125,0.00542,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00136,0.025,0.00813,0.15
bible_BKR_Ag.txt,0.031,0.60526,0.00135,0.02632,0.03774,0.63158,0.0,0.0,0.0,0.0,0.0,0.0,0.00135,0.02632,0.00135,0.02632,0.0,0.0,0.03369,0.60526,0.0,0.0,0.0,0.0,0.00674,0.13158,0.00404,0.07895,0.00135,0.02632,0.00135,0.02632,0.0,0.0,0.031,0.60526
bible_BKR_Am.txt,0.02691,0.475,0.00283,0.025,0.02691,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.00425,0.05,0.00425,0.05,0.0,0.0,0.02691,0.475,0.00283,0.05,0.0,0.0,0.0,0.0,0.00425,0.075,0.0,0.0,0.00142,0.025,0.0,0.0,0.02691,0.475
bible_BKR_Da.txt,0.0,0.0,0.0,0.0,0.01138,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00632,0.125,0.0,0.0,0.00253,0.05,0.0,0.0,0.02908,0.525,0.0,0.0,0.0,0.0,0.00379,0.075,0.0,0.0
bible_BKR_Dt.txt,0.02228,0.425,0.00131,0.025,0.0367,0.425,0.0,0.0,0.0,0.0,0.00524,0.1,0.00262,0.05,0.00262,0.05,0.0,0.0,0.0367,0.425,0.00524,0.05,0.0,0.0,0.0,0.0,0.00131,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.02228,0.425
bible_BKR_Ef.txt,0.04167,0.425,0.00167,0.025,0.065,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.00167,0.025,0.00167,0.025,0.00333,0.05,0.01167,0.175,0.00333,0.05,0.00167,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.05,0.0,0.0
bible_BKR_Est.txt,0.0,0.0,0.0,0.0,0.00213,0.05,0.0,0.0,0.0,0.0,0.00107,0.025,0.00213,0.05,0.00107,0.025,0.00107,0.025,0.0,0.0,0.00107,0.025,0.0,0.0,0.0,0.0,0.03518,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_Ex.txt,0.0,0.0,0.0,0.0,0.00429,0.075,0.0,0.0,0.0,0.0,0.00286,0.05,0.01717,0.275,0.0,0.0,0.0,0.0,0.00429,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.00715,0.125,0.0,0.0,0.00143,0.025,0.0,0.0,0.0,0.0
bible_BKR_Ez.txt,0.00271,0.05,0.0,0.0,0.00814,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.00678,0.125,0.0,0.0,0.0,0.0,0.00271,0.05,0.00136,0.025,0.00407,0.075,0.0,0.0,0.00136,0.025,0.0,0.0,0.00136,0.025,0.0,0.0,0.00271,0.05
bible_BKR_Ezd.txt,0.01116,0.125,0.0,0.0,0.02455,0.125,0.0,0.0,0.0,0.0,0.00223,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.02009,0.125,0.0,0.0,0.0,0.0,0.00446,0.05,0.01562,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.01116,0.125
bible_BKR_Fm.txt,0.03704,0.32,0.0,0.0,0.05556,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.00617,0.08,0.0,0.0,0.0,0.0,0.00617,0.08,0.00617,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00309,0.04,0.0,0.0
bible_BKR_Fp.txt,0.04419,0.55,0.0,0.0,0.05892,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00327,0.05,0.00491,0.05,0.00982,0.15,0.00327,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164,0.025,0.0,0.0,0.0,0.0
bible_BKR_Ga.txt,0.03049,0.375,0.00305,0.05,0.03354,0.35,0.00152,0.025,0.0,0.0,0.00152,0.025,0.00152,0.025,0.00305,0.05,0.00152,0.025,0.00915,0.15,0.0061,0.075,0.00305,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_Gn.txt,0.00733,0.125,0.0,0.0,0.05572,0.825,0.0,0.0,0.0,0.0,0.00733,0.125,0.0,0.0,0.0,0.0,0.00293,0.05,0.05425,0.8,0.0132,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00147,0.025,0.0,0.0,0.00733,0.125
bible_BKR_Iz.txt,0.01634,0.275,0.00297,0.05,0.0208,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.00446,0.075,0.01189,0.175,0.0,0.0,0.01932,0.275,0.00297,0.05,0.00149,0.025,0.00297,0.05,0.0,0.0,0.0,0.0,0.00297,0.05,0.0,0.0,0.01634,0.275
bible_BKR_J.txt,0.01476,0.175,0.00185,0.025,0.03321,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.00185,0.025,0.00185,0.025,0.0,0.0,0.00923,0.125,0.00554,0.075,0.00554,0.075,0.00554,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bible_BKR_Jb.txt,0.01408,0.275,0.0,0.0,0.02561,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.00384,0.075,0.0,0.0,0.00128,0.025,0.02561,0.425,0.00384,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00256,0.05,0.0,0.0,0.01408,0.275
bible_BKR_Jk.txt,0.00335,0.05,0.01005,0.15,0.01508,0.175,0.0,0.0,0.0,0.0,0.00168,0.025,0.00335,0.05,0.01173,0.175,0.00168,0.025,0.0067,0.1,0.00503,0.075,0.0,0.0,0.0,0.0,0.00168,0.025,0.0,0.0,0.0,0.0,0.00168,0.025,0.0,0.0
bible_BKR_Jl.txt,0.01806,0.325,0.0,0.0,0.02778,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.00139,0.025,0.0,0.0,0.0,0.0,0.02639,0.375,0.00139,0.025,0.0,0.0,0.00833,0.1,0.0,0.0,0.0,0.0,0.00278,0.05,0.0,0.0,0.01806,0.325
bible_BKR_Jon.txt,0.02122,0.4,0.0,0.0,0.03581,0.55,0.0,0.0,0.00133,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.00265,0.05,0.03448,0.55,0.00663,0.125,0.0,0.0,0.00133,0.025,0.00133,0.025,0.00133,0.025,0.0,0.0,0.0,0.0,0.02122,0.4
