book,1J,1K,1Kr,1P,1Pa,1S,1Te,1Tm,2J,2K,2Kr,2P,2Pa,2S,2Te,2Tm,3J,Abd,Abk,Ag,Am,Da,Dt,Ef,Est,Ex,Ez,Ezd,Fm,Fp,Ga,Gn,Iz,J,Jb,Jk,Jl,Jon,Joz,Jr,Ju,Kaz,Ko,L,Lv,Mal,Mi,Mk,Mt,Na,Neh,Nu,Oz,Pis,Pl,Pr,R,Rt,Sd,Sf,Sk,Tit,Z,Za,Zd,Zj
1J,0.0,0.6321,0.7881,0.6377,0.6123,0.7555,0.6247,0.7153,0.5912,0.5767,0.789,0.6605,0.774,0.8028,0.6128,0.6428,0.7437,0.7809,0.7883,0.7917,0.7574,0.7907,0.7854,0.6316,0.7957,0.7302,0.8183,0.7978,0.7623,0.6873,0.666,0.7281,0.7523,0.6044,0.7735,0.6339,0.7693,0.7658,0.7722,0.7808,0.7525,0.7467,0.6413,0.7323,0.7274,0.6457,0.7567,0.7753,0.6786,0.72,0.7735,0.8265,0.7756,0.7626,0.8087,0.7357,0.6655,0.8365,0.7505,0.7377,0.7584,0.7378,0.7634,0.7349,0.7159,0.723
1K,0.6321,0.0,0.7694,0.6117,0.6208,0.7031,0.5473,0.5906,0.6828,0.5138,0.7448,0.5596,0.7692,0.754,0.5477,0.5354,0.7155,0.7521,0.7445,0.7358,0.7305,0.7205,0.7857,0.5924,0.7821,0.718,0.7761,0.7588,0.6574,0.6014,0.5921,0.7693,0.7754,0.6196,0.7785,0.6107,0.717,0.7369,0.7817,0.7466,0.6604,0.7599,0.5796,0.7279,0.7179,0.6292,0.7243,0.7545,0.6973,0.7287,0.7541,0.7994,0.7468,0.7317,0.7722,0.7189,0.5297,0.7807,0.7507,0.696,0.7171,0.6613,0.7598,0.7216,0.6968,0.731
1Kr,0.7881,0.7694,0.0,0.8093,0.6854,0.6606,0.796,0.8039,0.8174,0.7224,0.69,0.7765,0.6856,0.6735,0.7473,0.7339,0.837,0.8092,0.7754,0.7517,0.7563,0.7508,0.7662,0.8076,0.7628,0.6917,0.8195,0.8262,0.7061,0.7619,0.7373,0.7439,0.805,0.7714,0.6828,0.758,0.7783,0.7021,0.6994,0.724,0.7773,0.7835,0.8214,0.7358,0.717,0.6818,0.7916,0.7655,0.6408,0.7544,0.6344,0.8064,0.7076,0.7856,0.744,0.7925,0.8218,0.7252,0.7302,0.7684,0.7962,0.8434,0.7322,0.7317,0.7587,0.7866
1P,0.6377,0.6117,0.8093,0.0,0.6734,0.7252,0.595,0.6461,0.7138,0.6089,0.7895,0.6407,0.7668,0.7304,0.5862,0.5991,0.7983,0.8046,0.754,0.7647,0.7662,0.7462,0.8064,0.5524,0.7492,0.7828,0.7843,0.7993,0.7092,0.6015,0.6334,0.7565,0.7771,0.6622,0.8328,0.674,0.7705,0.7397,0.7942,0.7709,0.6617,0.7625,0.5334,0.747,0.6975,0.6738,0.7786,0.7416,0.7104,0.7198,0.7738,0.8453,0.7432,0.7651,0.8006,0.7412,0.5955,0.7975,0.7818,0.7173,0.6828,0.6773,0.7508,0.7449,0.6515,0.7269
1Pa,0.6123,0.6208,0.6854,0.6734,0.0,0.6218,0.6603,0.684,0.6577,0.6533,0.6897,0.6885,0.6835,0.621,0.6397,0.6526,0.6787,0.6502,0.7129,0.7024,0.5987,0.6832,0.7373,0.6543,0.6729,0.6276,0.6514,0.6374,0.6709,0.6615,0.6763,0.6177,0.7169,0.6396,0.6781,0.6316,0.6434,0.679,0.729,0.6746,0.6373,0.6984,0.683,0.6689,0.5948,0.6287,0.6991,0.6679,0.5646,0.6692,0.7041,0.6211,0.6222,0.6777,0.7027,0.6644,0.663,0.7098,0.6206,0.6557,0.6804,0.7038,0.6619,0.6591,0.6833,0.6898
1S,0.7555,0.7031,0.6606,0.7252,0.6218,0.0,0.7597,0.7288,0.7913,0.7213,0.7066,0.7712,0.6911,0.6601,0.7201,0.6878,0.8066,0.7388,0.6956,0.7097,0.7034,0.7146,0.7512,0.7782,0.6689,0.6131,0.7142,0.8,0.7889,0.7446,0.7366,0.7073,0.7632,0.7124,0.656,0.689,0.7032,0.6738,0.7083,0.6601,0.7448,0.7318,0.7837,0.6881,0.688,0.6737,0.7588,0.767,0.6763,0.6737,0.6955,0.8208,0.6215,0.7452,0.7254,0.7537,0.7578,0.6496,0.6865,0.6374,0.8017,0.7766,0.727,0.6842,0.7326,0.7344
1Te,0.6247,0.5473,0.796,0.595,0.6603,0.7597,0.0,0.6828,0.7134,0.5183,0.7818,0.6382,0.7776,0.7886,0.4684,0.6327,0.7196,0.825,0.7855,0.7819,0.7684,0.786,0.7604,0.5908,0.788,0.7909,0.8418,0.8415,0.7068,0.5978,0.6164,0.795,0.7857,0.7295,0.8068,0.6102,0.7599,0.7805,0.7692,0.7911,0.6769,0.832,0.5906,0.7398,0.7696,0.6539,0.7941,0.7688,0.7172,0.7666,0.8044,0.8408,0.7472,0.7833,0.7977,0.741,0.5919,0.8132,0.7895,0.7681,0.7768,0.6956,0.7631,0.7562,0.7579,0.7958
1Tm,0.7153,0.5906,0.8039,0.6461,0.684,0.7288,0.6828,0.0,0.711,0.6118,0.7948,0.7127,0.7571,0.7695,0.6687,0.5483,0.7939,0.8202,0.8226,0.8229,0.8027,0.754,0.8398,0.692,0.805,0.7199,0.8623,0.8171,0.7199,0.6396,0.619,0.7745,0.7977,0.7265,0.8299,0.6148,0.7872,0.7866,0.8005,0.8075,0.699,0.7562,0.6763,0.8026,0.79,0.7012,0.8121,0.7979,0.7421,0.7768,0.7589,0.8502,0.7545,0.822,0.8013,0.8002,0.6399,0.8133,0.7855,0.763,0.8066,0.6205,0.8078,0.783,0.7547,0.7834
2J,0.5912,0.6828,0.8174,0.7138,0.6577,0.7913,0.7134,0.711,0.0,0.6825,0.8433,0.7694,0.8212,0.8073,0.684,0.6688,0.6863,0.8235,0.8225,0.8318,0.8117,0.8384,0.8505,0.7055,0.8426,0.8038,0.842,0.8131,0.7048,0.7356,0.7546,0.8133,0.8561,0.7745,0.8629,0.7131,0.7911,0.7657,0.8125,0.8308,0.7292,0.8379,0.7202,0.7924,0.7872,0.7513,0.8098,0.8398,0.7649,0.7617,0.8185,0.8333,0.8106,0.7868,0.8621,0.7921,0.7425,0.8304,0.8203,0.8054,0.8089,0.7488,0.7729,0.8083,0.7969,0.7547
2K,0.5767,0.5138,0.7224,0.6089,0.6533,0.7213,0.5183,0.6118,0.6825,0.0,0.7285,0.5888,0.7569,0.744,0.5242,0.5587,0.7286,0.7484,0.7436,0.7758,0.7459,0.7298,0.7518,0.6084,0.763,0.6952,0.804,0.7932,0.6335,0.5455,0.552,0.7536,0.7924,0.703,0.7751,0.6298,0.7655,0.709,0.7371,0.7089,0.655,0.6917,0.6131,0.7599,0.7307,0.6017,0.752,0.803,0.665,0.7067,0.7408,0.8242,0.7403,0.7049,0.7867,0.7266,0.5836,0.7131,0.7405,0.7574,0.7722,0.6556,0.7482,0.7517,0.7102,0.6893
