cluster,rank,term,tfidf_mean
style_0,1,nebo,0.06737
style_0,2,vám,0.06459
style_0,3,zajisté,0.0591
style_0,4,ale,0.05895
style_0,5,jste,0.05851
style_0,6,jest,0.05555
style_0,7,pak,0.05348
style_0,8,kterýž,0.05172
style_0,9,skrze,0.05147
style_0,10,protož,0.04725
style_1,1,řekla,0.10484
style_1,2,řekl,0.10082
style_1,3,muž,0.08335
style_1,4,tedy,0.08038
style_1,5,když,0.07688
style_1,6,pak,0.07654
style_1,7,synové,0.07353
style_1,8,hospodin,0.06971
style_1,9,stalo,0.0677
style_1,10,anděl,0.06386
style_2,1,dcery,0.10155
style_2,2,nešlechetnost,0.09493
style_2,3,jsem,0.0926
style_2,4,oheň,0.07836
style_2,5,mne,0.07401
style_2,6,pro,0.06977
style_2,7,jest,0.06774
style_2,8,zed,0.06727
style_2,9,pošli,0.06519
style_2,10,jak,0.06461
style_3,1,král,0.11518
style_3,2,králi,0.10639
style_3,3,řekl,0.10296
style_3,4,tedy,0.08828
style_3,5,david,0.07927
style_3,6,pak,0.07457
style_3,7,syn,0.06738
style_3,8,řekli,0.06215
style_3,9,když,0.05735
style_3,10,prosím,0.05503
style_4,1,hospodin,0.10151
style_4,2,hospodin bůh,0.08575
style_4,3,jozue,0.08343
style_4,4,země,0.08172
style_4,5,bůh,0.06842
style_4,6,pak,0.06709
style_4,7,jsem,0.06612
style_4,8,řekl,0.06462
style_4,9,vaše,0.06147
style_4,10,vám,0.05988
style_5,1,jan,0.13292
style_5,2,duch,0.08817
style_5,3,pak,0.084
style_5,4,těch,0.08112
style_5,5,viděl,0.07655
style_5,6,uzřel,0.07267
style_5,7,jsem,0.0724
style_5,8,jim,0.07207
style_5,9,byl,0.06635
style_5,10,řekli,0.06293
style_6,1,hospodin,0.09695
style_6,2,bude,0.09372
style_6,3,budou,0.07662
style_6,4,den,0.07306
style_6,5,hospodinovo,0.06479
style_6,6,slovo hospodinovo,0.06479
style_6,7,nebo,0.05943
style_6,8,ten den,0.05832
style_6,9,praví,0.05513
style_6,10,proti,0.05345
style_7,1,zplodil,0.36631
style_7,2,pak zplodil,0.26721
style_7,3,synové pak,0.19681
style_7,4,abraham,0.17378
style_7,5,synové,0.17207
style_7,6,pak,0.13644
style_7,7,izáka,0.12398
style_7,8,izák,0.12398
style_7,9,sem,0.12164
style_7,10,jozef,0.08829
style_8,1,synů,0.28364
style_8,2,padesáte,0.23591
style_8,3,čtyřidceti,0.19
style_8,4,pokolení,0.17887
style_8,5,rodiny,0.1725
style_8,6,padesáte synů,0.16705
style_8,7,mužů,0.15971
style_8,8,set,0.15857
style_8,9,třidceti,0.14518
style_8,10,sedmdesáte,0.13492
