book,rank,neighbour,delta
1J,1,1Pa,0.4436
1J,2,Na,0.5258
1J,3,Am,0.5356
1J,4,2K,0.5365
1J,5,Mal,0.5394
1K,1,2K,0.4106
1K,2,1Pa,0.4137
1K,3,R,0.44
1K,4,2Te,0.4422
1K,5,Fp,0.4586
1Kr,1,1Pa,0.4304
1Kr,2,Neh,0.4619
1Kr,3,Mt,0.476
1Kr,4,Sd,0.4772
1Kr,5,Jb,0.4893
1P,1,1Pa,0.4641
1P,2,R,0.4792
1P,3,Ko,0.4908
1P,4,2K,0.5043
1P,5,1K,0.5062
1Pa,1,Am,0.3102
1Pa,2,Sd,0.3205
1Pa,3,Mt,0.3373
1Pa,4,Ezd,0.3451
1Pa,5,Nu,0.3536
1S,1,1Pa,0.3899
1S,2,Sd,0.4291
1S,3,Rt,0.4563
1S,4,Oz,0.4633
1S,5,Am,0.4786
1Te,1,2Te,0.4355
1Te,2,1Pa,0.461
1Te,3,2K,0.4899
1Te,4,R,0.5074
1Te,5,1K,0.516
1Tm,1,1Pa,0.4419
1Tm,2,1K,0.4861
1Tm,3,2K,0.4961
1Tm,4,Ju,0.4979
1Tm,5,Tit,0.5011
2J,1,1Pa,0.419
2J,2,Am,0.5174
2J,3,3J,0.5248
2J,4,Na,0.5381
2J,5,Neh,0.5429
2K,1,1K,0.4106
2K,2,1Pa,0.4111
2K,3,2Te,0.4232
2K,4,R,0.4568
2K,5,Ga,0.4735
2Kr,1,1Pa,0.3911
2Kr,2,2S,0.4428
2Kr,3,Jb,0.4508
2Kr,4,Gn,0.4533
2Kr,5,Sd,0.4541
2P,1,1Pa,0.4424
2P,2,2K,0.4992
2P,3,Ju,0.5097
2P,4,Mal,0.5173
2P,5,R,0.5197
2Pa,1,1Pa,0.3925
2Pa,2,Mt,0.4705
2Pa,3,Neh,0.4743
2Pa,4,Am,0.4811
2Pa,5,Sd,0.4822
2S,1,1Pa,0.3848
2S,2,Jb,0.4413
2S,3,2Kr,0.4428
2S,4,Sd,0.4498
2S,5,Neh,0.4536
2Te,1,1Pa,0.4121
2Te,2,2K,0.4232
2Te,3,1Te,0.4355
2Te,4,1K,0.4422
2Te,5,Fp,0.454
2Tm,1,1Pa,0.469
2Tm,2,2K,0.4748
2Tm,3,2Te,0.4954
2Tm,4,1K,0.4984
2Tm,5,1Tm,0.508
3J,1,1Pa,0.423
3J,2,Am,0.4971
3J,3,2J,0.5248
3J,4,2K,0.5298
3J,5,Jr,0.5312
Abd,1,1Pa,0.3685
Abd,2,Mi,0.4332
Abd,3,Am,0.4371
Abd,4,Sf,0.487
Abd,5,Na,0.4914
Abk,1,1Pa,0.4413
Abk,2,Sf,0.4965
Abk,3,Am,0.5012
Abk,4,Mi,0.5103
Abk,5,Na,0.5141
Ag,1,1Pa,0.4363
Ag,2,Am,0.4666
Ag,3,Jr,0.4848
Ag,4,Za,0.4924
Ag,5,2Kr,0.4945
Am,1,1Pa,0.3102
Am,2,Abd,0.4371
Am,3,Sd,0.449
Am,4,Mal,0.4525
Am,5,Mi,0.4537
Da,1,1Pa,0.4213
Da,2,2Kr,0.4678
Da,3,Est,0.4769
Da,4,Sd,0.4884
Da,5,Neh,0.5037
Dt,1,1Pa,0.4226
Dt,2,Am,0.4901
Dt,3,Sd,0.4914
Dt,4,Nu,0.5049
Dt,5,Za,0.5072
Ef,1,Ko,0.4683
Ef,2,1Pa,0.5083
Ef,3,1P,0.5246
Ef,4,2K,0.5267
Ef,5,2Te,0.5269
Est,1,1Pa,0.3901
Est,2,Neh,0.4553
Est,3,Mt,0.4714
Est,4,Da,0.4769
Est,5,Gn,0.4788
Ex,1,1Pa,0.4444
Ex,2,Nu,0.4873
Ex,3,Sd,0.4937
