file_name,count,avg_confidence,min_confidence,max_confidence
bible_BKR_1J.txt,40,0.585,0.244,0.923
bible_BKR_1K.txt,40,0.658,0.311,0.869
bible_BKR_1Kr.txt,40,0.64,0.255,0.897
bible_BKR_1P.txt,40,0.6,0.177,0.99
bible_BKR_1Pa.txt,40,0.582,0.248,0.82
bible_BKR_1S.txt,40,0.609,0.282,0.914
bible_BKR_1Te.txt,40,0.629,0.35,0.85
bible_BKR_1Tm.txt,40,0.645,0.194,0.99
bible_BKR_2J.txt,13,0.668,0.399,0.986
bible_BKR_2K.txt,40,0.611,0.222,0.969
bible_BKR_2Kr.txt,40,0.622,0.311,0.99
bible_BKR_2P.txt,40,0.622,0.246,0.918
bible_BKR_2Pa.txt,40,0.648,0.381,0.99
bible_BKR_2S.txt,40,0.598,0.282,0.892
bible_BKR_2Te.txt,40,0.567,0.329,0.9
bible_BKR_2Tm.txt,40,0.609,0.298,0.99
bible_BKR_3J.txt,15,0.583,0.376,0.95
bible_BKR_Abd.txt,21,0.612,0.234,0.857
bible_BKR_Abk.txt,40,0.635,0.379,0.933
bible_BKR_Ag.txt,38,0.603,0.253,0.916
bible_BKR_Am.txt,40,0.599,0.241,0.893
bible_BKR_Da.txt,40,0.664,0.406,0.988
bible_BKR_Dt.txt,40,0.633,0.268,0.99
bible_BKR_Ef.txt,40,0.655,0.353,0.99
bible_BKR_Est.txt,40,0.624,0.348,0.904
bible_BKR_Ex.txt,40,0.623,0.317,0.979
bible_BKR_Ez.txt,40,0.592,0.196,0.868
bible_BKR_Ezd.txt,40,0.644,0.374,0.877
bible_BKR_Fm.txt,25,0.552,0.345,0.78
bible_BKR_Fp.txt,40,0.615,0.262,0.883
bible_BKR_Ga.txt,40,0.649,0.298,0.859
bible_BKR_Gn.txt,40,0.609,0.37,0.92
bible_BKR_Iz.txt,40,0.609,0.246,0.866
bible_BKR_J.txt,40,0.619,0.336,0.831
bible_BKR_Jb.txt,40,0.654,0.401,0.907
bible_BKR_Jk.txt,40,0.604,0.351,0.856
bible_BKR_Jl.txt,40,0.589,0.327,0.803
bible_BKR_Jon.txt,40,0.64,0.317,0.988
bible_BKR_Joz.txt,40,0.622,0.301,0.9
bible_BKR_Jr.txt,40,0.608,0.274,0.969
bible_BKR_Ju.txt,25,0.644,0.38,0.855
bible_BKR_Kaz.txt,40,0.603,0.298,0.922
bible_BKR_Ko.txt,40,0.577,0.329,0.815
bible_BKR_L.txt,40,0.635,0.334,0.985
bible_BKR_Lv.txt,40,0.617,0.371,0.862
bible_BKR_Mal.txt,40,0.601,0.314,0.99
bible_BKR_Mi.txt,40,0.617,0.262,0.933
bible_BKR_Mk.txt,40,0.602,0.325,0.989
bible_BKR_Mt.txt,40,0.626,0.205,0.975
bible_BKR_Na.txt,40,0.613,0.346,0.952
bible_BKR_Neh.txt,40,0.615,0.316,0.99
bible_BKR_Nu.txt,40,0.625,0.323,0.964
bible_BKR_Oz.txt,40,0.656,0.349,0.99
bible_BKR_Pis.txt,40,0.612,0.183,0.978
bible_BKR_Pl.txt,40,0.62,0.375,0.923
bible_BKR_Pr.txt,40,0.595,0.156,0.932
bible_BKR_R.txt,40,0.601,0.285,0.954
bible_BKR_Rt.txt,40,0.642,0.293,0.99
bible_BKR_Sd.txt,40,0.605,0.331,0.984
bible_BKR_Sf.txt,40,0.631,0.402,0.939
bible_BKR_Sk.txt,40,0.625,0.133,0.99
bible_BKR_Tit.txt,40,0.635,0.335,0.913
bible_BKR_Z.txt,40,0.592,0.203,0.958
bible_BKR_Za.txt,40,0.599,0.24,0.838
bible_BKR_Zd.txt,40,0.601,0.279,0.903
bible_BKR_Zj.txt,40,0.607,0.258,0.99
