file_name,dialogue_sentences,total,dialogue_density
bible_BKR_1J.txt,41,150,0.273
bible_BKR_1K.txt,195,559,0.349
bible_BKR_1Kr.txt,157,1053,0.149
bible_BKR_1P.txt,37,94,0.394
bible_BKR_1Pa.txt,61,1007,0.061
bible_BKR_1S.txt,271,1304,0.208
bible_BKR_1Te.txt,24,82,0.293
bible_BKR_1Tm.txt,40,101,0.396
bible_BKR_2J.txt,5,14,0.357
bible_BKR_2K.txt,78,281,0.278
bible_BKR_2Kr.txt,205,1089,0.188
bible_BKR_2P.txt,12,48,0.25
bible_BKR_2Pa.txt,127,1045,0.122
bible_BKR_2S.txt,202,1057,0.191
bible_BKR_2Te.txt,9,37,0.243
bible_BKR_2Tm.txt,22,85,0.259
bible_BKR_3J.txt,7,20,0.35
bible_BKR_Abd.txt,11,32,0.344
bible_BKR_Abk.txt,23,79,0.291
bible_BKR_Ag.txt,15,47,0.319
bible_BKR_Am.txt,54,176,0.307
bible_BKR_Da.txt,72,451,0.16
bible_BKR_Dt.txt,267,976,0.274
bible_BKR_Ef.txt,38,95,0.4
bible_BKR_Est.txt,37,219,0.169
bible_BKR_Ex.txt,287,1668,0.172
bible_BKR_Ez.txt,310,1500,0.207
bible_BKR_Ezd.txt,17,257,0.066
bible_BKR_Fm.txt,8,21,0.381
bible_BKR_Fp.txt,31,89,0.348
bible_BKR_Ga.txt,46,167,0.275
bible_BKR_Gn.txt,381,2268,0.168
bible_BKR_Iz.txt,487,1770,0.275
bible_BKR_J.txt,284,1218,0.233
bible_BKR_Jb.txt,368,1134,0.325
bible_BKR_Jk.txt,59,143,0.413
bible_BKR_Jl.txt,33,93,0.355
bible_BKR_Jon.txt,17,67,0.254
bible_BKR_Joz.txt,118,783,0.151
bible_BKR_Jr.txt,546,1715,0.318
bible_BKR_Ju.txt,6,23,0.261
bible_BKR_Kaz.txt,93,297,0.313
bible_BKR_Ko.txt,29,74,0.392
bible_BKR_L.txt,332,1404,0.236
bible_BKR_Lv.txt,257,1044,0.246
bible_BKR_Mal.txt,30,100,0.3
bible_BKR_Mi.txt,58,155,0.374
bible_BKR_Mk.txt,217,905,0.24
bible_BKR_Mt.txt,390,1376,0.283
bible_BKR_Na.txt,17,64,0.266
bible_BKR_Neh.txt,41,427,0.096
bible_BKR_Nu.txt,258,1488,0.173
bible_BKR_Oz.txt,59,274,0.215
bible_BKR_Pis.txt,39,163,0.239
bible_BKR_Pl.txt,46,198,0.232
bible_BKR_Pr.txt,248,940,0.264
bible_BKR_R.txt,161,516,0.312
bible_BKR_Rt.txt,37,148,0.25
bible_BKR_Sd.txt,160,888,0.18
bible_BKR_Sf.txt,16,75,0.213
bible_BKR_Sk.txt,225,1156,0.195
bible_BKR_Tit.txt,9,37,0.243
bible_BKR_Z.txt,796,2813,0.283
bible_BKR_Za.txt,60,270,0.222
bible_BKR_Zd.txt,82,294,0.279
bible_BKR_Zj.txt,120,532,0.226
