file_name,tact,autoclitic,tact_ratio,autoclitic_ratio,tact_vs_autoclitic,total
bible_BKR_1J.txt,13,9,0.325,0.225,0.591,40
bible_BKR_1K.txt,16,8,0.4,0.2,0.667,40
bible_BKR_1Kr.txt,10,7,0.25,0.175,0.588,40
bible_BKR_1P.txt,14,6,0.35,0.15,0.7,40
bible_BKR_1Pa.txt,9,6,0.225,0.15,0.6,40
bible_BKR_1S.txt,12,8,0.3,0.2,0.6,40
bible_BKR_1Te.txt,9,5,0.225,0.125,0.643,40
bible_BKR_1Tm.txt,15,9,0.375,0.225,0.625,40
bible_BKR_2J.txt,2,3,0.154,0.231,0.4,13
bible_BKR_2K.txt,8,10,0.2,0.25,0.444,40
bible_BKR_2Kr.txt,11,14,0.275,0.35,0.44,40
bible_BKR_2P.txt,12,8,0.3,0.2,0.6,40
bible_BKR_2Pa.txt,9,9,0.225,0.225,0.5,40
bible_BKR_2S.txt,9,7,0.225,0.175,0.562,40
bible_BKR_2Te.txt,10,4,0.25,0.1,0.714,40
bible_BKR_2Tm.txt,15,8,0.375,0.2,0.652,40
bible_BKR_3J.txt,4,4,0.267,0.267,0.5,15
bible_BKR_Abd.txt,7,0,0.333,0.0,1.0,21
bible_BKR_Abk.txt,12,9,0.3,0.225,0.571,40
bible_BKR_Ag.txt,7,6,0.184,0.158,0.538,38
bible_BKR_Am.txt,11,10,0.275,0.25,0.524,40
bible_BKR_Da.txt,10,4,0.25,0.1,0.714,40
bible_BKR_Dt.txt,14,9,0.35,0.225,0.609,40
bible_BKR_Ef.txt,8,10,0.2,0.25,0.444,40
bible_BKR_Est.txt,10,10,0.25,0.25,0.5,40
bible_BKR_Ex.txt,10,4,0.25,0.1,0.714,40
bible_BKR_Ez.txt,16,6,0.4,0.15,0.727,40
bible_BKR_Ezd.txt,12,7,0.3,0.175,0.632,40
bible_BKR_Fm.txt,5,6,0.2,0.24,0.455,25
bible_BKR_Fp.txt,15,5,0.375,0.125,0.75,40
bible_BKR_Ga.txt,13,8,0.325,0.2,0.619,40
bible_BKR_Gn.txt,12,10,0.3,0.25,0.545,40
bible_BKR_Iz.txt,15,7,0.375,0.175,0.682,40
bible_BKR_J.txt,13,7,0.325,0.175,0.65,40
bible_BKR_Jb.txt,15,7,0.375,0.175,0.682,40
bible_BKR_Jk.txt,8,9,0.2,0.225,0.471,40
bible_BKR_Jl.txt,19,10,0.475,0.25,0.655,40
bible_BKR_Jon.txt,13,8,0.325,0.2,0.619,40
bible_BKR_Joz.txt,10,7,0.25,0.175,0.588,40
bible_BKR_Jr.txt,15,9,0.375,0.225,0.625,40
bible_BKR_Ju.txt,5,6,0.2,0.24,0.455,25
bible_BKR_Kaz.txt,17,6,0.425,0.15,0.739,40
bible_BKR_Ko.txt,9,9,0.225,0.225,0.5,40
bible_BKR_L.txt,16,5,0.4,0.125,0.762,40
bible_BKR_Lv.txt,10,4,0.25,0.1,0.714,40
bible_BKR_Mal.txt,10,9,0.25,0.225,0.526,40
bible_BKR_Mi.txt,15,6,0.375,0.15,0.714,40
bible_BKR_Mk.txt,16,6,0.4,0.15,0.727,40
bible_BKR_Mt.txt,9,10,0.225,0.25,0.474,40
bible_BKR_Na.txt,11,7,0.275,0.175,0.611,40
bible_BKR_Neh.txt,14,6,0.35,0.15,0.7,40
bible_BKR_Nu.txt,11,4,0.275,0.1,0.733,40
bible_BKR_Oz.txt,11,7,0.275,0.175,0.611,40
bible_BKR_Pis.txt,6,12,0.15,0.3,0.333,40
bible_BKR_Pl.txt,12,7,0.3,0.175,0.632,40
bible_BKR_Pr.txt,9,9,0.225,0.225,0.5,40
bible_BKR_R.txt,13,10,0.325,0.25,0.565,40
bible_BKR_Rt.txt,13,7,0.325,0.175,0.65,40
bible_BKR_Sd.txt,9,4,0.225,0.1,0.692,40
bible_BKR_Sf.txt,13,5,0.325,0.125,0.722,40
bible_BKR_Sk.txt,16,3,0.4,0.075,0.842,40
bible_BKR_Tit.txt,8,9,0.2,0.225,0.471,40
bible_BKR_Z.txt,13,11,0.325,0.275,0.542,40
bible_BKR_Za.txt,10,7,0.25,0.175,0.588,40
bible_BKR_Zd.txt,15,8,0.375,0.2,0.652,40
bible_BKR_Zj.txt,10,11,0.25,0.275,0.476,40
