file_name,autoclitic_relation,descriptive_relation,genealogical_relation,historical_event_relation,lyrical_relation,prophetic_relation,reported_speech,request_relation,wisdom_relation,total
bible_BKR_1J.txt,0,73,30,5,3,4,6,18,11,150
bible_BKR_1K.txt,5,299,9,26,9,3,61,76,71,559
bible_BKR_1Kr.txt,1,356,140,46,77,27,245,59,102,1053
bible_BKR_1P.txt,1,30,2,2,4,4,6,30,15,94
bible_BKR_1Pa.txt,0,259,488,35,92,16,36,55,26,1007
bible_BKR_1S.txt,5,377,89,118,116,60,356,99,84,1304
bible_BKR_1Te.txt,1,29,6,3,4,1,7,16,15,82
bible_BKR_1Tm.txt,0,52,3,6,6,2,4,23,5,101
bible_BKR_2J.txt,0,5,3,0,1,0,1,4,0,14
bible_BKR_2K.txt,4,148,7,18,9,2,23,31,39,281
bible_BKR_2Kr.txt,2,357,155,89,68,21,259,66,72,1089
bible_BKR_2P.txt,0,18,4,3,1,3,2,6,11,48
bible_BKR_2Pa.txt,2,372,184,56,83,42,104,109,93,1045
bible_BKR_2S.txt,1,308,99,89,165,15,229,69,82,1057
bible_BKR_2Te.txt,0,14,2,2,1,0,1,7,10,37
bible_BKR_2Tm.txt,1,47,2,9,2,0,1,16,7,85
bible_BKR_3J.txt,0,12,1,2,1,0,1,1,2,20
bible_BKR_Abd.txt,0,15,2,2,1,1,4,2,5,32
bible_BKR_Abk.txt,0,44,1,2,4,5,3,6,14,79
bible_BKR_Ag.txt,0,16,2,0,2,2,19,5,1,47
bible_BKR_Am.txt,1,50,5,10,11,15,44,24,16,176
bible_BKR_Da.txt,2,174,20,38,28,16,93,28,52,451
bible_BKR_Dt.txt,3,285,89,65,67,87,124,160,96,976
bible_BKR_Ef.txt,0,29,10,0,2,1,9,34,10,95
bible_BKR_Est.txt,3,84,11,19,12,2,50,15,23,219
bible_BKR_Ex.txt,3,765,168,109,72,71,236,124,120,1668
bible_BKR_Ez.txt,4,633,89,90,51,69,277,98,189,1500
bible_BKR_Ezd.txt,0,79,86,13,9,5,18,29,18,257
bible_BKR_Fm.txt,0,11,1,0,0,0,1,4,4,21
bible_BKR_Fp.txt,1,41,2,3,6,0,6,24,6,89
bible_BKR_Ga.txt,3,86,17,9,2,0,16,17,17,167
bible_BKR_Gn.txt,9,808,392,128,55,50,523,188,115,2268
bible_BKR_Iz.txt,3,753,66,101,123,90,220,164,250,1770
bible_BKR_J.txt,7,433,79,113,30,21,403,102,30,1218
bible_BKR_Jb.txt,4,583,30,32,67,12,122,96,188,1134
bible_BKR_Jk.txt,2,58,7,2,3,1,6,34,30,143
bible_BKR_Jl.txt,0,40,5,1,3,8,6,19,11,93
bible_BKR_Jon.txt,1,23,0,5,6,6,17,5,4,67
bible_BKR_Joz.txt,1,287,131,65,19,24,119,84,53,783
bible_BKR_Jr.txt,5,536,117,78,119,131,309,245,175,1715
bible_BKR_Ju.txt,0,7,0,1,2,1,3,5,4,23
bible_BKR_Kaz.txt,0,131,14,8,9,4,19,31,81,297
bible_BKR_Ko.txt,0,23,3,4,5,1,7,23,8,74
bible_BKR_L.txt,14,536,68,85,39,25,401,165,71,1404
bible_BKR_Lv.txt,1,513,102,88,6,104,64,85,81,1044
bible_BKR_Mal.txt,0,29,8,3,8,7,24,8,13,100
bible_BKR_Mi.txt,0,68,5,8,11,14,13,18,18,155
bible_BKR_Mk.txt,8,379,34,75,16,9,249,82,53,905
bible_BKR_Mt.txt,8,519,126,80,34,20,332,176,81,1376
bible_BKR_Na.txt,1,27,0,3,4,6,1,7,15,64
bible_BKR_Neh.txt,0,157,115,23,16,7,48,36,25,427
bible_BKR_Nu.txt,2,607,314,67,58,59,198,105,78,1488
bible_BKR_Oz.txt,0,125,23,9,13,7,20,24,53,274
bible_BKR_Pis.txt,0,86,13,6,4,0,5,15,34,163
bible_BKR_Pl.txt,1,105,24,7,7,7,5,15,27,198
bible_BKR_Pr.txt,1,312,48,15,19,23,33,110,379,940
bible_BKR_R.txt,4,298,26,12,19,5,25,62,65,516
bible_BKR_Rt.txt,0,41,13,11,5,2,50,20,6,148
bible_BKR_Sd.txt,1,269,127,74,49,23,238,65,42,888
bible_BKR_Sf.txt,1,36,4,3,2,6,9,6,8,75
bible_BKR_Sk.txt,16,476,46,104,40,29,284,80,81,1156
bible_BKR_Tit.txt,0,22,0,0,2,1,2,7,3,37
bible_BKR_Z.txt,1,1271,73,69,409,162,124,312,392,2813
bible_BKR_Za.txt,0,84,11,14,14,16,89,11,31,270
bible_BKR_Zd.txt,1,132,21,10,10,2,31,43,44,294
bible_BKR_Zj.txt,0,239,26,48,19,22,67,48,63,532
