file_name,total,autoclitic_relation,autoclitic_relation_ratio,descriptive_relation,descriptive_relation_ratio,genealogical_relation,genealogical_relation_ratio,historical_event_relation,historical_event_relation_ratio,lyrical_relation,lyrical_relation_ratio,prophetic_relation,prophetic_relation_ratio,reported_speech,reported_speech_ratio,request_relation,request_relation_ratio,wisdom_relation,wisdom_relation_ratio
bible_BKR_1J.txt,40,3,0.075,3,0.075,0,0.0,8,0.2,7,0.175,3,0.075,4,0.1,9,0.225,3,0.075
bible_BKR_1K.txt,40,4,0.1,5,0.125,3,0.075,5,0.125,5,0.125,2,0.05,6,0.15,7,0.175,3,0.075
bible_BKR_1Kr.txt,40,2,0.05,6,0.15,1,0.025,2,0.05,8,0.2,7,0.175,4,0.1,6,0.15,4,0.1
bible_BKR_1P.txt,40,3,0.075,7,0.175,5,0.125,6,0.15,2,0.05,2,0.05,5,0.125,8,0.2,2,0.05
bible_BKR_1Pa.txt,40,3,0.075,5,0.125,6,0.15,5,0.125,5,0.125,5,0.125,6,0.15,3,0.075,2,0.05
bible_BKR_1S.txt,40,1,0.025,6,0.15,2,0.05,6,0.15,5,0.125,1,0.025,9,0.225,4,0.1,6,0.15
bible_BKR_1Te.txt,40,0,0.0,4,0.1,1,0.025,14,0.35,4,0.1,3,0.075,7,0.175,4,0.1,3,0.075
bible_BKR_1Tm.txt,40,3,0.075,4,0.1,4,0.1,8,0.2,8,0.2,3,0.075,5,0.125,2,0.05,3,0.075
bible_BKR_2J.txt,13,0,0.0,3,0.231,0,0.0,2,0.154,2,0.154,2,0.154,3,0.231,0,0.0,1,0.077
bible_BKR_2K.txt,40,0,0.0,4,0.1,4,0.1,9,0.225,5,0.125,3,0.075,7,0.175,7,0.175,1,0.025
bible_BKR_2Kr.txt,40,3,0.075,6,0.15,4,0.1,3,0.075,2,0.05,4,0.1,7,0.175,7,0.175,4,0.1
bible_BKR_2P.txt,40,1,0.025,6,0.15,4,0.1,7,0.175,2,0.05,5,0.125,10,0.25,1,0.025,4,0.1
bible_BKR_2Pa.txt,40,3,0.075,7,0.175,0,0.0,4,0.1,11,0.275,1,0.025,4,0.1,9,0.225,1,0.025
bible_BKR_2S.txt,40,2,0.05,3,0.075,3,0.075,7,0.175,5,0.125,3,0.075,11,0.275,4,0.1,2,0.05
bible_BKR_2Te.txt,40,4,0.1,7,0.175,6,0.15,5,0.125,4,0.1,3,0.075,7,0.175,2,0.05,2,0.05
bible_BKR_2Tm.txt,40,2,0.05,3,0.075,3,0.075,3,0.075,5,0.125,2,0.05,8,0.2,10,0.25,4,0.1
bible_BKR_3J.txt,15,0,0.0,2,0.133,0,0.0,5,0.333,1,0.067,1,0.067,2,0.133,4,0.267,0,0.0
bible_BKR_Abd.txt,21,1,0.048,5,0.238,2,0.095,3,0.143,3,0.143,1,0.048,3,0.143,2,0.095,1,0.048
bible_BKR_Abk.txt,40,1,0.025,6,0.15,1,0.025,4,0.1,12,0.3,2,0.05,8,0.2,4,0.1,2,0.05
bible_BKR_Ag.txt,38,1,0.026,5,0.132,1,0.026,1,0.026,7,0.184,7,0.184,7,0.184,7,0.184,2,0.053
bible_BKR_Am.txt,40,0,0.0,9,0.225,2,0.05,3,0.075,6,0.15,3,0.075,9,0.225,5,0.125,3,0.075
bible_BKR_Da.txt,40,0,0.0,1,0.025,2,0.05,7,0.175,7,0.175,2,0.05,10,0.25,8,0.2,3,0.075
bible_BKR_Dt.txt,40,0,0.0,2,0.05,2,0.05,6,0.15,4,0.1,7,0.175,10,0.25,6,0.15,3,0.075
