word,connection_count,pmi_sum,avg_pmi,pair_count_sum,weighted_score
dílo,165,1157.627,7.016,1114,1289596.478
hospodin,47,370.933,7.892,290,107570.57
dělat,42,330.905,7.879,259,85704.395
ruka,36,280.434,7.79,203,56928.102
počátek,34,262.938,7.733,147,38651.886
bůh,29,232.467,8.016,150,34870.05
mít,26,202.297,7.781,132,26703.204
dům,20,177.945,8.897,120,21353.4
modrý,16,168.138,10.509,122,20512.836
postavec,16,168.138,10.509,122,20512.836
den,19,157.13,8.27,122,19169.86
červec,15,159.424,10.628,114,18174.336
šarla,15,159.898,10.66,106,16949.188
bílý,14,152.051,10.861,110,16725.61
udělat,18,174.931,9.718,95,16618.445
barvený,14,153.288,10.949,107,16401.816
dvakrát,14,153.288,10.949,107,16401.816
hedbáví,14,151.457,10.818,99,14994.243
zlato,18,162.789,9.044,85,13837.065
přesukovaný,13,143.552,11.042,77,11053.504
stvořit,18,146.869,8.159,75,11015.175
syn,16,132.02,8.251,77,10165.54
všecek,14,115.837,8.274,71,8224.427
krumpéřský,12,131.142,10.928,55,7212.81
král,13,112.283,8.637,63,7073.829
řemeslný,13,132.951,10.227,52,6913.452
boží,13,102.443,7.88,62,6351.466
země,11,90.485,8.226,61,5519.585
žádný,8,67.819,8.477,79,5357.701
zastření,11,123.875,11.261,42,5202.75
robotný,7,64.497,9.214,52,3353.844
šalomoun,8,75.459,9.432,39,2942.901
svatý,9,78.412,8.712,37,2901.244
otec,9,76.732,8.526,37,2839.084
stříbro,8,72.872,9.109,36,2623.392
kristus,8,70.295,8.787,29,2038.555
shromáždění,7,66.064,9.438,29,1915.856
pán,8,62.788,7.848,30,1883.64
dělník,7,66.296,9.471,28,1856.288
muž,7,57.8,8.257,31,1791.8
ježíš,7,60.749,8.678,28,1700.972
toba,7,62.816,8.974,24,1507.584
izraelský,6,51.945,8.658,26,1350.57
hlubina,5,53.388,10.678,22,1174.536
moudrost,6,56.687,9.448,20,1133.74
tvý,6,55.661,9.277,20,1113.22
skutek,6,46.244,7.707,24,1109.856
dokonaný,5,46.996,9.399,22,1033.912
sedmý,5,46.565,9.313,22,1024.43
nebe,5,42.254,8.451,23,971.842
jeden,5,43.493,8.699,22,956.846
tvě,5,45.497,9.099,21,955.437
každý,5,43.001,8.6,22,946.022
člověk,5,40.3,8.06,22,886.6
věc,5,39.263,7.853,22,863.786
řemeslník,4,33.851,8.463,25,846.275
požehnat,5,44.273,8.855,19,841.187
učinit,5,37.125,7.425,22,816.75
david,5,50.051,10.01,16,800.816
přijít,5,38.557,7.711,20,771.14
všeliký,4,29.433,7.358,26,765.258
konec,4,45.292,11.323,16,724.672
mojžíš,4,36.482,9.12,19,693.158
přikázat,4,37.464,9.366,18,674.352
kamení,4,36.364,9.091,17,618.188
šest,4,37.579,9.395,16,601.264
alfa,4,47.737,11.934,12,572.844
oméga,4,47.737,11.934,12,572.844
jáť,4,46.491,11.623,12,557.892
služebník,4,34.305,8.576,16,548.88
představený,4,35.817,8.954,15,537.255
vtipný,4,39.346,9.836,13,511.498
skrz,4,33.476,8.369,15,502.14
bázeň,4,41.468,10.367,12,497.616
srdce,4,32.145,8.036,15,482.175
sloup,3,32.187,10.729,14,450.618
jméno,4,34.39,8.598,13,447.07
druhý,3,28.709,9.57,14,401.926
dříví,3,28.391,9.464,13,369.083
dokonat,3,24.291,8.097,15,364.365
makovice,3,32.356,10.785,11,355.916
vrch,3,32.356,10.785,11,355.916
dřevo,3,27.32,9.107,13,355.16
lid,3,26.595,8.865,13,345.735
umění,3,37.299,12.433,9,335.691
dát,3,23.781,7.927,14,332.934
přední,3,32.94,10.98,10,329.4
sto,3,32.94,10.98,10,329.4
všelijaký,3,24.754,8.251,13,321.802
víra,3,31.268,10.423,10,312.68
vládař,3,33.355,11.118,9,300.195
tesař,3,32.964,10.988,9,296.676
zedník,3,32.964,10.988,9,296.676
pravda,3,26.648,8.883,11,293.128
čistý,3,28.438,9.479,10,284.38
dcera,3,25.583,8.528,11,281.413
brána,3,28.133,9.378,10,281.33
cherubína,3,30.268,10.089,9,272.412
náramenník,3,29.955,9.985,9,269.595
příchozí,3,26.133,8.711,10,261.33
věk,3,24.208,8.069,10,242.08
peníze,3,26.832,8.944,9,241.488
vydávat,3,26.832,8.944,9,241.488
duch,3,26.263,8.754,9,236.367
vidět,3,21.328,7.109,10,213.28
činit,2,16.379,8.19,13,212.927
moře,2,22.97,11.485,9,206.73
slovo,2,20.096,10.048,10,200.96
všickn,2,15.254,7.627,11,167.794
voda,2,18.544,9.272,9,166.896
žena,2,20.685,10.343,8,165.48
