word,connection_count,pmi_sum,avg_pmi,pair_count_sum,weighted_score
bůh,21,161.594,7.695,98,15836.212
vzkřísit,18,142.987,7.944,97,13869.739
mrtvý,13,101.298,7.792,75,7597.35
ježíš,10,83.449,8.345,56,4673.144
peklo,12,89.03,7.419,51,4540.53
vzkříšení,9,66.542,7.394,34,2262.428
věčnost,6,47.464,7.911,23,1091.672
skrz,6,50.662,8.444,21,1063.902
kristus,5,43.4,8.68,19,824.6
den,5,37.771,7.554,19,717.649
porušení,5,44.604,8.921,16,713.664
syn,5,40.633,8.127,17,690.761
pán,4,31.537,7.884,17,536.129
duše,3,27.858,9.286,13,362.154
vidět,3,28.021,9.34,10,280.21
hospodin,3,21.661,7.22,12,259.932
otec,3,24.887,8.296,10,248.87
věk,3,24.08,8.027,10,240.8
skonání,2,17.871,8.936,11,196.581
sstoupit,2,18.718,9.359,8,149.744
oheň,2,17.911,8.956,7,125.377
život,2,17.425,8.713,7,121.975
jákobův,2,17.372,8.686,7,121.604
obživit,2,16.14,8.07,7,112.98
člověk,2,18.642,9.321,6,111.852
spasený,2,18.109,9.055,6,108.654
živý,2,17.981,8.99,6,107.886
izraelský,2,17.746,8.873,6,106.476
žena,2,17.21,8.605,6,103.26
budoucí,2,17.199,8.599,6,103.194
kterak,2,17.199,8.599,6,103.194
duch,2,16.532,8.266,6,99.192
buď,2,16.421,8.21,6,98.526
svědek,2,16.421,8.21,6,98.526
mít,2,13.688,6.844,7,95.816
smrt,1,7.83,7.83,7,54.81
svět,1,9.362,9.362,5,46.81
země,1,7.859,7.859,5,39.295
tma,1,11.432,11.432,3,34.296
voda,1,11.432,11.432,3,34.296
posadit,1,10.432,10.432,3,31.296
svatý,1,9.432,9.432,3,28.296
čas,1,9.317,9.317,3,27.951
činit,1,8.677,8.677,3,26.031
některý,1,8.677,8.677,3,26.031
manželka,1,8.677,8.677,3,26.031
zvěstovat,1,8.677,8.677,3,26.031
samý,1,8.262,8.262,3,24.786
všickn,1,8.262,8.262,3,24.786
jehož,1,8.159,8.159,3,24.477
jméno,1,8.11,8.11,3,24.33
