word,connection_count,pmi_sum,avg_pmi,pair_count_sum,weighted_score
tisíc,34,343.828,10.113,279,95928.012
sto,30,311.935,10.398,283,88277.605
polovice,33,339.969,10.302,192,65274.048
počet,26,277.953,10.691,219,60871.707
výše,23,256.003,11.131,208,53248.624
bůh,35,336.296,9.608,133,44727.368
rodina,21,235.868,11.232,188,44343.184
dvadcítiletý,20,227.62,11.381,175,39833.5
dome,19,210.034,11.054,186,39066.324
načtený,19,217.755,11.461,177,38542.635
čeleď,22,217.449,9.884,164,35661.636
mojžíš,25,247.589,9.904,140,34662.46
boj,21,219.707,10.462,153,33615.171
vedlý,23,231.934,10.084,135,31311.09
dát,24,237.79,9.908,126,29961.54
země,26,256.056,9.848,115,29446.44
jméno,19,184.171,9.693,151,27809.821
jít,18,186.196,10.344,130,24205.48
padesát,20,220.721,11.036,108,23837.868
moci,17,178.908,10.524,133,23794.764
otec,20,190.271,9.514,119,22642.249
čtyři,19,203.133,10.691,102,20719.566
pět,20,208.099,10.405,98,20393.702
jordán,21,227.343,10.826,89,20233.527
manassesův,16,161.959,10.122,113,18301.367
město,20,196.537,9.827,87,17098.719
prvorozený,20,188.664,9.433,90,16979.76
hospodin,20,187.846,9.392,88,16530.448
izraelský,20,189.19,9.46,77,14567.63
lid,17,168.323,9.901,83,13970.809
galád,17,187.166,11.01,71,13288.786
jeruzalém,16,171.031,10.689,66,11288.046
vyvolit,13,138.39,10.645,75,10379.25
čtyřidcet,14,151.571,10.826,67,10155.257
porodit,13,121.443,9.342,83,10079.769
jozue,14,146.927,10.495,64,9403.328
kníže,12,121.005,10.084,63,7623.315
sečtený,10,113.325,11.332,66,7479.45
služebník,13,130.205,10.016,54,7031.07
vzít,13,128.789,9.907,53,6825.817
přední,12,127.024,10.585,50,6351.2
rubenův,11,117.416,10.674,54,6340.464
šest,13,134.204,10.323,47,6307.588
léta,12,128.608,10.717,48,6173.184
kněz,12,123.23,10.269,49,6038.27
vojšta,9,104.963,11.663,56,5877.928
řko,9,90.163,10.018,63,5680.269
bázan,10,110.983,11.098,51,5660.133
