word,connection_count,pmi_sum,avg_pmi,pair_count_sum,weighted_score
země,32,309.007,9.656,150,46351.05
toba,25,239.591,9.584,128,30667.648
izraelský,20,188.281,9.414,121,22782.001
král,23,232.017,10.088,97,22505.649
syn,20,187.184,9.359,118,22087.712
soud,16,153.349,9.584,141,21622.209
poslouchat,17,156.84,9.226,129,20232.36
přikázaní,17,161.612,9.507,118,19070.216
bůh,20,182.014,9.101,104,18929.456
kristus,20,197.17,9.858,90,17745.3
přikazovat,16,162.485,10.155,105,17060.925
ustanovení,16,146.777,9.174,116,17026.132
otec,20,190.424,9.521,86,16376.464
dnes,16,158.684,9.918,92,14598.928
hlas,14,136.505,9.75,103,14060.015
ježíš,15,148.678,9.912,82,12191.596
david,17,163.312,9.607,74,12085.088
den,17,163.306,9.606,73,11921.338
mojžíš,14,142.215,10.158,73,10381.695
právo,16,169.083,10.568,58,9806.814
muž,15,144.268,9.618,64,9233.152
služebník,15,147.813,9.854,59,8720.967
ostříhat,13,123.112,9.47,69,8494.728
smlouva,14,126.423,9.03,67,8470.341
činit,13,121.935,9.38,69,8413.515
řko,14,135.164,9.655,61,8245.004
prorok,14,141.469,10.105,58,8205.202
dát,15,142.405,9.494,55,7832.275
chodit,12,114.448,9.537,67,7668.016
svědectví,11,102.209,9.292,72,7359.048
jeremiáš,14,145.776,10.413,49,7143.024
přikázat,11,107.83,9.803,65,7008.95
celý,11,108.667,9.879,64,6954.688
všecek,12,115.003,9.584,60,6900.18
rod,13,128.57,9.89,48,6171.36
ostříhaj,13,130.845,10.065,47,6149.715
skrz,11,103.033,9.367,59,6078.947
vydávat,10,96.01,9.601,61,5856.61
slovo,13,124.145,9.55,47,5834.815
srdce,10,98.603,9.86,57,5620.371
všecka,12,113.097,9.425,46,5202.462
cizí,9,94.197,10.466,54,5086.638
život,12,114.135,9.511,44,5021.94
cesta,11,105.765,9.615,47,4970.955
duše,10,95.123,9.512,52,4946.396
učinit,11,100.656,9.151,49,4932.144
judský,11,110.009,10.001,44,4840.396
milost,11,110.387,10.035,43,4746.641
živý,10,93.644,9.364,48,4494.912
dům,10,100.245,10.024,42,4210.29
pán,9,87.446,9.716,46,4022.516
víra,9,92.822,10.314,43,3991.346
dědičně,9,94.413,10.49,42,3965.346
egyptský,7,67.419,9.631,57,3842.883
věčný,10,99.616,9.962,38,3785.408
stolice,10,99.657,9.966,37,3687.309
boží,9,88.252,9.806,41,3618.332
každý,9,84.836,9.426,42,3563.112
svatý,10,98.451,9.845,36,3544.236
kniha,9,95.471,10.608,37,3532.427
přísaha,8,86.375,10.797,39,3368.625
jeden,8,80.867,10.108,41,3315.547
jeruzalémský,9,99.428,11.048,33,3281.124
obrátit,9,90.388,10.043,35,3163.58
smrt,9,91.654,10.184,34,3116.236
království,9,87.87,9.763,35,3075.45
hora,8,89.91,11.239,34,3056.94
ráno,7,76.216,10.888,39,2972.424
vést,9,91.471,10.163,32,2927.072
přivstávat,7,78.592,11.227,37,2907.904
kole,9,87.951,9.772,33,2902.383
dva,8,87.905,10.988,33,2900.865
více,9,92.072,10.23,31,2854.232
dobrý,9,85.776,9.531,33,2830.608
soudce,7,69.738,9.963,39,2719.782
hřích,8,79.942,9.993,34,2718.028
spravedlnost,9,84.432,9.381,32,2701.824
dědičný,8,86.318,10.79,29,2503.222
přijít,8,78.348,9.793,31,2428.788
všeliký,8,78.002,9.75,31,2418.062
milovat,8,80.662,10.083,29,2339.198
truhlo,8,85.208,10.651,27,2300.616
kníže,7,66.764,9.538,34,2269.976
zlý,8,77.539,9.692,28,2171.092
obyvatel,7,75.434,10.776,28,2112.152
aniž,8,77.199,9.65,27,2084.373
nepřítel,7,68.844,9.835,30,2065.32
vyvést,5,50.915,10.183,40,2036.6
poušť,7,74.24,10.606,27,2004.48
mojžíšův,7,70.718,10.103,28,1980.104
žena,7,68.169,9.738,29,1976.901
psaný,6,61.099,10.183,32,1955.168
izrael,7,68.934,9.848,28,1930.152
posílat,7,77.157,11.022,25,1928.925
starý,7,73.492,10.499,26,1910.792
zachovávat,7,70.047,10.007,26,1821.222
řkoucí,7,75.72,10.817,24,1817.28
stříbro,6,65.762,10.96,27,1775.574
zlato,6,65.762,10.96,27,1775.574
ustavičně,6,67.077,11.179,26,1744.002
národ,7,68.837,9.834,25,1720.925
milý,7,74.745,10.678,23,1719.135
město,7,73.464,10.495,23,1689.672
jít,7,75.828,10.833,22,1668.216
ruka,6,60.458,10.076,27,1632.366
chodíc,7,70.416,10.059,23,1619.568
přikázaný,6,55.605,9.268,25,1390.125
mít,7,65.863,9.409,21,1383.123
pohrdnout,6,65.283,10.88,21,1370.943
učit,6,63.827,10.638,21,1340.367
tvoj,6,60.378,10.063,22,1328.316
vládnout,5,52.821,10.564,24,1267.704
zaslíbit,6,59.697,9.949,21,1253.637
žid,6,59.49,9.915,21,1249.29
držení,6,69.169,11.528,18,1245.042
utvrdit,6,58.734,9.789,21,1233.414
zrušit,4,42.261,10.565,29,1225.569
věk,6,58.352,9.725,20,1167.04
bydlit,6,60.282,10.047,19,1145.358
lid,5,49.065,9.813,23,1128.495
teba,5,48.899,9.78,23,1124.677
silný,5,53.545,10.709,21,1124.445
sloužit,5,50.264,10.053,22,1105.808
stánek,4,45.223,11.306,24,1085.352
milosrdenství,5,49.936,9.987,21,1048.656
oko,5,47.065,9.413,22,1035.43
moc,5,50.98,10.196,20,1019.6
pohostina,5,56.475,11.295,18,1016.55
bratr,5,52.78,10.556,19,1002.82
dědictví,5,47.58,9.516,21,999.18
klanět,4,43.199,10.8,23,993.577
léta,5,47.032,9.406,21,987.672
pravý,5,49.298,9.86,20,985.96
ferezejský,5,65.075,13.015,15,976.125
gergezejský,5,65.075,13.015,15,976.125
hetejský,5,65.075,13.015,15,976.125
médský,4,50.54,12.635,19,960.26
kamenný,5,56.258,11.252,17,956.386
mluvívat,5,53.079,10.616,18,955.422
vina,5,50.013,10.003,19,950.247
panovník,5,55.559,11.112,17,944.503
dobře,5,49.062,9.812,19,932.178
poslat,5,54.736,10.947,17,930.512
perský,4,51.067,12.767,18,919.206
ostříhající,5,53.167,10.633,17,903.839
abosi,5,54.021,10.804,16,864.336
naplnit,5,50.329,10.066,17,855.593
tam,5,50.879,10.176,16,814.064
královský,4,44.969,11.242,18,809.442
pohan,5,51.829,10.366,15,777.435
rozpomenout,4,38.1,9.525,20,762.0
věc,5,47.306,9.461,16,756.896
slyšet,4,41.024,10.256,18,738.432
amorejský,4,55.2,13.8,13,717.6
příchozí,4,46.969,11.742,15,704.535
ustanovit,4,39.206,9.802,17,666.502
aron,4,43.183,10.796,15,647.745
duch,4,39.935,9.984,16,638.96
úmluva,3,37.067,12.356,17,630.139
umřít,4,39.339,9.835,16,629.424
poškvrnit,4,44.048,11.012,14,616.672
proměnitelný,4,51.067,12.767,12,612.804
správce,4,50.968,12.742,12,611.616
prvý,4,38.918,9.729,15,583.77
oblak,4,48.582,12.146,12,582.984
kámží,4,48.234,12.059,12,578.808
vyjít,4,44.345,11.086,13,576.485
mléko,4,44.098,11.024,13,573.274
pronárod,3,33.523,11.174,17,569.891
vědět,4,40.441,10.11,14,566.174
ukydaný,4,42.474,10.619,13,552.162
ospravedlněný,4,45.706,11.427,12,548.472
zlořečenství,4,42.111,10.528,13,547.443
jeruzalém,4,41.921,10.48,13,544.973
daný,4,44.301,11.075,12,531.612
orébě,4,37.937,9.484,14,531.118
pravost,4,40.822,10.205,13,530.686
ucho,4,40.5,10.125,13,526.5
všickn,3,29.115,9.705,18,524.07
tvář,4,42.727,10.682,12,512.724
veliký,4,42.556,10.639,12,510.672
toliko,4,39.198,9.8,13,509.574
lidé,4,42.052,10.513,12,504.624
bližní,4,41.628,10.407,12,499.536
člověk,4,37.132,9.283,13,482.716
uposlechnout,4,39.81,9.952,12,477.72
dít,4,38.309,9.577,12,459.708
předložit,4,38.293,9.573,12,459.516
samý,4,38.289,9.572,12,459.468
slitovnice,3,31.694,10.565,14,443.716
křivý,3,33.763,11.254,13,438.919
vidět,3,29.163,9.721,15,437.445
kananejský,3,32.987,10.996,13,428.831
krajina,3,32.635,10.878,13,424.255
čidit,3,32.869,10.956,12,394.428
nařízení,3,27.478,9.159,14,384.692
dcera,3,29.304,9.768,13,380.952
zaslíbení,3,34.395,11.465,11,378.345
jan,3,29.08,9.693,13,378.04
dsk,3,37.701,12.567,10,377.01
jordán,3,30.964,10.321,12,371.568
babylonský,3,30.939,10.313,12,371.268
ustavět,3,30.937,10.312,12,371.244
bát,3,28.369,9.456,13,368.797
izák,3,36.857,12.286,10,368.57
zapsaný,3,30.552,10.184,12,366.624
vydat,3,29.428,9.809,12,353.136
mnohý,3,29.284,9.761,12,351.408
úředník,3,37.927,12.642,9,341.343
všechně,3,27.83,9.277,12,333.96
soudový,3,27.74,9.247,12,332.88
vůdce,3,36.955,12.318,9,332.595
abraham,3,36.342,12.114,9,327.078
svobodný,3,32.379,10.793,10,323.79
asver,3,35.67,11.89,9,321.03
navrátit,3,29.014,9.671,11,319.154
buď,3,31.85,10.617,10,318.5
oplývající,3,35.388,11.796,9,318.492
tvý,3,28.569,9.523,11,314.259
dávat,3,31.115,10.372,10,311.15
skutek,3,30.951,10.317,10,309.51
prostřed,3,34.055,11.352,9,306.495
sion,3,33.877,11.292,9,304.893
sedmkrát,3,33.702,11.234,9,303.318
noc,2,23.094,11.547,13,300.222
duha,3,33.281,11.094,9,299.529
protivník,3,33.132,11.044,9,298.188
zjevení,3,32.629,10.876,9,293.661
tabule,3,32.591,10.864,9,293.319
všeckený,2,19.53,9.765,15,292.95
žádný,3,29.248,9.749,10,292.48
pohnout,3,32.172,10.724,9,289.548
hrozný,3,31.909,10.636,9,287.181
kdež,3,31.542,10.514,9,283.878
zase,3,31.506,10.502,9,283.554
chod,3,30.589,10.196,9,275.301
moábské,3,30.111,10.037,9,270.999
ctít,3,30.05,10.017,9,270.45
světlo,3,29.652,9.884,9,266.868
oběť,3,29.529,9.843,9,265.761
pozdvihnout,3,29.294,9.765,9,263.646
shromáždit,3,29.171,9.724,9,262.539
nebe,3,28.556,9.519,9,257.004
ústa,3,28.465,9.488,9,256.185
šalomoun,3,27.731,9.244,9,249.579
jiný,3,27.217,9.072,9,244.953
opona,2,21.275,10.637,10,212.75
sinai,2,23.463,11.732,9,211.167
příbuznost,2,25.688,12.844,8,205.504
obdržet,2,22.242,11.121,9,200.178
šťastně,2,23.436,11.718,8,187.488
přestoupit,2,22.723,11.361,8,181.784
naklonit,2,22.307,11.154,8,178.456
farize,2,25.441,12.721,7,178.087
dveře,2,24.152,12.076,7,169.064
pokoj,2,18.775,9.387,9,168.975
zhřešit,2,20.968,10.484,8,167.744
jákob,2,27.812,13.906,6,166.872
poklad,2,23.642,11.821,7,165.494
příbytek,2,22.573,11.287,7,158.011
jednostejný,2,22.085,11.043,7,154.595
užitý,2,25.688,12.844,6,154.128
vzbudit,2,21.974,10.987,7,153.818
zavázat,2,21.612,10.806,7,151.284
uvést,2,18.859,9.43,8,150.872
evangelium,2,25.01,12.505,6,150.06
užívat,2,24.594,12.297,6,147.564
meč,2,23.999,11.999,6,143.994
čas,2,17.971,8.986,8,143.768
vůkol,2,20.361,10.18,7,142.527
mrtvý,2,20.283,10.142,7,141.981
vztáhnout,2,20.21,10.105,7,141.47
služba,2,23.351,11.675,6,140.106
tělo,2,19.919,9.96,7,139.433
čtyřidcet,2,23.058,11.529,6,138.348
švagrovství,2,23.01,11.505,6,138.06
podrobovat,2,22.857,11.428,6,137.142
oba,2,22.811,11.405,6,136.866
voda,2,22.794,11.397,6,136.764
sedm,2,19.446,9.723,7,136.122
potom,2,19.39,9.695,7,135.73
vyhnat,2,22.428,11.214,6,134.568
kámen,2,22.41,11.205,6,134.46
sláva,2,22.386,11.193,6,134.316
bývat,2,22.373,11.186,6,134.238
první,2,19.174,9.587,7,134.218
postavit,2,22.32,11.16,6,133.92
vzít,2,19.123,9.561,7,133.861
požehnání,2,19.003,9.502,7,133.021
zůstávat,2,22.011,11.005,6,132.066
sobota,2,22.005,11.002,6,132.03
chléb,2,22.004,11.002,6,132.024
sloužíc,2,21.86,10.93,6,131.16
semeno,2,18.458,9.229,7,129.206
přicházet,2,21.494,10.747,6,128.964
zběhlý,2,21.179,10.59,6,127.074
truhlý,2,21.166,10.583,6,126.996
vložit,2,21.03,10.515,6,126.18
přivést,2,20.922,10.461,6,125.532
malý,2,20.903,10.451,6,125.418
podlý,2,20.892,10.446,6,125.352
pravda,2,20.812,10.406,6,124.872
řeč,2,20.643,10.322,6,123.858
brána,2,20.621,10.311,6,123.726
skutečně,2,20.576,10.288,6,123.456
prut,2,20.573,10.287,6,123.438
egypt,2,20.472,10.236,6,122.832
napsaný,2,20.433,10.216,6,122.598
jákoba,2,20.16,10.08,6,120.96
nový,2,20.077,10.038,6,120.462
brát,2,19.775,9.887,6,118.65
trestaný,2,19.695,9.848,6,118.17
propustit,2,19.444,9.722,6,116.664
pilně,2,19.401,9.7,6,116.406
říkat,2,19.248,9.624,6,115.488
lepší,2,19.12,9.56,6,114.72
tvýcha,2,19.079,9.54,6,114.474
zahynout,2,18.957,9.479,6,113.742
nic,2,18.892,9.446,6,113.352
naproti,2,18.831,9.415,6,112.986
hřešit,2,18.586,9.293,6,111.516
vzdělat,2,18.562,9.281,6,111.372
moudrý,1,8.968,8.968,8,71.744
vyuč,1,9.435,9.435,7,66.045
dnešní,1,10.607,10.607,6,63.642
matka,1,9.889,9.889,6,59.334
soudit,1,9.878,9.878,6,59.268
zákonník,1,13.852,13.852,4,55.408
jméno,1,9.065,9.065,6,54.39
pozorovat,1,9.012,9.012,6,54.072
prorokovat,1,11.589,11.589,4,46.356
ptactvo,1,15.397,15.397,3,46.191
živočich,1,15.397,15.397,3,46.191
naučení,1,9.164,9.164,5,45.82
jitro,1,14.982,14.982,3,44.946
večer,1,14.982,14.982,3,44.946
druhý,1,10.965,10.965,4,43.86
smilovat,1,14.245,14.245,3,42.735
zajatý,1,14.245,14.245,3,42.735
žalář,1,10.506,10.506,4,42.024
rádce,1,10.431,10.431,4,41.724
