word,connection_count,pmi_sum,avg_pmi,pair_count_sum,weighted_score
zlý,106,748.687,7.063,626,468678.062
dobrý,98,685.95,6.999,627,430090.65
hospodin,70,501.918,7.17,474,237909.132
bůh,63,450.017,7.143,387,174156.579
hřích,58,434.378,7.489,293,127272.754
spravedlivý,50,356.512,7.13,295,105171.04
pravda,50,368.542,7.371,247,91029.874
činit,36,262.684,7.297,225,59103.9
milovat,40,290.646,7.266,203,59001.138
bezbožný,36,271.279,7.536,217,58867.543
mít,40,289.1,7.228,188,54350.8
věc,31,225.427,7.272,221,49819.367
země,21,163.631,7.792,110,17999.41
skutek,20,149.642,7.482,109,16310.978
učinit,18,127.37,7.076,120,15284.4
cesta,19,153.868,8.098,97,14925.196
soud,18,133.781,7.432,107,14314.567
spravedlnost,17,129.473,7.616,108,13983.084
den,20,157.282,7.864,87,13683.534
jeden,16,129.598,8.1,93,12052.614
každý,17,133.241,7.838,88,11725.208
dům,17,128.425,7.554,89,11429.825
pravost,16,128.883,8.055,88,11341.704
oko,13,113.972,8.767,84,9573.648
milosrdenství,12,99.859,8.322,89,8887.451
všecek,15,120.275,8.018,64,7697.6
člověk,15,111.992,7.466,68,7615.456
slovo,15,115.612,7.707,65,7514.78
kristus,13,112.524,8.656,65,7314.06
bývat,14,117.631,8.402,60,7057.86
svatý,15,124.995,8.333,56,6999.72
ježíš,12,103.108,8.592,64,6598.912
vidět,11,91.399,8.309,69,6306.531
živý,13,103.313,7.947,54,5578.902
duše,12,90.888,7.574,61,5544.168
život,11,87.131,7.921,59,5140.729
město,12,112.741,9.395,45,5073.345
ovoce,10,97.573,9.757,48,4683.504
boží,12,100.341,8.362,46,4615.686
všecka,12,97.67,8.139,47,4590.49
toba,11,81.356,7.396,55,4474.58
odvrátit,11,96.594,8.781,45,4346.73
strom,9,92.709,10.301,46,4264.614
přijít,11,89.589,8.144,47,4210.683
izraelský,10,84.127,8.413,48,4038.096
duch,11,91.373,8.307,44,4020.412
nenávidět,10,79.268,7.927,49,3884.132
izrael,11,88.487,8.044,42,3716.454
nést,9,92.071,10.23,39,3590.769
všeliký,10,76.32,7.632,46,3510.72
věk,8,66.057,8.257,48,3170.736
oběť,8,73.348,9.168,42,3080.616
umřít,9,72.367,8.041,35,2532.845
ruka,8,54.713,6.839,44,2407.372
pán,8,63.534,7.942,37,2350.758
víra,9,74.319,8.258,31,2303.889
zhřešit,8,64.122,8.015,33,2116.026
voda,8,74.541,9.318,26,1938.066
pravý,8,64.808,8.101,28,1814.624
vyťat,7,81.322,11.617,22,1789.084
uvržený,7,83.397,11.914,21,1751.337
pokoj,7,57.687,8.241,30,1730.61
druhý,6,49.867,8.311,33,1645.611
vědět,7,52.968,7.567,30,1589.04
oheň,7,73.888,10.555,21,1551.648
mistře,7,66.821,9.546,23,1536.883
jiný,6,53.481,8.914,26,1390.506
pole,6,65.684,10.947,21,1379.364
samý,6,43.802,7.3,30,1314.06
lidé,6,44.634,7.439,29,1294.386
chodit,6,49.64,8.273,26,1290.64
tělo,6,53.285,8.881,24,1278.84
věčný,5,44.722,8.944,27,1207.494
nic,5,42.335,8.467,28,1185.38
svět,6,45.53,7.588,26,1183.78
oslavovat,5,43.601,8.72,27,1177.227
slyšet,6,48.948,8.158,24,1174.752
david,7,50.236,7.177,23,1155.428
všickn,6,46.106,7.684,25,1152.65
obětovat,5,46.621,9.324,23,1072.283
jméno,6,44.322,7.387,23,1019.406
skrz,6,47.48,7.913,20,949.6
hledat,5,34.882,6.976,26,906.932
dávat,5,36.719,7.344,24,881.256
nebe,5,48.161,9.632,18,866.898
ostříhat,5,37.63,7.526,23,865.49
dát,5,33.53,6.706,25,838.25
vysoký,5,48.671,9.734,17,827.407
odpustit,5,43.47,8.694,19,825.93
žádný,5,39.414,7.883,20,788.28
bezbožník,4,30.778,7.694,25,769.45
pakle,5,38.205,7.641,20,764.1
volat,5,47.424,9.485,16,758.784
ohavnost,5,36.963,7.393,20,739.26
nepřítel,4,31.032,7.758,22,682.704
dobře,4,32.972,8.243,20,659.44
anděl,5,40.418,8.084,16,646.688
uvést,4,28.82,7.205,22,634.04
dělat,5,38.607,7.721,16,617.712
bezbožnost,4,37.536,9.384,16,600.576
jedny,4,32.803,8.201,18,590.454
jít,5,39.053,7.811,15,585.795
hříšný,4,44.448,11.112,13,577.824
užitek,4,35.408,8.852,16,566.528
stromový,4,47.054,11.764,12,564.648
jediný,4,33.204,8.301,17,564.468
pokání,4,42.693,10.673,13,555.009
řeč,4,32.389,8.097,17,550.613
studnice,4,45.809,11.452,12,549.708
oblak,4,42.856,10.714,12,514.272
láska,4,35.31,8.828,14,494.34
lež,4,38.019,9.505,13,494.247
petr,3,30.262,10.087,16,484.192
vynášet,4,39.838,9.96,12,478.056
jákobův,4,36.657,9.164,13,476.541
sláva,4,33.71,8.428,14,471.94
tvář,4,33.656,8.414,14,471.184
znát,4,29.203,7.301,16,467.248
prostřed,4,31.111,7.778,15,466.665
takový,4,28.125,7.031,16,450.0
chléb,4,33.978,8.495,13,441.714
rada,4,32.502,8.125,13,422.526
bližní,4,32.32,8.08,13,420.16
moci,3,20.765,6.922,20,415.3
oblíčej,4,28.987,7.247,14,405.818
žádost,4,32.566,8.142,12,390.792
dar,4,32.033,8.008,12,384.396
buď,3,25.833,8.611,14,361.662
jíst,3,22.513,7.504,16,360.208
více,3,19.996,6.665,18,359.928
upřímý,3,22.36,7.453,16,357.76
hříšník,3,25.061,8.354,14,350.854
učedlník,3,30.688,10.229,11,337.568
čas,3,22.417,7.472,15,336.255
volka,3,31.309,10.436,10,313.09
přivést,3,28.379,9.46,11,312.169
napomínat,3,26.629,8.876,11,292.919
světlo,3,26.571,8.857,11,292.281
učit,3,28.846,9.615,10,288.46
osoba,3,28.581,9.527,10,285.81
léta,3,23.576,7.859,12,282.912
bydlit,3,25.47,8.49,11,280.17
dokonalý,3,25.205,8.402,11,277.255
prosit,3,27.602,9.201,10,276.02
stezka,3,27.152,9.051,10,271.52
smrt,3,22.615,7.538,12,271.38
dít,3,22.6,7.533,12,271.2
přímý,3,24.629,8.21,11,270.919
služebníč,3,30.071,10.024,9,270.639
výborný,3,28.558,9.519,9,257.022
hněv,3,25.13,8.377,10,251.3
prchlivost,3,25.13,8.377,10,251.3
padnout,3,27.906,9.302,9,251.154
achabův,3,27.532,9.177,9,247.788
ucho,3,27.463,9.154,9,247.167
dcera,3,24.164,8.055,10,241.64
užívat,3,26.5,8.833,9,238.5
teba,3,23.536,7.845,10,235.36
nenávist,3,23.135,7.712,10,231.35
zdali,3,22.525,7.508,10,225.25
spasení,3,20.341,6.78,11,223.751
čekat,3,24.153,8.051,9,217.377
manželka,3,23.083,7.694,9,207.747
zahynout,3,20.529,6.843,10,205.29
věrný,3,20.446,6.815,10,204.46
onť,3,22.44,7.48,9,201.96
obrátit,3,22.161,7.387,9,199.449
mysl,2,18.096,9.048,11,199.056
zůstat,3,21.803,7.268,9,196.227
proč,3,21.631,7.21,9,194.679
množství,3,21.32,7.107,9,191.88
dopustit,3,20.86,6.953,9,187.74
milost,3,20.64,6.88,9,185.76
prostředek,2,20.487,10.244,9,184.383
odejmout,2,20.264,10.132,9,182.376
žeť,3,20.225,6.742,9,182.025
svědek,2,22.135,11.067,8,177.08
přijímat,2,18.871,9.435,9,169.839
vydat,2,20.419,10.21,8,163.352
falešný,2,23.179,11.59,7,162.253
dědičně,2,19.953,9.976,8,159.624
odpus,2,20.875,10.438,7,146.125
líbit,2,17.92,8.96,8,143.36
aniž,2,13.02,6.51,11,143.22
jonášův,2,23.417,11.709,6,140.502
šimone,2,23.417,11.709,6,140.502
obdržet,2,20.023,10.011,7,140.161
hrazený,2,19.304,9.652,7,135.128
vzít,2,13.306,6.653,10,133.06
pan,2,16.594,8.297,8,132.752
milostiv,2,18.545,9.273,7,129.815
odplatit,2,14.211,7.105,9,127.899
mnohý,2,15.756,7.878,8,126.048
přicházet,2,15.552,7.776,8,124.416
zlost,2,15.552,7.776,8,124.416
slunce,2,17.761,8.88,7,124.327
poblouzení,2,20.493,10.247,6,122.958
vinný,2,19.934,9.967,6,119.604
saule,2,19.82,9.91,6,118.92
skrýt,2,19.727,9.864,6,118.362
odplacovat,2,14.719,7.359,8,117.752
shlazený,2,18.96,9.48,6,113.76
zpomenout,2,18.96,9.48,6,113.76
říkat,2,14.181,7.091,8,113.448
hlas,2,14.165,7.082,8,113.32
bát,2,14.095,7.047,8,112.76
všeckený,2,18.668,9.334,6,112.008
trvat,2,18.599,9.3,6,111.594
učid,2,18.567,9.284,6,111.402
učiňit,2,18.567,9.284,6,111.402
pročež,2,13.858,6.929,8,110.864
přikázaný,2,15.447,7.723,7,108.129
veliký,2,13.508,6.754,8,108.064
horší,2,17.682,8.841,6,106.092
hodný,2,17.498,8.749,6,104.988
egyptský,2,17.276,8.638,6,103.656
převrácený,2,17.144,8.572,6,102.864
všecky,2,16.986,8.493,6,101.916
