word,connection_count,pmi_sum,avg_pmi,pair_count_sum,weighted_score
slovo,52,466.117,8.964,336,156615.312
bůh,50,449.888,8.998,274,123269.312
syn,49,445.888,9.1,270,120389.76
země,51,455.411,8.93,247,112486.517
judský,44,409.524,9.307,258,105657.192
izraelský,42,370.61,8.824,264,97841.04
panovník,49,433.884,8.855,219,95020.596
král,39,358.545,9.193,244,87484.98
řkoucí,37,350.591,9.475,228,79934.748
město,43,394.491,9.174,180,71008.38
všecka,32,305.982,9.562,144,44061.408
dům,24,223.311,9.305,142,31710.162
uvést,27,252.453,9.35,120,30294.36
ruka,25,229.963,9.199,126,28975.338
člověčí,18,184.638,10.258,129,23818.302
prorok,23,209.746,9.119,108,22652.568
babylonský,21,202.144,9.626,112,22640.128
zlý,23,224.346,9.754,95,21312.87
rci,19,179.28,9.436,114,20437.92
muž,23,217.487,9.456,92,20008.804
jeremiáš,19,184.876,9.73,107,19781.732
zástup,21,187.645,8.935,88,16512.76
jít,21,192.021,9.144,84,16129.764
lid,21,193.26,9.203,83,16040.58
otec,20,186.364,9.318,80,14909.12
obyvatel,18,174.228,9.679,81,14112.468
národ,20,180.58,9.029,74,13362.92
prorokovat,18,177.619,9.868,75,13321.425
den,20,182.216,9.111,68,12390.688
věc,17,164.659,9.686,72,11855.448
lidé,17,162.759,9.574,72,11718.648
řko,16,150.4,9.4,74,11129.6
poslat,15,139.77,9.318,75,10482.75
egyptský,15,140.125,9.342,71,9948.875
prostřed,16,160.64,10.04,57,9156.48
izaiáš,14,143.66,10.261,57,8188.62
žádný,15,139.928,9.329,58,8115.824
přivést,14,137.723,9.837,57,7850.211
meč,14,132.254,9.447,57,7538.478
všecek,15,139.49,9.299,51,7113.99
david,12,114.522,9.543,57,6527.754
hovada,12,125.824,10.485,48,6039.552
cizí,12,131.669,10.972,44,5793.436
dcera,12,124.862,10.405,46,5743.652
rec,11,103.423,9.402,53,5481.419
slyšet,11,106.591,9.69,50,5329.55
jeruzalém,11,106.962,9.724,49,5241.138
živ,11,113.354,10.305,44,4987.576
kniha,10,98.991,9.899,49,4850.559
vysvobodit,11,124.834,11.349,38,4743.692
říkat,11,101.554,9.232,46,4671.484
šlechetnost,10,102.632,10.263,39,4002.648
cesta,11,103.179,9.38,37,3817.623
tvář,10,97.199,9.72,39,3790.761
toba,9,82.208,9.134,44,3617.152
popouzet,10,117.382,11.738,30,3521.46
kadit,10,113.647,11.365,30,3409.41
vidět,10,103.82,10.382,32,3322.24
každý,10,99.781,9.978,32,3192.992
sedechiáš,8,77.633,9.704,41,3182.953
zase,8,79.026,9.878,40,3161.04
proroctví,9,90.18,10.02,34,3066.12
jeruzalémský,8,74.317,9.29,41,3046.997
všickn,9,82.052,9.117,35,2871.82
veliký,9,81.344,9.038,35,2847.04
mít,9,82.046,9.116,34,2789.564
prorokuj,8,79.646,9.956,35,2787.61
dít,9,79.801,8.867,34,2713.234
učinit,9,80.95,8.994,33,2671.35
zajatý,8,75.882,9.485,33,2504.106
mnohý,8,79.072,9.884,31,2451.232
vyjít,8,72.538,9.067,33,2393.754
ezechiáš,8,83.195,10.399,28,2329.46
království,8,76.209,9.526,30,2286.27
více,8,75.74,9.468,29,2196.46
hora,8,81.674,10.209,26,2123.524
vydat,8,73.76,9.22,28,2065.28
vojsko,7,70.218,10.031,28,1966.104
dát,7,64.03,9.147,30,1920.9
služebník,7,65.51,9.359,29,1899.79
tam,7,71.693,10.242,25,1792.325
přijít,7,65.047,9.292,26,1691.222
faraon,6,69.688,11.615,24,1672.512
hlad,6,59.535,9.922,28,1666.98
oheň,7,65.597,9.371,25,1639.925
izrael,7,62.995,8.999,26,1637.87
mojžíš,6,68.078,11.346,24,1633.872
obr,7,77.491,11.07,21,1627.311
samý,7,65.395,9.342,24,1569.48
skrz,7,67.002,9.572,23,1541.046
jméno,6,55.162,9.194,27,1489.374
boží,7,64.972,9.282,22,1429.384
ohavnost,6,59.959,9.993,23,1379.057
potok,6,65.421,10.903,20,1308.42
