word,connection_count,pmi_sum,avg_pmi,pair_count_sum,weighted_score
kůže,17,217.116,12.772,85,18454.86
barvený,14,191.387,13.671,69,13205.703
pohledit,12,154.292,12.858,71,10954.732
lot,9,113.311,12.59,94,10651.234
branice,11,155.895,14.172,59,9197.805
mouka,7,87.423,12.489,95,8305.185
dvakrát,10,140.958,14.096,56,7893.648
červec,10,140.958,14.096,56,7893.648
loket,10,129.457,12.946,60,7767.42
ledvinka,10,141.457,14.146,52,7355.764
čtrnáct,9,114.48,12.72,61,6983.28
lota,7,91.617,13.088,74,6779.658
tuk,10,120.9,12.09,55,6649.5
vedlý,7,86.545,12.364,73,6317.785
stříbrný,7,90.132,12.876,65,5858.58
ztížit,6,82.04,13.673,69,5660.76
sedmdesát,6,80.431,13.405,69,5549.739
vrabce,9,126.621,14.069,43,5444.703
háj,10,133.412,13.341,40,5336.48
báň,6,80.811,13.468,64,5171.904
prst,10,130.585,13.059,39,5092.815
měsíc,10,124.811,12.481,38,4742.818
ucho,8,103.705,12.963,44,4563.02
rozmohnout,9,117.638,13.071,37,4352.606
náprsník,8,105.997,13.25,41,4345.877
jezevčí,9,123.636,13.737,35,4327.26
modrý,9,120.043,13.338,35,4201.505
yzopa,8,115.515,14.439,36,4158.54
kraj,8,103.177,12.897,40,4127.08
síň,9,113.261,12.585,36,4077.396
hluboký,8,109.688,13.711,37,4058.456
přikrytí,9,126.487,14.054,32,4047.584
postavec,9,120.429,13.381,33,3974.157
svícen,8,108.797,13.6,36,3916.692
cedrový,7,100.107,14.301,39,3904.173
roční,5,60.821,12.164,64,3892.544
zákonník,8,97.194,12.149,40,3887.76
zadělaný,4,50.379,12.595,77,3879.183
poškvrna,8,99.32,12.415,39,3873.48
střevo,8,113.7,14.213,34,3865.8
dřevo,7,99.087,14.155,39,3864.393
černý,8,112.284,14.035,32,3593.088
palec,7,92.85,13.264,38,3528.3
volový,5,63.485,12.697,55,3491.675
obracení,7,93.973,13.425,37,3477.001
přikrývající,8,112.054,14.007,31,3473.674
jatra,8,114.151,14.269,30,3424.53
kryjící,9,126.656,14.073,27,3419.712
rána,8,100.565,12.571,34,3419.21
