word,connection_count,pmi_sum,avg_pmi,pair_count_sum,weighted_score
jan,11,153.482,13.953,53,8134.546
godoliáš,9,124.883,13.876,60,7492.98
jakub,10,144.698,14.47,42,6077.316
filip,11,160.73,14.612,37,5947.01
amorejský,8,108.072,13.509,54,5835.888
padesátiletý,9,136.119,15.124,38,5172.522
šimon,8,114.009,14.251,43,4902.387
ondřej,9,137.088,15.232,35,4798.08
petr,8,113.18,14.147,41,4640.38
třidcítiletý,9,135.716,15.08,34,4614.344
způsobní,9,135.716,15.08,34,4614.344
výše,8,117.448,14.681,38,4463.024
konat,8,115.661,14.458,37,4279.457
iškariotský,9,141.741,15.749,29,4110.489
tomáš,9,141.741,15.749,29,4110.489
jidáš,9,139.165,15.463,29,4035.785
matouš,9,144.231,16.026,27,3894.237
izmael,6,82.504,13.751,47,3877.688
jeroboám,6,82.962,13.827,46,3816.252
hřešení,6,84.477,14.08,45,3801.465
hebron,8,110.758,13.845,31,3433.498
úmluva,5,71.512,14.302,45,3218.04
písař,8,119.803,14.975,26,3114.878
jochanan,6,85.336,14.223,36,3072.096
seon,5,70.93,14.186,43,3049.99
ezebon,6,82.289,13.715,37,3044.693
nebatov,5,70.212,14.042,43,3019.116
oga,6,86.958,14.493,33,2869.614
pece,7,102.207,14.601,28,2861.796
planý,8,118.474,14.809,24,2843.376
zaslíbit,6,81.209,13.535,35,2842.315
azafův,8,116.653,14.582,24,2799.672
cedrový,7,103.221,14.746,27,2786.967
nebuzardan,5,71.163,14.233,37,2633.031
achikamov,6,83.812,13.969,30,2514.36
rozpálený,6,92.542,15.424,27,2498.634
vyslýchát,6,89.718,14.953,27,2422.386
kancléř,7,104.442,14.92,23,2402.166
netaniášův,6,82.458,13.743,29,2391.282
eliakim,6,96.49,16.082,23,2219.27
sobn,6,96.49,16.082,23,2219.27
přísaha,4,53.813,13.453,41,2206.333
eleazar,6,84.322,14.054,26,2192.372
fíkový,7,103.21,14.744,21,2167.41
modléka,6,89.866,14.978,24,2156.784
stánek,4,55.154,13.788,39,2151.006
joach,6,93.1,15.517,23,2141.3
itamar,6,91.392,15.232,23,2102.016
hevejský,5,72.44,14.488,29,2100.76
dříví,6,82.828,13.805,25,2070.7
helkiášův,6,97.456,16.243,21,2046.576
hetejský,5,69.9,13.98,29,2027.1
sečtený,6,83.161,13.86,24,1995.864
zavázat,5,68.251,13.65,29,1979.279
kareachův,5,72.148,14.43,27,1947.996
žoldnéř,4,58.761,14.69,33,1939.113
galád,4,53.723,13.431,36,1934.028
bázan,5,73.476,14.695,26,1910.376
ferezejský,5,72.372,14.474,26,1881.672
chóre,5,70.983,14.197,26,1845.558
mizach,5,78.346,15.669,23,1801.958
sidrach,5,78.346,15.669,23,1801.958
žalm,5,71.078,14.216,25,1776.95
hejtman,4,53.643,13.411,33,1770.219
masfa,5,67.258,13.452,26,1748.708
dome,5,72.755,14.551,24,1746.12
abdenágo,5,79.013,15.803,22,1738.286
ohnivý,5,75.323,15.065,22,1657.106
rámot,4,54.079,13.52,30,1622.37
poběhlka,6,88.156,14.693,18,1586.808
jeskyně,5,71.405,14.281,22,1570.91
úřad,4,59.217,14.804,26,1539.642
kněžský,4,57.333,14.333,26,1490.658
víno,5,67.498,13.5,22,1484.956
vyznávat,5,73.489,14.698,19,1396.291
jebuzejský,4,57.472,14.368,24,1379.328
dědičně,3,40.315,13.438,34,1370.71
zlatý,5,67.353,13.471,20,1347.06
hegl,5,86.745,17.349,15,1301.175
mahl,5,86.745,17.349,15,1301.175
noa,5,86.745,17.349,15,1301.175
melcha,5,85.085,17.017,15,1276.275
salfad,5,85.085,17.017,15,1276.275
machpelah,5,74.666,14.933,17,1269.322
astarot,5,74.258,14.852,17,1262.386
efron,5,74.025,14.805,17,1258.425
služba,5,68.189,13.638,18,1227.402
modlitba,5,71.681,14.336,17,1218.577
oheň,5,67.19,13.438,18,1209.42
pavel,4,54.926,13.731,22,1208.372
izar,4,59.864,14.966,20,1197.28
joábův,5,70.273,14.055,17,1194.641
amaziáš,4,54.188,13.547,22,1192.136
dan,5,70.04,14.008,17,1190.68
slib,5,69.991,13.998,17,1189.847
rahuel,5,79.291,15.858,15,1189.365
tersa,5,79.245,15.849,15,1188.675
amram,4,59.286,14.822,20,1185.72
sarvie,4,55.212,13.803,21,1159.452
taniášův,5,72.218,14.444,16,1155.488
trouba,5,72.169,14.434,16,1154.704
uziel,4,57.531,14.383,20,1150.62
kahat,4,55.822,13.956,20,1116.44
korouhev,4,55.495,13.874,20,1109.9
zpěvák,5,69.026,13.805,16,1104.416
ittai,5,71.068,14.214,15,1066.02
odpus,4,60.243,15.061,17,1024.131
chíram,4,56.862,14.216,18,1023.516
strdí,4,60.634,15.159,16,970.144
assyrský,4,52.684,13.171,18,948.312
zhřešit,4,54.366,13.591,17,924.222
kamení,4,56.932,14.233,16,910.912
heródes,4,56.417,14.104,16,902.672
jezdec,3,40.791,13.597,22,897.402
uchýlit,4,55.488,13.872,16,887.808
jorama,4,58.853,14.713,15,882.795
stůl,4,57.197,14.299,15,857.955
lože,4,61.209,15.302,14,856.926
achiáš,4,56.539,14.135,15,848.085
merari,3,42.266,14.089,20,845.32
abigail,4,63.462,15.866,13,825.006
královna,4,54.792,13.698,15,821.88
méza,4,68.408,17.102,12,820.896
nahat,4,68.408,17.102,12,820.896
kálef,4,57.845,14.461,14,809.83
aman,3,42.416,14.139,19,805.904
někdy,4,61.359,15.34,13,797.667
závazek,4,60.709,15.177,13,789.217
údolí,4,56.068,14.017,14,784.952
samma,4,65.408,16.352,12,784.896
herodiad,4,60.172,15.043,13,782.236
jho,4,60.12,15.03,13,781.56
jarmut,4,59.869,14.967,13,778.297
abner,4,55.416,13.854,14,775.824
emat,4,59.517,14.879,13,773.721
zára,4,64.163,16.041,12,769.956
mlout,3,40.516,13.505,19,769.804
houfe,3,42.659,14.22,18,767.862
výsostit,4,58.693,14.673,13,763.009
kantor,3,43.291,14.43,17,735.947
kadit,3,43.018,14.339,17,731.306
abrahamův,3,42.723,14.241,17,726.291
alabastrový,4,60.22,15.055,12,722.64
spasitel,4,55.042,13.761,13,715.546
šlak,3,47.64,15.88,15,714.6
modlit,4,54.849,13.712,13,713.037
honit,4,54.828,13.707,13,712.764
azael,4,54.72,13.68,13,711.36
joasa,3,41.83,13.943,17,711.11
růst,4,58.875,14.719,12,706.5
hazael,4,54.062,13.516,13,702.806
poražený,3,45.255,15.085,15,678.825
gerson,3,41.631,13.877,16,666.096
oplývající,3,47.277,15.759,14,661.878
složit,4,55.086,13.771,12,661.032
žalář,4,54.817,13.704,12,657.804
mléko,3,46.832,15.611,14,655.648
apoštol,3,40.703,13.568,16,651.248
povědění,3,40.585,13.528,16,649.36
joiadův,3,45.897,15.299,14,642.558
banaiáš,3,45.102,15.034,14,631.428
abio,3,47.778,15.926,13,621.114
abizai,3,41.377,13.792,15,620.655
zlato,3,41.215,13.738,15,618.225
tyrský,3,43.668,14.556,14,611.352
přivodit,3,40.385,13.462,15,605.775
bičík,3,50.015,16.672,12,600.18
uzlovatý,3,50.015,16.672,12,600.18
vojšta,3,42.829,14.276,14,599.606
nádab,3,46.082,15.361,13,599.066
joas,3,42.789,14.263,14,599.046
bič,3,49.371,16.457,12,592.452
kananejský,3,40.947,13.649,14,573.258
zplození,2,28.595,14.297,20,571.9
východ,3,43.003,14.334,13,559.039
edrei,3,46.292,15.431,12,555.504
izbozet,3,42.367,14.122,13,550.771
trestat,3,45.839,15.28,12,550.068
jehoram,3,44.736,14.912,12,536.832
oděný,3,44.214,14.738,12,530.568
pozdvižení,3,43.645,14.548,12,523.74
loutna,3,46.406,15.469,11,510.466
ochoziáš,3,42.46,14.153,12,509.52
vůz,2,26.766,13.383,19,508.554
odpouštět,3,45.693,15.231,11,502.623
mořský,3,45.289,15.096,11,498.179
děveček,3,41.491,13.83,12,497.892
nebeský,3,40.866,13.622,12,490.392
oběť,3,40.845,13.615,12,490.14
moholi,2,29.922,14.961,16,478.752
vzhůru,3,42.878,14.293,11,471.658
přítomnost,3,42.878,14.293,11,471.658
amon,3,42.782,14.261,11,470.602
berotský,3,47.043,15.681,10,470.43
achabov,3,46.643,15.548,10,466.43
číst,3,42.301,14.1,11,465.311
vůl,2,26.875,13.438,17,456.875
nábale,3,49.402,16.467,9,444.618
postihnout,3,44.232,14.744,10,442.32
sába,3,43.885,14.628,10,438.85
temnota,3,43.645,14.548,10,436.45
rechab,3,48.242,16.081,9,434.178
soba,3,43.228,14.409,10,432.28
juda,3,39.246,13.082,11,431.706
karmelský,3,47.928,15.976,9,431.352
stálý,3,42.971,14.324,10,429.71
břemeno,3,42.792,14.264,10,427.92
musi,2,30.092,15.046,14,421.288
píseň,3,42.112,14.037,10,421.12
ocelivý,3,46.206,15.402,9,415.854
remmon,3,46.043,15.348,9,414.387
izákův,2,29.413,14.707,14,411.782
joram,3,41.161,13.72,10,411.61
jerišský,3,44.987,14.996,9,404.883
sirotek,2,28.92,14.46,14,404.88
mast,3,44.874,14.958,9,403.866
tovaryc,3,44.72,14.907,9,402.48
absolon,3,39.964,13.321,10,399.64
báruch,3,44.12,14.707,9,397.08
zasnoubený,3,44.022,14.674,9,396.198
obývat,3,43.806,14.602,9,394.254
eglon,3,43.787,14.596,9,394.083
strom,3,42.27,14.09,9,380.43
joasův,3,41.322,13.774,9,371.898
přední,2,26.478,13.239,14,370.692
ranit,3,40.778,13.593,9,367.002
kůň,3,40.774,13.591,9,366.966
sem,3,40.701,13.567,9,366.309
eza,3,40.341,13.447,9,363.069
zázrak,2,27.899,13.95,13,362.687
stříbro,3,39.996,13.332,9,359.964
zachariáš,3,39.949,13.316,9,359.541
centnéř,2,28.075,14.037,12,336.9
jákobův,2,27.846,13.923,12,334.152
chudý,2,27.633,13.816,12,331.596
nápoj,2,29.11,14.555,11,320.21
safanov,2,29.009,14.505,11,319.099
nebe,2,26.454,13.227,12,317.448
osel,2,28.464,14.232,11,313.104
levo,2,30.727,15.364,10,307.27
pravo,2,30.535,15.268,10,305.35
žalma,2,30.275,15.137,10,302.75
bezživotí,2,27.24,13.62,11,299.64
báza,2,26.821,13.41,11,295.031
výsost,2,28.972,14.486,10,289.72
timoteus,2,27.965,13.982,10,279.65
moře,2,27.365,13.683,10,273.65
rouch,2,30.378,15.189,9,273.402
slunce,2,27.056,13.528,10,270.56
obětovat,2,26.838,13.419,10,268.38
bichri,2,29.791,14.896,9,268.119
seba,2,29.791,14.896,9,268.119
mrv,2,33.365,16.683,8,266.92
zpívat,2,29.571,14.785,9,266.139
šíje,2,29.261,14.631,9,263.349
het,2,29.223,14.611,9,263.007
vasti,2,29.042,14.521,9,261.378
cheretejský,2,32.569,16.285,8,260.552
peletejský,2,32.569,16.285,8,260.552
manassesov,2,28.815,14.407,9,259.335
harfa,2,32.049,16.024,8,256.392
sebeon,2,31.986,15.993,8,255.888
test,2,31.757,15.879,8,254.056
lněný,2,31.435,15.718,8,251.48
agagský,2,31.405,15.703,8,251.24
