word,connection_count,pmi_sum,avg_pmi,pair_count_sum,weighted_score
ježíš,48,396.776,8.266,389,154345.864
duch,52,419.926,8.075,314,131856.764
kristus,50,411.272,8.225,311,127905.592
země,47,398.822,8.486,263,104890.186
pán,41,330.706,8.066,223,73747.438
svatý,35,278.389,7.954,215,59853.635
bůh,47,346.672,7.376,158,54774.176
sláva,37,317.038,8.569,167,52945.346
boží,31,249.407,8.045,195,48634.365
skrz,33,272.52,8.258,175,47691.0
den,30,253.555,8.452,137,34737.035
dům,28,246.096,8.789,124,30515.904
učinit,24,195.018,8.126,103,20086.854
ruka,23,195.621,8.505,100,19562.1
mít,22,181.876,8.267,104,18915.104
milost,17,144.439,8.496,115,16610.485
toba,17,151.459,8.909,88,13328.392
věc,18,146.215,8.123,83,12135.845
hora,18,158.081,8.782,74,11697.994
tělo,15,126.826,8.455,90,11414.34
všecka,18,144.431,8.024,79,11410.049
dát,16,133.449,8.341,83,11076.267
jít,17,148.788,8.752,72,10712.736
víra,16,137.117,8.57,70,9598.19
nebe,14,123.17,8.798,73,8991.41
veliký,15,123.576,8.238,71,8773.896
cesta,15,129.79,8.653,58,7527.82
láska,13,113.612,8.739,57,6475.884
jméno,14,117.162,8.369,55,6443.91
každý,12,101.064,8.422,63,6367.032
činit,14,116.407,8.315,54,6285.978
silný,14,115.597,8.257,53,6126.641
izraelský,13,114.955,8.843,51,5862.705
moc,12,101.329,8.444,56,5674.424
řko,13,105.92,8.148,51,5401.92
živý,11,97.201,8.836,53,5151.653
nepřítel,11,113.35,10.305,44,4987.4
samý,12,97.005,8.084,50,4850.25
duše,10,96.539,9.654,50,4826.95
vidět,12,96.449,8.037,47,4533.103
modlitba,11,110.92,10.084,40,4436.8
egyptský,9,79.813,8.868,54,4309.902
voda,10,90.739,9.074,45,4083.255
slovo,12,99.185,8.265,41,4066.585
zástup,11,94.207,8.564,41,3862.487
obětovat,10,93.384,9.338,41,3828.744
naděje,10,94.552,9.455,40,3782.08
dědičně,9,91.778,10.198,39,3579.342
jeden,9,78.606,8.734,45,3537.27
pavel,9,82.921,9.213,41,3399.761
hlas,9,82.055,9.117,40,3282.2
spasení,9,84.46,9.384,38,3209.48
mnohý,10,83.62,8.362,38,3177.56
tam,9,86.211,9.579,35,3017.385
slyšet,10,86.209,8.621,35,3017.315
život,8,70.756,8.845,42,2971.752
člověk,10,82.342,8.234,36,2964.312
dávat,8,71.978,8.997,40,2879.12
zvědět,9,84.188,9.354,34,2862.392
všecek,10,82.059,8.206,34,2790.006
vyvolit,8,79.221,9.903,33,2614.293
jiný,9,73.094,8.122,33,2412.102
noha,8,87.06,10.883,27,2350.62
oko,8,70.617,8.827,33,2330.361
položit,8,92.363,11.545,25,2309.075
pravice,8,92.363,11.545,25,2309.075
slunce,8,82.012,10.252,28,2296.336
milosrdenství,9,81.96,9.107,28,2294.88
mojžíš,8,75.814,9.477,29,2198.606
skutek,8,70.21,8.776,31,2176.51
věk,8,68.348,8.543,31,2118.788
vědět,8,66.905,8.363,30,2007.15
shromáždění,7,62.377,8.911,31,1933.687
podnož,7,91.288,13.041,21,1917.048
seď,7,91.288,13.041,21,1917.048
přijmout,6,48.295,8.049,39,1883.505
tvý,7,84.367,12.052,22,1856.074
kázat,7,63.505,9.072,29,1841.645
chvála,7,56.405,8.058,31,1748.555
dít,8,66.857,8.357,26,1738.282
první,7,64.268,9.181,27,1735.236
dědictví,6,61.017,10.17,28,1708.476
smrt,7,60.209,8.601,28,1685.852
všeliký,6,55.319,9.22,27,1493.613
modlit,7,62.412,8.916,22,1373.064
moci,7,55.836,7.977,24,1340.064
živ,5,52.265,10.453,25,1306.625
nic,6,49.405,8.234,26,1284.53
řeč,6,61.076,10.179,21,1282.596
pokoj,6,48.089,8.015,25,1202.225
mrtvý,5,47.392,9.478,25,1184.8
prvý,6,47.07,7.845,25,1176.75
oheň,6,61.293,10.216,19,1164.567
oběť,5,52.723,10.545,22,1159.906
žeť,5,50.343,10.069,23,1157.889
radost,6,49.919,8.32,23,1148.137
přikázat,6,51.996,8.666,22,1143.912
vzít,6,56.562,9.427,20,1131.24
vyslyšet,5,53.056,10.611,21,1114.176
noc,5,44.566,8.913,24,1069.584
chodit,6,53.091,8.848,19,1008.729
evangelium,5,45.012,9.002,22,990.264
více,6,51.829,8.638,18,932.922
vysoký,5,46.151,9.23,20,923.02
věčný,5,43.594,8.719,21,915.474
onť,5,50.805,10.161,16,812.88
křtít,4,42.488,10.622,19,807.272
marnost,4,42.09,10.522,19,799.71
království,5,44.289,8.858,18,797.202
vyvyšiž,5,53.088,10.618,15,796.32
pravost,5,49.056,9.811,16,784.896
spustit,4,48.01,12.003,16,768.16
trápení,4,40.174,10.044,18,723.132
panovník,5,45.036,9.007,16,720.576
všeck,4,44.28,11.07,16,708.48
přijít,5,40.641,8.128,17,690.897
pokřtěný,5,44.257,8.851,15,663.855
aniž,5,40.58,8.116,16,649.28
psaný,5,43.099,8.62,15,646.485
jeruzalém,4,33.617,8.404,19,638.723
spravedlnost,5,41.527,8.305,15,622.905
všickn,5,41.512,8.302,15,622.68
síla,4,33.125,8.281,18,596.25
pokorný,4,42.53,10.633,14,595.42
požehnaný,4,39.432,9.858,15,591.48
jákobův,4,40.941,10.235,14,573.174
