word,connection_count,pmi_sum,avg_pmi,pair_count_sum,weighted_score
každý,31,291.613,9.407,140,40825.82
král,30,282.152,9.405,128,36115.456
jazyk,31,277.65,8.956,130,36094.5
bůh,29,256.46,8.843,133,34109.18
otec,26,235.551,9.06,131,30857.181
syn,24,218.59,9.108,126,27542.34
moudrost,22,197.093,8.959,138,27198.834
skrz,24,226.24,9.427,99,22397.76
ježíš,21,205.184,9.771,105,21544.32
hospodin,23,198.91,8.648,106,21084.46
slovo,23,212.501,9.239,90,19125.09
pán,20,189.274,9.464,95,17981.03
boží,21,195.053,9.288,91,17749.823
duch,19,170.263,8.961,97,16515.511
ústa,20,171.382,8.569,81,13881.942
učinit,18,165.459,9.192,76,12574.884
věc,18,162.638,9.035,73,11872.574
oko,17,158.247,9.309,70,11077.29
den,16,144.965,9.06,75,10872.375
země,16,144.469,9.029,75,10835.175
národ,14,136.733,9.767,77,10528.441
izraelský,14,130.567,9.326,78,10184.226
lepší,17,161.422,9.495,57,9201.054
sláva,14,137.525,9.823,62,8526.55
david,14,135.263,9.662,63,8521.569
kristus,14,139.364,9.955,61,8501.204
dům,14,130.77,9.341,65,8500.05
nebe,14,132.12,9.437,61,8059.32
mít,16,140.535,8.783,57,8010.495
lépe,15,157.054,10.47,50,7852.7
dát,14,124.715,8.908,58,7233.47
lid,14,133.21,9.515,54,7193.34
umění,11,105.403,9.582,65,6851.195
jeden,11,111.727,10.157,54,6033.258
všeliký,13,118.078,9.083,51,6021.978
víra,13,135.005,10.385,43,5805.215
zlý,12,115.408,9.617,48,5539.584
svatý,10,95.096,9.51,57,5420.472
člověk,13,116.946,8.996,46,5379.516
služebník,11,100.033,9.094,51,5101.683
všecka,11,110.159,10.014,46,5067.314
vidět,11,104.207,9.473,46,4793.522
činit,12,114.262,9.522,41,4684.742
duše,10,91.202,9.12,47,4286.494
moc,11,105.453,9.587,39,4112.667
jeremiášův,10,114.38,11.438,34,3888.92
moudrý,9,84.047,9.339,44,3698.068
věk,9,81.688,9.076,45,3675.96
hlas,10,107.449,10.745,34,3653.266
jméno,10,93.327,9.333,38,3546.426
čas,10,92.85,9.285,37,3435.45
celý,9,83.703,9.3,41,3431.823
kniha,9,106.627,11.847,31,3305.437
lidé,9,80.968,8.996,38,3076.784
uslyšet,9,97.947,10.883,31,3036.357
aniž,10,94.838,9.484,32,3034.816
láska,9,94.094,10.455,32,3011.008
královský,9,93.405,10.378,32,2988.96
muž,9,83.608,9.29,35,2926.28
bohatství,9,89.583,9.954,32,2866.656
dobrý,9,82.263,9.14,34,2796.942
toba,9,79.424,8.825,35,2779.84
krajina,7,81.542,11.649,31,2527.802
faraonův,7,73.134,10.448,34,2486.556
bát,9,84.461,9.385,29,2449.369
přijít,8,71.719,8.965,34,2438.446
rozumnost,6,59.307,9.884,41,2431.587
blázen,7,64.369,9.196,37,2381.653
opatrnost,7,72.247,10.321,32,2311.904
život,8,76.939,9.617,29,2231.231
veliký,8,76.615,9.577,29,2221.835
báruch,7,88.207,12.601,25,2205.175
ostříhat,8,75.626,9.453,29,2193.154
oheň,8,89.703,11.213,24,2152.872
obrátit,7,66.781,9.54,32,2136.992
cesta,8,73.148,9.143,29,2121.292
sepsat,7,87.792,12.542,24,2107.008
kníže,8,75.05,9.381,27,2026.35
uložit,7,68.559,9.794,28,1919.652
ucho,7,70.441,10.063,27,1901.907
prorok,7,67.107,9.587,28,1878.996
jeremiáš,7,89.037,12.72,21,1869.777
slyšet,7,66.687,9.527,28,1867.236
vyjít,7,66.159,9.451,28,1852.452
všecek,8,74.093,9.262,25,1852.325
řeč,7,65.921,9.417,28,1845.788
chodit,7,70.231,10.033,26,1826.006
živý,8,73.003,9.125,25,1825.075
rozumný,6,54.78,9.13,33,1807.74
písmo,7,74.871,10.696,23,1722.033
šalomoun,7,68.4,9.771,25,1710.0
dobře,7,69.575,9.939,24,1669.8
bratr,7,68.637,9.805,24,1647.288
všickn,7,60.917,8.702,27,1644.759
oběť,6,70.292,11.715,23,1616.716
vědět,7,64.384,9.198,25,1609.6
teba,7,69.051,9.864,23,1588.173
spravedlnost,7,70.275,10.039,22,1546.05
šalomounův,6,61.47,10.245,24,1475.28
přikázat,7,66.83,9.547,22,1470.26
spravedlivý,6,56.172,9.362,26,1460.472
skutek,6,62.282,10.38,23,1432.486
pohoršit,6,79.135,13.189,18,1424.43
dnes,6,69.646,11.608,20,1392.92
bláznovství,5,47.936,9.587,29,1390.144
řkoucí,6,60.168,10.028,23,1383.864
tajemství,6,62.709,10.452,22,1379.598
žena,6,58.646,9.774,23,1348.858
koleno,6,64.011,10.668,21,1344.231
judský,6,57.096,9.516,22,1256.112
člověčí,5,54.587,10.917,22,1200.914
zatvrdit,6,62.026,10.338,19,1178.494
voda,6,58.165,9.694,20,1163.3
mysl,6,55.333,9.222,21,1161.993
samý,6,53.496,8.916,20,1069.92
naplnit,5,49.084,9.817,21,1030.764
propustit,5,51.231,10.246,20,1024.62
hrdlo,5,63.793,12.759,16,1020.688
maličký,5,67.378,13.476,15,1010.67
znát,6,55.048,9.175,18,990.864
žernov,5,65.718,13.144,15,985.77
opatrný,5,46.807,9.361,21,982.947
vstoupit,5,54.614,10.923,17,928.438
čeleď,5,56.148,11.23,16,898.368
upřímý,5,46.674,9.335,19,886.806
mající,5,58.19,11.638,15,872.85
pravda,5,50.875,10.175,17,864.875
stříbro,4,44.628,11.157,19,847.932
tvář,5,45.802,9.16,18,824.436
ruka,5,47.594,9.519,17,809.098
pravost,5,47.099,9.42,17,800.683
složit,5,46.411,9.282,17,788.987
zlato,4,40.94,10.235,19,777.86
vedlý,4,44.972,11.243,17,764.524
podobný,5,50.693,10.139,15,760.395
utvrdit,5,49.649,9.93,15,744.735
svědek,4,43.482,10.87,17,739.194
tvý,5,45.733,9.147,16,731.728
rozumět,5,45.389,9.078,16,726.224
svět,4,37.781,9.445,19,717.839
moci,5,47.718,9.544,15,715.77
řko,5,44.704,8.941,16,715.264
zástup,4,38.695,9.674,18,696.51
lidský,4,38.636,9.659,18,695.448
dva,4,43.238,10.809,16,691.808
tři,4,43.061,10.765,16,688.976
daný,5,45.654,9.131,15,684.81
milovat,4,37.79,9.448,18,680.22
uvržený,4,51.949,12.987,13,675.337
lest,4,42.105,10.526,16,673.68
hledat,4,38.951,9.738,16,623.216
vjít,4,51.534,12.883,12,618.408
práce,4,42.279,10.57,14,591.906
vůle,4,44.525,11.131,13,578.825
vespolek,4,40.512,10.128,14,567.168
bezbožný,3,32.615,10.872,17,554.455
