word,connection_count,pmi_sum,avg_pmi,pair_count_sum,weighted_score
řekl,7,48.146,6.878,53,2551.738
synů,6,52.456,8.743,37,1940.872
ježíše,3,29.122,9.707,30,873.66
krista,3,29.125,9.708,27,786.375
pavel,3,29.263,9.754,24,702.312
apoštol,3,29.936,9.979,23,688.528
praví,3,27.498,9.166,22,604.956
hospodinovo,2,18.753,9.377,31,581.343
slovo,2,18.033,9.017,32,577.056
stalo,2,17.302,8.651,29,501.758
troji,2,20.846,10.423,16,333.536
nešlechetnost,2,20.524,10.262,16,328.384
pokoj,2,18.735,9.367,16,299.76
milost,2,18.372,9.186,16,293.952
boha,2,17.425,8.713,14,243.95
měsíce,2,20.15,10.075,12,241.8
anděl,2,16.806,8.403,13,218.478
načteno,1,10.742,10.742,10,107.42
pokolení,1,10.742,10.742,10,107.42
rodiny,1,9.037,9.037,9,81.333
bohu,1,10.064,10.064,7,70.448
díky,1,10.064,10.064,7,70.448
král,1,5.938,5.938,11,65.318
set,1,8.996,8.996,7,62.972
léta,1,10.479,10.479,6,62.874
oheň,1,10.479,10.479,6,62.874
pošli,1,10.479,10.479,6,62.874
dne,1,9.671,9.671,6,58.026
david,1,6.649,6.649,8,53.192
synu,1,10.561,10.561,5,52.805
člověčí,1,10.561,10.561,5,52.805
zástupů,1,8.782,8.782,6,52.692
odpovídaje,1,7.286,7.286,7,51.002
hospodinův,1,10.064,10.064,5,50.32
dva,1,8.189,8.189,6,49.134
noémi,1,9.723,9.723,5,48.615
řekla,1,9.723,9.723,5,48.615
jeden,1,9.561,9.561,5,47.805
každý,1,9.561,9.561,5,47.805
izraelských,1,9.189,9.189,5,45.945
satanovi,1,7.649,7.649,6,45.894
bratří,1,9.163,9.163,5,45.815
moji,1,9.163,9.163,5,45.815
den,1,9.157,9.157,5,45.785
stane,1,9.157,9.157,5,45.785
odpověděl,1,6.456,6.456,7,45.192
eliáš,1,7.426,7.426,6,44.556
šest,1,8.704,8.704,5,43.52
padesáte,1,8.341,8.341,5,41.705
