community_id,rank_in_community,word,community_size,weighted_degree
0,1,praví,4,27.498
0,2,troji,4,20.846
0,3,nešlechetnost,4,20.524
0,4,zástupů,4,8.782
1,1,načteno,2,10.742
1,2,pokolení,2,10.742
2,1,hospodinovo,3,18.753
2,2,slovo,3,18.033
2,3,stalo,3,17.302
3,1,apoštol,4,29.936
3,2,pavel,4,29.263
3,3,krista,4,29.125
3,4,ježíše,4,29.122
4,1,měsíce,3,20.15
4,2,léta,3,10.479
4,3,dne,3,9.671
5,1,oheň,2,10.479
5,2,pošli,2,10.479
6,1,pokoj,3,18.735
6,2,milost,3,18.372
6,3,boha,3,17.425
7,1,synu,2,10.561
7,2,člověčí,2,10.561
8,1,bohu,2,10.064
8,2,díky,2,10.064
9,1,řekl,9,48.146
9,2,anděl,9,16.806
9,3,hospodinův,9,10.064
9,4,satanovi,9,7.649
9,5,eliáš,9,7.426
9,6,odpovídaje,9,7.286
9,7,david,9,6.649
9,8,odpověděl,9,6.456
9,9,král,9,5.938
10,1,synů,7,52.456
10,2,izraelských,7,9.189
10,3,rodiny,7,9.037
10,4,set,7,8.996
10,5,šest,7,8.704
10,6,padesáte,7,8.341
10,7,dva,7,8.189
11,1,noémi,2,9.723
11,2,řekla,2,9.723
12,1,jeden,2,9.561
12,2,každý,2,9.561
13,1,bratří,2,9.163
13,2,moji,2,9.163
14,1,den,2,9.157
14,2,stane,2,9.157
