community_id,size,internal_edges,avg_edge_weight,modularity,top5_hubs
0,4,4,9.706,0.895,"praví, troji, nešlechetnost, zástupů"
1,2,1,10.742,0.895,"načteno, pokolení"
2,3,3,9.015,0.895,"hospodinovo, slovo, stalo"
3,4,6,9.787,0.895,"apoštol, pavel, krista, ježíše"
4,3,2,10.075,0.895,"měsíce, léta, dne"
5,2,1,10.479,0.895,"oheň, pošli"
6,3,3,9.089,0.895,"pokoj, milost, boha"
7,2,1,10.561,0.895,"synu, člověčí"
8,2,1,10.064,0.895,"bohu, díky"
9,9,8,7.276,0.895,"řekl, anděl, hospodinův, satanovi, eliáš"
10,7,6,8.743,0.895,"synů, izraelských, rodiny, set, šest"
11,2,1,9.723,0.895,"noémi, řekla"
12,2,1,9.561,0.895,"jeden, každý"
13,2,1,9.163,0.895,"bratří, moji"
14,2,1,9.157,0.895,"den, stane"
