Source,Target,Weight,pair_count,Type
troji,čtveru,15.097,8,Undirected
troji,ovšem,14.775,8,Undirected
troji,nešlechetnost,14.512,8,Undirected
troji,neodpustím,15.097,5,Undirected
troji,hospodin,9.467,8,Undirected
čtveru,ovšem,14.775,8,Undirected
čtveru,nešlechetnost,14.512,8,Undirected
čtveru,neodpustím,15.097,5,Undirected
čtveru,hospodin,9.467,8,Undirected
jmen,čeledech,14.289,13,Undirected
jmen,domích,14.097,13,Undirected
jmen,výše,14.174,12,Undirected
jmen,dvadcítiletých,14.271,11,Undirected
jmen,počtu,14.009,13,Undirected
jmen,rodiny,14.048,11,Undirected
jmen,otců,13.342,13,Undirected
jmen,boji,13.937,8,Undirected
jmen,vedlé,13.589,8,Undirected
jmen,mohli,13.318,9,Undirected
jmen,jíti,13.226,8,Undirected
jmen,synů,12.074,12,Undirected
jmen,všech,12.128,11,Undirected
čeledech,domích,13.99,13,Undirected
čeledech,výše,14.067,12,Undirected
čeledech,dvadcítiletých,14.164,11,Undirected
čeledech,počtu,13.902,13,Undirected
čeledech,rodiny,13.941,11,Undirected
čeledech,otců,13.235,13,Undirected
čeledech,boji,13.83,8,Undirected
čeledech,vedlé,13.482,8,Undirected
čeledech,mohli,13.211,9,Undirected
čeledech,jíti,13.119,8,Undirected
čeledech,synů,11.967,12,Undirected
čeledech,všech,12.021,11,Undirected
dvadcítiletých,výše,14.289,12,Undirected
dvadcítiletých,domích,13.971,11,Undirected
dvadcítiletých,rodiny,14.026,10,Undirected
dvadcítiletých,počtu,13.884,11,Undirected
dvadcítiletých,boji,14.052,8,Undirected
dvadcítiletých,otců,13.216,11,Undirected
dvadcítiletých,mohli,13.434,9,Undirected
dvadcítiletých,jíti,13.342,8,Undirected
dvadcítiletých,vedlé,13.289,6,Undirected
dvadcítiletých,všech,12.106,10,Undirected
dvadcítiletých,synů,11.927,10,Undirected
výše,domích,13.874,12,Undirected
výše,rodiny,13.941,11,Undirected
výše,počtu,13.787,12,Undirected
výše,boji,14.0,9,Undirected
výše,otců,13.119,12,Undirected
výše,mohli,13.363,10,Undirected
výše,jíti,13.289,9,Undirected
výše,vedlé,13.289,7,Undirected
výše,všech,12.021,11,Undirected
výše,synů,11.842,11,Undirected
domích,počtu,13.709,13,Undirected
domích,rodiny,13.749,11,Undirected
domích,otců,13.042,13,Undirected
domích,boji,13.637,8,Undirected
domích,vedlé,13.289,8,Undirected
domích,mohli,13.019,9,Undirected
domích,jíti,12.927,8,Undirected
domích,synů,11.775,12,Undirected
domích,všech,11.828,11,Undirected
ovšem,nešlechetnost,14.36,9,Undirected
ovšem,neodpustím,14.775,5,Undirected
ovšem,hospodin,9.145,8,Undirected
počtu,rodiny,13.661,11,Undirected
počtu,otců,12.955,13,Undirected
počtu,boji,13.55,8,Undirected
počtu,vedlé,13.202,8,Undirected
počtu,mohli,12.931,9,Undirected
počtu,jíti,12.839,8,Undirected
počtu,všech,11.866,12,Undirected
počtu,synů,11.687,12,Undirected
páliti,spokojující,15.067,6,Undirected
páliti,vůně,14.874,6,Undirected
páliti,ohnivou,14.704,6,Undirected
páliti,oltáři,14.067,6,Undirected
páliti,oběť,12.453,7,Undirected
páliti,kněz,12.202,6,Undirected
páliti,hospodin,9.467,7,Undirected
spokojující,vůně,14.874,6,Undirected
spokojující,ohnivou,14.441,5,Undirected
spokojující,oltáři,14.067,6,Undirected
spokojující,oběť,12.453,7,Undirected
spokojující,kněz,11.939,5,Undirected
spokojující,hospodin,9.467,7,Undirected
nešlechetnost,neodpustím,14.512,5,Undirected
nešlechetnost,hospodin,8.882,8,Undirected
jitro,večer,14.927,6,Undirected
jitro,den,11.03,6,Undirected
večer,den,10.445,6,Undirected
rodiny,boji,13.83,8,Undirected
rodiny,otců,12.994,11,Undirected
rodiny,mohli,13.211,9,Undirected
rodiny,jíti,13.119,8,Undirected
rodiny,všech,12.262,13,Undirected
rodiny,vedlé,13.067,6,Undirected
rodiny,synů,11.842,11,Undirected
vůně,ohnivou,14.249,5,Undirected
vůně,oltáři,13.874,6,Undirected
vůně,oběť,12.038,6,Undirected
vůně,kněz,11.746,5,Undirected
vůně,hospodin,9.052,6,Undirected
paláce,zžíře,14.637,7,Undirected
paláce,pošli,13.522,6,Undirected
paláce,oheň,12.586,7,Undirected
zžíře,pošli,14.174,6,Undirected
zžíře,oheň,13.239,7,Undirected
neodpustím,hospodin,9.467,5,Undirected
nevyhnal,obyvatelů,15.097,5,Undirected
ohnivou,oltáři,13.441,5,Undirected
ohnivou,oběť,12.283,8,Undirected
ohnivou,kněz,11.839,6,Undirected
ohnivou,hospodin,9.467,9,Undirected
dobytka,volů,14.927,5,Undirected
obilé,olej,14.927,5,Undirected
obilé,mest,14.664,5,Undirected
boji,jíti,13.275,7,Undirected
boji,mohli,13.197,7,Undirected
boji,otců,12.882,8,Undirected
boji,všech,11.909,8,Undirected
boji,synů,11.73,8,Undirected
stánku,úmluvy,14.552,6,Undirected
stříbro,zlato,14.804,5,Undirected
otců,vedlé,12.534,8,Undirected
otců,mohli,12.264,9,Undirected
otců,jíti,12.172,8,Undirected
otců,všech,11.199,12,Undirected
otců,synů,11.02,12,Undirected
otců,hospodin,7.034,5,Undirected
čem,říkáte,14.664,5,Undirected
říkáte,hospodin,9.297,8,Undirected
léta,měsíce,13.132,14,Undirected
léta,kralování,13.573,5,Undirected
léta,druhého,12.573,9,Undirected
léta,král,9.91,12,Undirected
léta,den,9.829,10,Undirected
léta,slovo,9.573,6,Undirected
léta,syn,8.708,7,Undirected
léta,hospodin,7.944,8,Undirected
měsíce,dvadcátého,13.849,7,Undirected
měsíce,čtvrtého,13.849,6,Undirected
měsíce,téhož,13.363,5,Undirected
měsíce,druhého,12.679,8,Undirected
měsíce,řkoucí,12.733,6,Undirected
měsíce,den,10.483,13,Undirected
měsíce,slovo,10.071,7,Undirected
měsíce,král,9.186,6,Undirected
měsíce,hospodin,8.389,9,Undirected
měsíce,syn,8.761,6,Undirected
dvě,stě,14.512,5,Undirected
apoštol,pavel,13.637,9,Undirected
apoštol,vůli,14.152,5,Undirected
apoštol,ježíš,10.84,10,Undirected
apoštol,kristus,10.853,9,Undirected
apoštol,boží,10.796,6,Undirected
pavel,timoteus,13.704,6,Undirected
pavel,vůli,13.441,5,Undirected
pavel,kristus,10.673,13,Undirected
pavel,ježíš,10.508,13,Undirected
pavel,boží,10.085,6,Undirected
set,šest,13.327,11,Undirected
set,tisíce,12.997,7,Undirected
set,pět,13.038,6,Undirected
set,čtyřidceti,13.038,6,Undirected
set,tisíc,12.396,5,Undirected
set,sedm,12.097,5,Undirected
set,synů,11.038,9,Undirected
set,tři,11.775,5,Undirected
set,pokolení,11.009,5,Undirected
šest,tisíce,12.927,5,Undirected
šest,synů,10.605,5,Undirected
porodila,počala,14.441,5,Undirected
porodila,syn,9.839,6,Undirected
počala,syn,9.939,5,Undirected
pošli,oheň,12.123,6,Undirected
seděti,stolici,13.904,7,Undirected
seděti,kralovati,14.249,5,Undirected
stolici,kralovati,13.249,5,Undirected
stolici,král,9.434,6,Undirected
stolici,hospodin,7.789,5,Undirected
mohli,jíti,12.849,9,Undirected
mohli,všech,11.291,9,Undirected
mohli,synů,11.112,9,Undirected
dvadcátého,den,10.545,5,Undirected
oltáři,oběť,11.815,9,Undirected
oltáři,kněz,11.787,9,Undirected
oltáři,hospodin,8.83,9,Undirected
aggea,proroka,14.289,5,Undirected
aggea,hospodin,9.467,5,Undirected
proroka,hospodin,7.982,5,Undirected
vedlé,synů,11.19,7,Undirected
vedlé,všech,11.146,6,Undirected
kralovati,syn,9.576,5,Undirected
vůli,boží,11.448,6,Undirected
vůli,kristus,10.657,5,Undirected
vůli,ježíš,10.492,5,Undirected
nátan,prorok,14.152,5,Undirected
nátan,král,10.363,5,Undirected
jíti,všech,11.199,8,Undirected
jíti,synů,11.02,8,Undirected
slunce,východu,14.133,5,Undirected
ježíš,kristus,10.233,74,Undirected
ježíš,pán,9.504,54,Undirected
ježíš,milost,9.785,28,Undirected
ježíš,otec,9.537,28,Undirected
ježíš,pokoj,9.89,16,Undirected
ježíš,bůh,8.185,42,Undirected
ježíš,zjevení,10.615,7,Undirected
ježíš,timoteus,10.755,6,Undirected
ježíš,spasitele,10.463,7,Undirected
ježíš,boží,8.721,18,Undirected
ježíš,mrtvých,10.241,6,Undirected
ježíš,bratr,10.492,5,Undirected
ježíš,víra,9.093,13,Undirected
ježíš,svatým,9.656,8,Undirected
ježíš,milosrdenství,9.023,8,Undirected
ježíš,bratří,8.551,8,Undirected
ježíš,láska,8.808,6,Undirected
ježíš,všechněm,8.545,5,Undirected
ježíš,evangelium,8.277,6,Undirected
ježíš,jméno,8.039,6,Undirected
ježíš,nebe,7.978,5,Undirected
ježíš,syn,7.212,15,Undirected
ježíš,duch,7.014,5,Undirected
kristus,timoteus,10.92,6,Undirected
kristus,milost,9.142,16,Undirected
kristus,bratr,10.657,5,Undirected
kristus,boží,8.716,16,Undirected
kristus,otec,8.702,14,Undirected
kristus,víra,9.017,11,Undirected
kristus,mrtvých,10.142,5,Undirected
kristus,svatým,9.628,7,Undirected
kristus,pán,8.161,19,Undirected
kristus,bůh,7.658,26,Undirected
kristus,naděje,9.764,5,Undirected
kristus,nebyl,9.377,5,Undirected
kristus,služebník,9.072,5,Undirected
kristus,láska,8.709,5,Undirected
kristus,pokoj,8.64,6,Undirected
kristus,krev,8.557,5,Undirected
kristus,evangelium,8.442,6,Undirected
kristus,buď,8.42,5,Undirected
kristus,moudrost,8.179,5,Undirected
kristus,pravda,8.179,5,Undirected
kristus,duch,7.857,8,Undirected
kristus,syn,6.64,9,Undirected
čtvrtého,den,11.03,6,Undirected
asvera,vasti,14.097,5,Undirected
asvera,král,10.849,8,Undirected
vasti,král,10.849,10,Undirected
ovoce,strom,14.026,5,Undirected
ovoce,země,9.431,6,Undirected
ovoce,bůh,8.426,5,Undirected
sta,čtyři,13.512,7,Undirected
obětovati,oběť,12.272,15,Undirected
obětovati,hospodin,8.55,9,Undirected
oběť,suché,11.938,7,Undirected
oběť,obětoval,11.801,7,Undirected
oběť,olejem,11.605,5,Undirected
oběť,hospodin,8.631,28,Undirected
oběť,kněz,9.95,9,Undirected
jeden,každý,12.055,16,Undirected
každý,kdož,9.839,5,Undirected
každý,což,8.731,5,Undirected
každý,bůh,7.146,5,Undirected
každý,hospodin,6.702,5,Undirected
oheň,sežral,13.239,5,Undirected
oheň,dříví,11.473,5,Undirected
všech,synů,10.162,13,Undirected
všech,všecky,8.833,5,Undirected
všech,bůh,6.769,6,Undirected
izraelským,synům,13.611,5,Undirected
synům,hospodin,8.052,6,Undirected
jistý,čas,13.512,5,Undirected
čas,hospodin,7.467,5,Undirected
tisíce,dva,12.31,5,Undirected
dcery,sionské,13.441,5,Undirected
druhého,den,10.182,10,Undirected
druhého,hospodin,7.619,5,Undirected
srdci,svém,12.148,12,Undirected
svém,všecky,9.275,5,Undirected
svém,syn,7.461,5,Undirected
téhož,den,10.545,5,Undirected
synů,izraelských,11.742,11,Undirected
synů,dva,10.473,7,Undirected
synů,padesáte,10.811,5,Undirected
pokolení,tisíců,12.787,6,Undirected
pokolení,země,7.888,5,Undirected
pokolení,syn,7.659,5,Undirected
pokolení,bůh,7.409,6,Undirected
moudrost,umění,12.046,10,Undirected
moudrost,bláznovství,12.326,5,Undirected
moudrost,boží,8.97,6,Undirected
moudrost,bůh,7.626,8,Undirected
řkoucí,slovo,11.512,13,Undirected
