Id,Label,Community,Betweenness,Eigenvector,Degree,WeightedDegree
anděl,anděl,9,0.006206,0.0,2,16.806
apoštol,apoštol,3,0.0,0.0,3,29.936
boha,boha,6,0.0,0.0,2,17.425
bohu,bohu,8,0.0,0.0,1,10.064
bratří,bratří,13,0.0,0.0,1,9.163
david,david,9,0.0,0.0,1,6.649
den,den,14,0.0,0.0,1,9.157
dne,dne,4,0.0,0.0,1,9.671
dva,dva,10,0.0,0.0,1,8.189
díky,díky,8,0.0,0.0,1,10.064
eliáš,eliáš,9,0.0,0.0,1,7.426
hospodinovo,hospodinovo,2,0.0,0.0,2,18.753
hospodinův,hospodinův,9,0.0,0.0,1,10.064
izraelských,izraelských,10,0.0,0.0,1,9.189
jeden,jeden,12,0.0,0.0,1,9.561
ježíše,ježíše,3,0.0,0.0,3,29.122
každý,každý,12,0.0,0.0,1,9.561
krista,krista,3,0.0,0.0,3,29.125
král,král,9,0.0,0.0,1,5.938
léta,léta,4,0.0,0.0,1,10.479
milost,milost,6,0.0,0.0,2,18.372
moji,moji,13,0.0,0.0,1,9.163
měsíce,měsíce,4,0.000887,0.0,2,20.15
načteno,načteno,1,0.0,0.0,1,10.742
nešlechetnost,nešlechetnost,0,0.0,0.0,2,20.524
noémi,noémi,11,0.0,0.0,1,9.723
odpovídaje,odpovídaje,9,0.0,0.0,1,7.286
odpověděl,odpověděl,9,0.0,0.0,1,6.456
oheň,oheň,5,0.0,0.0,1,10.479
padesáte,padesáte,10,0.0,0.0,1,8.341
pavel,pavel,3,0.0,0.0,3,29.263
pokoj,pokoj,6,0.0,0.0,2,18.735
pokolení,pokolení,1,0.0,0.0,1,10.742
pošli,pošli,5,0.0,0.0,1,10.479
praví,praví,0,0.001773,0.0,3,27.498
rodiny,rodiny,10,0.0,0.0,1,9.037
satanovi,satanovi,9,0.0,0.0,1,7.649
set,set,10,0.0,0.0,1,8.996
slovo,slovo,2,0.0,0.0,2,18.033
stalo,stalo,2,0.0,0.0,2,17.302
stane,stane,14,0.0,0.0,1,9.157
synu,synu,7,0.0,0.0,1,10.561
synů,synů,10,0.013298,0.0,6,52.456
troji,troji,0,0.0,0.0,2,20.846
zástupů,zástupů,0,0.0,0.0,1,8.782
člověčí,člověčí,7,0.0,0.0,1,10.561
řekl,řekl,9,0.023936,0.0,7,48.146
řekla,řekla,11,0.0,0.0,1,9.723
šest,šest,10,0.0,0.0,1,8.704
