word,degree,degree_centrality,betweenness_centrality,eigenvector_centrality,weighted_degree
jsem,8,0.093023,0.159508,0.0,45.237
řekl,12,0.139535,0.139535,0.0,90.961
když,5,0.05814,0.077975,0.0,30.259
kterýž,5,0.05814,0.052531,0.0,33.158
stalo,4,0.046512,0.041587,0.0,33.958
vás,2,0.023256,0.041587,0.0,13.643
protož,4,0.046512,0.041587,0.0,25.432
skrze,2,0.023256,0.032011,0.0,16.83
praví,6,0.069767,0.022435,0.0,57.975
slovo,4,0.046512,0.022161,0.0,38.84
jest,3,0.034884,0.022161,0.0,19.299
apoštol,3,0.034884,0.021888,0.0,31.913
hospodin:,5,0.05814,0.01751,0.0,48.842
kteříž,5,0.05814,0.002736,0.0,40.362
synů,4,0.046512,0.001368,0.0,38.102
synu,2,0.023256,0.000274,0.0,21.25
bohu,2,0.023256,0.000274,0.0,21.853
nešlechetnost,4,0.046512,0.0,0.0,43.427
troji,4,0.046512,0.0,0.0,44.393
jich,2,0.023256,0.0,0.0,22.943
načteno,2,0.023256,0.0,0.0,23.322
samého,1,0.011628,0.0,0.0,12.295
sebe,1,0.011628,0.0,0.0,12.295
pokolení,2,0.023256,0.0,0.0,22.737
takto,6,0.069767,0.0,0.0,59.208
ježíše,2,0.023256,0.0,0.0,22.584
"krista,",2,0.023256,0.0,0.0,22.824
"jejich,",2,0.023256,0.0,0.0,20.312
rodiny,2,0.023256,0.0,0.0,21.078
našeho,1,0.011628,0.0,0.0,11.764
pána,1,0.011628,0.0,0.0,11.764
ruku,1,0.011628,0.0,0.0,11.49
svou,1,0.011628,0.0,0.0,11.49
hospodinovo,2,0.023256,0.0,0.0,20.853
oheň,1,0.011628,0.0,0.0,11.42
pošli,1,0.011628,0.0,0.0,11.42
anděl,1,0.011628,0.0,0.0,11.616
hospodinův,1,0.011628,0.0,0.0,11.616
píši,1,0.011628,0.0,0.0,11.295
"vám,",1,0.011628,0.0,0.0,11.295
"člověčí,",1,0.011628,0.0,0.0,11.464
milost,3,0.034884,0.0,0.0,30.497
pokoj,3,0.034884,0.0,0.0,30.867
díky,1,0.011628,0.0,0.0,11.143
"hospodinovo,",1,0.011628,0.0,0.0,10.71
zástupů:,2,0.023256,0.0,0.0,21.299
boha,3,0.034884,0.0,0.0,29.751
vždycky,1,0.011628,0.0,0.0,10.71
jeden,1,0.011628,0.0,0.0,10.616
každý,1,0.011628,0.0,0.0,10.616
jemu:,1,0.011628,0.0,0.0,10.349
řekli,1,0.011628,0.0,0.0,10.349
vám,3,0.034884,0.0,0.0,28.307
proti,1,0.011628,0.0,0.0,10.529
"tobě,",1,0.011628,0.0,0.0,10.529
set,1,0.011628,0.0,0.0,10.005
"těm,",1,0.011628,0.0,0.0,9.442
jestliže,1,0.011628,0.0,0.0,9.594
obět,1,0.011628,0.0,0.0,9.594
"ten,",1,0.011628,0.0,0.0,8.553
"můj,",1,0.011628,0.0,0.0,9.786
bůh:,1,0.011628,0.0,0.0,8.821
jsem:,1,0.011628,0.0,0.0,8.821
"ti,",1,0.011628,0.0,0.0,9.027
padesáte,1,0.011628,0.0,0.0,9.157
satanovi:,1,0.011628,0.0,0.0,8.821
"tomu,",1,0.011628,0.0,0.0,8.54
david:,1,0.011628,0.0,0.0,8.821
mi:,1,0.011628,0.0,0.0,8.335
"ty,",1,0.011628,0.0,0.0,8.179
jim:,1,0.011628,0.0,0.0,8.143
kteréž,1,0.011628,0.0,0.0,8.125
"se,",2,0.023256,0.0,0.0,14.306
kde,1,0.011628,0.0,0.0,8.084
jemu,1,0.011628,0.0,0.0,7.821
přišel,1,0.011628,0.0,0.0,7.75
opět,1,0.011628,0.0,0.0,7.651
"pak,",1,0.011628,0.0,0.0,7.442
abych,1,0.011628,0.0,0.0,7.153
nyní,1,0.011628,0.0,0.0,7.108
sobě,1,0.011628,0.0,0.0,6.761
král,1,0.011628,0.0,0.0,6.285
jsou,1,0.011628,0.0,0.0,6.272
zajisté,1,0.011628,0.0,0.0,6.055
řekl:,1,0.011628,0.0,0.0,5.913
byl,2,0.023256,0.0,0.0,10.662
"aj,",1,0.011628,0.0,0.0,5.428
