word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
tesař,zedník,3,13.459,13.459,6.695,6.695
alfa,oméga,3,13.459,13.459,6.695,6.695
přední,vládař,3,13.043,13.043,6.28,6.28
sto,vládař,3,13.043,13.043,6.28,6.28
rozumnost,umění,3,13.043,13.043,6.28,6.28
alfa,jáť,3,13.043,13.043,6.28,6.28
jáť,oméga,3,13.043,13.043,6.28,6.28
přední,sto,3,12.628,12.628,5.865,5.865
makovice,vrch,3,12.628,12.628,5.865,5.865
bázeň,umění,3,12.628,12.628,5.865,5.865
dříví,kamení,5,12.459,12.459,6.432,6.432
makovice,sloup,4,12.459,12.459,6.11,6.11
sloup,vrch,4,12.459,12.459,6.11,6.11
dělník,tesař,3,12.236,12.236,5.472,5.472
dělník,zedník,3,12.236,12.236,5.472,5.472
moře,přejít,3,12.236,12.236,5.472,5.472
alfa,konec,3,12.236,12.236,5.472,5.472
konec,oméga,3,12.236,12.236,5.472,5.472
brána,tvý,3,12.043,12.043,5.28,5.28
cherubína,řemeslný,3,12.043,12.043,5.28,5.28
krumpéřský,zastření,3,12.043,12.043,5.28,5.28
druhý,jedny,5,11.874,11.874,5.847,5.847
kole,lid,3,11.874,11.874,5.11,5.11
přesukovaný,zastření,3,11.821,11.821,5.057,5.057
jáť,konec,3,11.821,11.821,5.057,5.057
sedmý,šest,3,11.722,11.722,4.958,4.958
barvený,dvakrát,10,11.722,11.722,6.695,6.695
barvený,přesukovaný,7,11.722,11.722,6.18,6.18
barvený,zastření,4,11.722,11.722,5.373,5.373
dvakrát,přesukovaný,7,11.722,11.722,6.18,6.18
dvakrát,zastření,4,11.722,11.722,5.373,5.373
hedbáví,zastření,4,11.722,11.722,5.373,5.373
přesukovaný,šarla,7,11.722,11.722,6.18,6.18
zastření,šarla,4,11.722,11.722,5.373,5.373
moudrost,umění,3,11.628,11.628,4.865,4.865
moudrost,vtipný,3,11.628,11.628,4.865,4.865
vtipný,řemeslný,3,11.628,11.628,4.865,4.865
bázeň,moudrost,3,11.628,11.628,4.865,4.865
červec,šarla,10,11.584,11.584,6.557,6.557
barvený,bílý,10,11.584,11.584,6.557,6.557
barvený,červec,10,11.584,11.584,6.557,6.557
bílý,dvakrát,10,11.584,11.584,6.557,6.557
bílý,hedbáví,10,11.584,11.584,6.557,6.557
bílý,přesukovaný,7,11.584,11.584,6.043,6.043
bílý,zastření,4,11.584,11.584,5.235,5.235
dvakrát,červec,10,11.584,11.584,6.557,6.557
přesukovaný,červec,7,11.584,11.584,6.043,6.043
zastření,červec,4,11.584,11.584,5.235,5.235
barvený,hedbáví,9,11.57,11.57,6.391,6.391
barvený,šarla,9,11.57,11.57,6.391,6.391
dvakrát,hedbáví,9,11.57,11.57,6.391,6.391
dvakrát,šarla,9,11.57,11.57,6.391,6.391
hedbáví,přesukovaný,6,11.499,11.499,5.735,5.735
slovo,slyšet,3,11.459,11.459,4.695,4.695
david,stříbro,3,11.459,11.459,4.695,4.695
david,šalomoun,3,11.459,11.459,4.695,4.695
barvený,krumpéřský,5,11.459,11.459,5.432,5.432
dvakrát,krumpéřský,5,11.459,11.459,5.432,5.432
hedbáví,krumpéřský,5,11.459,11.459,5.432,5.432
krumpéřský,šarla,5,11.459,11.459,5.432,5.432
mojžíš,přikázat,4,11.459,11.459,5.11,5.11
bílý,červec,10,11.447,11.447,6.42,6.42
bílý,šarla,9,11.432,11.432,6.253,6.253
hedbáví,červec,9,11.432,11.432,6.253,6.253
hedbáví,šarla,8,11.4,11.4,6.051,6.051
modrý,postavec,13,11.343,11.343,6.695,6.695
modrý,červec,11,11.343,11.343,6.454,6.454
modrý,šarla,10,11.343,11.343,6.316,6.316
postavec,červec,11,11.343,11.343,6.454,6.454
postavec,šarla,10,11.343,11.343,6.316,6.316
barvený,modrý,10,11.343,11.343,6.316,6.316
barvený,postavec,10,11.343,11.343,6.316,6.316
dvakrát,modrý,10,11.343,11.343,6.316,6.316
dvakrát,postavec,10,11.343,11.343,6.316,6.316
modrý,přesukovaný,7,11.343,11.343,5.802,5.802
modrý,zastření,4,11.343,11.343,4.994,4.994
postavec,přesukovaný,7,11.343,11.343,5.802,5.802
postavec,zastření,4,11.343,11.343,4.994,4.994
modrý,náramenník,3,11.343,11.343,4.579,4.579
náramenník,postavec,3,11.343,11.343,4.579,4.579
bílý,krumpéřský,5,11.321,11.321,5.294,5.294
krumpéřský,červec,5,11.321,11.321,5.294,5.294
duch,pravda,3,11.236,11.236,4.472,4.472
dřevo,kámen,3,11.236,11.236,4.472,4.472
muž,žena,5,11.236,11.236,5.209,5.209
požehnat,toba,3,11.236,11.236,4.472,4.472
toba,tvě,3,11.236,11.236,4.472,4.472
krumpéřský,přesukovaný,3,11.236,11.236,4.472,4.472
