word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
tma,voda,3,11.432,11.432,6.075,6.075
porušení,vidět,4,10.525,10.525,5.583,5.583
skrz,člověk,3,10.432,10.432,5.075,5.075
kristus,posadit,3,10.432,10.432,5.075,5.075
sstoupit,živý,3,10.373,10.373,5.016,5.016
oheň,život,3,9.888,9.888,4.53,4.53
duše,vidět,3,9.888,9.888,4.53,4.53
duše,porušení,3,9.625,9.625,4.267,4.267
ježíš,spasený,3,9.432,9.432,4.075,4.075
porušení,svatý,3,9.432,9.432,4.075,4.075
syn,žena,3,9.373,9.373,4.016,4.016
izraelský,syn,3,9.373,9.373,4.016,4.016
skonání,svět,5,9.362,9.362,4.741,4.741
den,čas,3,9.317,9.317,3.959,3.959
ježíš,kristus,4,8.847,8.847,3.905,3.905
ježíš,skrz,4,8.847,8.847,3.905,3.905
ježíš,pán,5,8.754,8.754,4.134,4.134
duch,ježíš,3,8.695,8.695,3.338,3.338
jákobův,věčnost,3,8.695,8.695,3.338,3.338
ježíš,otec,3,8.695,8.695,3.338,3.338
bůh,spasený,3,8.677,8.677,3.32,3.32
vzkříšení,činit,3,8.677,8.677,3.32,3.32
některý,vzkříšení,3,8.677,8.677,3.32,3.32
bůh,jákobův,4,8.677,8.677,3.735,3.735
manželka,vzkříšení,3,8.677,8.677,3.32,3.32
bůh,zvěstovat,3,8.677,8.677,3.32,3.32
budoucí,mrtvý,3,8.625,8.625,3.267,3.267
kterak,mrtvý,3,8.625,8.625,3.267,3.267
budoucí,vzkřísit,3,8.574,8.574,3.217,3.217
kterak,vzkřísit,3,8.574,8.574,3.217,3.217
den,skonání,6,8.509,8.509,4.152,4.152
izraelský,věčnost,3,8.373,8.373,3.016,3.016
bůh,otec,4,8.355,8.355,3.413,3.413
duše,peklo,7,8.345,8.345,4.21,4.21
peklo,sstoupit,5,8.345,8.345,3.724,3.724
mrtvý,věk,4,8.303,8.303,3.36,3.36
ježíš,vzkřísit,13,8.275,8.275,5.033,5.033
bůh,samý,3,8.262,8.262,2.905,2.905
buď,bůh,3,8.262,8.262,2.905,2.905
bůh,všickn,3,8.262,8.262,2.905,2.905
bůh,svědek,3,8.262,8.262,2.905,2.905
obživit,vzkřísit,4,8.252,8.252,3.31,3.31
mrtvý,člověk,3,8.21,8.21,2.852,2.852
buď,vzkřísit,3,8.159,8.159,2.802,2.802
jehož,vzkřísit,3,8.159,8.159,2.802,2.802
svědek,vzkřísit,3,8.159,8.159,2.802,2.802
jméno,věčnost,3,8.11,8.11,2.753,2.753
bůh,kristus,4,8.092,8.092,3.15,3.15
bůh,skrz,4,8.092,8.092,3.15,3.15
mrtvý,skrz,4,8.04,8.04,3.097,3.097
kristus,mrtvý,4,8.04,8.04,3.097,3.097
oheň,peklo,4,8.023,8.023,3.08,3.08
kristus,vzkřísit,4,7.989,7.989,3.047,3.047
hospodin,věčnost,5,7.973,7.973,3.352,3.352
bůh,věk,3,7.94,7.94,2.583,2.583
pán,vzkřísit,5,7.896,7.896,3.276,3.276
mrtvý,obživit,3,7.888,7.888,2.53,2.53
peklo,země,5,7.859,7.859,3.239,3.239
mrtvý,vzkřísit,17,7.854,7.854,4.999,4.999
bůh,ježíš,9,7.847,7.847,4.075,4.075
duch,vzkřísit,3,7.837,7.837,2.48,2.48
vzkřísit,žena,3,7.837,7.837,2.48,2.48
vzkřísit,věk,3,7.837,7.837,2.48,2.48
otec,vzkřísit,3,7.837,7.837,2.48,2.48
peklo,smrt,7,7.83,7.83,3.695,3.695
ježíš,mrtvý,9,7.795,7.795,4.022,4.022
bůh,vzkřísit,15,7.726,7.726,4.691,4.691
bůh,pán,4,7.677,7.677,2.735,2.735
skrz,vzkříšení,3,7.677,7.677,2.32,2.32
bůh,porušení,3,7.677,7.677,2.32,2.32
peklo,živý,3,7.608,7.608,2.25,2.25
peklo,vidět,3,7.608,7.608,2.25,2.25
syn,vzkřísit,5,7.574,7.574,2.954,2.954
skrz,vzkřísit,3,7.574,7.574,2.217,2.217
peklo,život,4,7.537,7.537,2.595,2.595
syn,věčnost,3,7.373,7.373,2.016,2.016
peklo,porušení,3,7.345,7.345,1.987,1.987
bůh,mrtvý,11,7.329,7.329,3.846,3.846
mít,vzkříšení,4,7.218,7.218,2.275,2.275
mrtvý,pán,3,7.21,7.21,1.852,1.852
bůh,syn,3,6.94,6.94,1.583,1.583
bůh,věčnost,6,6.94,6.94,2.583,2.583
hospodin,peklo,4,6.885,6.885,1.943,1.943
den,vzkřísit,4,6.874,6.874,1.931,1.931
mrtvý,vzkříšení,8,6.87,6.87,2.927,2.927
bůh,hospodin,3,6.803,6.803,1.445,1.445
den,vzkříšení,3,6.562,6.562,1.204,1.204
den,mrtvý,3,6.509,6.509,1.152,1.152
mít,peklo,3,6.47,6.47,1.113,1.113
ježíš,vzkříšení,3,6.262,6.262,0.905,0.905
bůh,vzkříšení,4,5.922,5.922,0.98,0.98
bůh,peklo,3,5.175,5.175,-0.183,0.0
