word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
chama,jáfeta,3,14.982,14.982,6.628,6.628
fadasurův,gamaliel,3,14.982,14.982,6.628,6.628
nádobí,příbytek,3,14.982,14.982,6.628,6.628
bezeleele,uri,3,14.567,14.567,6.213,6.213
nátan,sobab,3,14.567,14.567,6.213,6.213
sammua,sobab,3,14.567,14.567,6.213,6.213
arnon,potok,3,14.567,14.567,6.213,6.213
obilí,olej,3,14.567,14.567,6.213,6.213
chama,sema,3,14.567,14.567,6.213,6.213
jáfeta,sema,3,14.567,14.567,6.213,6.213
fáresa,támar,3,14.245,14.245,5.891,5.891
bóza,salmon,3,14.245,14.245,5.891,5.891
kázat,přistupovat,4,14.245,14.245,6.306,6.306
sedět,stolice,4,14.245,14.245,6.306,6.306
abram,agar,3,14.245,14.245,5.891,5.891
natanael,suar,3,14.245,14.245,5.891,5.891
bóz,obéda,3,14.152,14.152,5.798,5.798
nátan,sammua,3,14.152,14.152,5.798,5.798
hejtman,setník,3,14.152,14.152,5.798,5.798
vražedlník,útočišťný,3,14.152,14.152,5.798,5.798
bezeleele,hur,3,13.982,13.982,5.628,5.628
hur,uri,4,13.982,13.982,6.043,6.043
mužský,pohlaví,6,13.982,13.982,6.628,6.628
chama,noé,3,13.982,13.982,5.628,5.628
jáfeta,noé,3,13.982,13.982,5.628,5.628
sedmý,šestý,4,13.923,13.923,5.984,5.984
arfaxad,sál,3,13.83,13.83,5.476,5.476
hebera,sál,3,13.83,13.83,5.476,5.476
merari,zabulonův,3,13.83,13.83,5.476,5.476
dědičně,obdržet,3,13.83,13.83,5.476,5.476
podlýt,ptactvo,3,13.83,13.83,5.476,5.476
agar,izmael,3,13.83,13.83,5.476,5.476
bathuel,melcha,3,13.83,13.83,5.476,5.476
brav,skot,7,13.76,13.76,6.628,6.628
olej,víno,3,13.76,13.76,5.405,5.405
bylina,síma,3,13.567,13.567,5.213,5.213
noé,sema,3,13.567,13.567,5.213,5.213
náchor,táre,3,13.567,13.567,5.213,5.213
pátý,sedmý,4,13.438,13.438,5.498,5.498
pátý,šestý,4,13.438,13.438,5.498,5.498
strana,východní,3,13.397,13.397,5.043,5.043
cis,ner,3,13.397,13.397,5.043,5.043
cis,saule,4,13.397,13.397,5.458,5.458
bozor,poušť,3,13.345,13.345,4.99,4.99
přísaha,zaslíbit,3,13.345,13.345,4.99,4.99
obilí,víno,3,13.345,13.345,4.99,4.99
pít,víno,3,13.345,13.345,4.99,4.99
buď,mrtvý,3,13.345,13.345,4.99,4.99
aminadab,názon,3,13.245,13.245,4.891,4.891
názon,salmon,3,13.245,13.245,4.891,4.891
melcha,náchor,4,13.245,13.245,5.306,5.306
jíst,pít,4,13.245,13.245,5.306,5.306
milosrdenství,pravost,4,13.175,13.175,5.235,5.235
sečtený,vojšta,8,13.108,13.108,6.168,6.168
jericho,poušť,3,13.023,13.023,4.668,4.668
rovina,východ,3,13.023,13.023,4.668,4.668
poušť,rovina,3,13.023,13.023,4.668,4.668
smlouva,truhlo,3,12.982,12.982,4.628,4.628
sobab,šalomoun,3,12.982,12.982,4.628,4.628
bázan,golany,4,12.982,12.982,5.043,5.043
eleazar,itamar,3,12.982,12.982,4.628,4.628
izachar,suar,3,12.867,12.867,4.512,4.512
poznat,skutek,3,12.83,12.83,4.476,4.476
oběť,zápal,3,12.83,12.83,4.476,4.476
tvý,tvýcha,3,12.83,12.83,4.476,4.476
arnon,hora,3,12.76,12.76,4.405,4.405
království,oga,3,12.76,12.76,4.405,4.405
dvadcítiletý,načtený,11,12.741,12.741,6.261,6.261
položit,vojšta,5,12.719,12.719,5.102,5.102
jericho,strana,3,12.66,12.66,4.306,4.306
mající,veliký,3,12.66,12.66,4.306,4.306
moc,sláva,3,12.66,12.66,4.306,4.306
eliazaf,gád,3,12.66,12.66,4.306,4.306
načtený,rodina,12,12.66,12.66,6.306,6.306
oltář,vzdělat,5,12.604,12.604,4.986,4.986
skutečně,vyvolit,3,12.567,12.567,4.213,4.213
vyvolit,všecky,3,12.567,12.567,4.213,4.213
nátan,šalomoun,3,12.567,12.567,4.213,4.213
sammua,šalomoun,3,12.567,12.567,4.213,4.213
eleazar,fínesa,3,12.567,12.567,4.213,4.213
bázan,gersonův,3,12.567,12.567,4.213,4.213
dvadcítiletý,výše,13,12.567,12.567,6.328,6.328
všeliký,zeměplaz,3,12.567,12.567,4.213,4.213
jordán,západ,3,12.567,12.567,4.213,4.213
nun,vládařství,3,12.567,12.567,4.213,4.213
načtený,výše,12,12.567,12.567,6.213,6.213
věk,věrný,3,12.567,12.567,4.213,4.213
sedmý,čtvrtý,4,12.545,12.545,4.605,4.605
čtvrtý,šestý,4,12.545,12.545,4.605,4.605
izachar,natanael,4,12.545,12.545,4.605,4.605
dvadcítiletý,rodina,12,12.545,12.545,6.19,6.19
jozue,nun,5,12.497,12.497,4.879,4.879
arnon,galád,3,12.48,12.48,4.125,4.125
dome,načtený,12,12.48,12.48,6.125,6.125
jíst,víno,4,12.438,12.438,4.498,4.498
otvírat,život,3,12.397,12.397,4.043,4.043
aholiab,dan,3,12.397,12.397,4.043,4.043
eleazar,nun,4,12.397,12.397,4.458,4.458
pátý,čtvrtý,5,12.381,12.381,4.764,4.764
dome,dvadcítiletý,12,12.364,12.364,6.01,6.01
rodina,výše,13,12.361,12.361,6.122,6.122
hora,potok,3,12.345,12.345,3.99,3.99
brav,tvý,3,12.345,12.345,3.99,3.99
skot,tvý,3,12.345,12.345,3.99,3.99
mužský,výše,5,12.304,12.304,4.687,4.687
pohlaví,výše,5,12.304,12.304,4.687,4.687
padesát,vojšta,5,12.304,12.304,4.687,4.687
pravost,čtvrtý,4,12.282,12.282,4.342,4.342
položit,sečtený,5,12.26,12.26,4.642,4.642
jericho,jordán,4,12.245,12.245,4.306,4.306
devět,padesát,3,12.245,12.245,3.891,3.891
jordán,rovina,4,12.245,12.245,4.306,4.306
bázan,rovina,3,12.245,12.245,3.891,3.891
ptactvo,všeliký,4,12.245,12.245,4.306,4.306
poškvrňovat,člověk,5,12.245,12.245,4.628,4.628
přebývat,tam,4,12.227,12.227,4.288,4.288
jákoba,líe,5,12.217,12.217,4.599,4.599
dome,výše,13,12.18,12.18,5.941,5.941
jeruzalém,sobab,3,12.175,12.175,3.82,3.82
předměstí,útočišťný,4,12.175,12.175,4.235,4.235
poušť,strana,3,12.175,12.175,3.82,3.82
přísaha,smlouva,3,12.175,12.175,3.82,3.82
pocházet,poškvrňovat,5,12.175,12.175,4.557,4.557
sedmý,třetí,4,12.158,12.158,4.218,4.218
třetí,šestý,4,12.158,12.158,4.218,4.218
galád,rámot,4,12.158,12.158,4.218,4.218
galád,rovina,4,12.158,12.158,4.218,4.218
dome,rodina,12,12.158,12.158,5.803,5.803
podlýt,všeliký,3,12.152,12.152,3.798,3.798
jordán,přejít,3,12.152,12.152,3.798,3.798
jazyk,národ,5,12.134,12.134,4.517,4.517
pravost,silný,3,12.108,12.108,3.753,3.753
efraimův,jozefův,5,12.108,12.108,4.49,4.49
padesát,sečtený,6,12.108,12.108,4.753,4.753
třetí,čtvrtý,10,12.101,12.101,5.484,5.484
jordán,východ,5,12.082,12.082,4.464,4.464
galád,machir,3,12.065,12.065,3.71,3.71
galád,krajina,3,12.065,12.065,3.71,3.71
galád,potok,3,12.065,12.065,3.71,3.71
děvka,jákoba,3,12.065,12.065,3.71,3.71
abraham,izák,8,12.059,12.059,5.12,5.12
milosrdenství,čtvrtý,4,12.059,12.059,4.12,4.12
david,skutečně,3,12.044,12.044,3.689,3.689
načtený,počet,12,12.044,12.044,5.689,5.689
gádův,rubenův,9,12.03,12.03,5.26,5.26
hora,rovina,3,12.023,12.023,3.668,3.668
dvanáct,znamenaný,4,11.997,11.997,4.058,4.058
pátý,třetí,5,11.994,11.994,4.377,4.377
přebývat,vyvolit,6,11.982,11.982,4.628,4.628
tam,vyvolit,6,11.982,11.982,4.628,4.628
nun,přední,4,11.982,11.982,4.043,4.043
gáda,ruben,5,11.923,11.923,4.306,4.306
bozor,rubenův,3,11.904,11.904,3.55,3.55
pravost,třetí,4,11.895,11.895,3.955,3.955
ježíš,kristus,5,11.889,11.889,4.272,4.272
cesta,chodit,3,11.885,11.885,3.531,3.531
milosrdenství,silný,3,11.885,11.885,3.531,3.531
aron,levít,3,11.885,11.885,3.531,3.531
jochanan,čtvrtý,3,11.867,11.867,3.512,3.512
dvadcítiletý,mužský,3,11.867,11.867,3.512,3.512
dvadcítiletý,pohlaví,3,11.867,11.867,3.512,3.512
boj,načtený,10,11.845,11.845,5.227,5.227
los,padnout,5,11.834,11.834,4.216,4.216
shromáždit,starý,3,11.812,11.812,3.458,3.458
smlouva,starý,3,11.812,11.812,3.458,3.458
hovad,lidé,4,11.812,11.812,3.873,3.873
dvadcítiletý,počet,11,11.803,11.803,5.323,5.323
nun,skrz,3,11.76,11.76,3.405,3.405
jeruzalém,nátan,3,11.76,11.76,3.405,3.405
jeruzalém,sammua,3,11.76,11.76,3.405,3.405
sobab,zrodit,3,11.76,11.76,3.405,3.405
komorník,král,3,11.76,11.76,3.405,3.405
král,seon,3,11.76,11.76,3.405,3.405
egyptský,pobít,4,11.76,11.76,3.82,3.82
amorejský,král,3,11.76,11.76,3.405,3.405
jozue,vládařství,4,11.76,11.76,3.82,3.82
podměstit,předměstí,3,11.76,11.76,3.405,3.405
předměstí,vražedlník,3,11.76,11.76,3.405,3.405
hora,sion,3,11.76,11.76,3.405,3.405
počet,výše,13,11.744,11.744,5.505,5.505
služebník,toliko,3,11.743,11.743,3.388,3.388
jákoba,ráchel,3,11.743,11.743,3.388,3.388
jákoba,lában,3,11.743,11.743,3.388,3.388
dvanáct,kámen,4,11.734,11.734,3.795,3.795
počet,rodina,12,11.722,11.722,5.367,5.367
moci,načtený,10,11.719,11.719,5.102,5.102
načtený,padesát,5,11.719,11.719,4.102,4.102
izák,smlouva,4,11.697,11.697,3.757,3.757
ostříhat,silný,3,11.693,11.693,3.338,3.338
kahat,levít,3,11.693,11.693,3.338,3.338
milosrdenství,třetí,4,11.672,11.672,3.733,3.733
otcovský,shromáždit,3,11.66,11.66,3.306,3.306
mužský,rodina,3,11.66,11.66,3.306,3.306
pohlaví,rodina,3,11.66,11.66,3.306,3.306
léta,stup,5,11.66,11.66,4.043,4.043
devadesát,léta,3,11.66,11.66,3.306,3.306
léta,živ,3,11.66,11.66,3.306,3.306
padesát,čtyři,6,11.66,11.66,4.306,4.306
vojšta,čtyři,4,11.66,11.66,3.721,3.721
izák,přísaha,3,11.644,11.644,3.29,3.29
pobít,všecek,6,11.629,11.629,4.274,4.274
pět,čtyřidcet,6,11.605,11.605,4.251,4.251
dvadcítiletý,padesát,5,11.604,11.604,3.986,3.986
asser,neftalí,4,11.59,11.59,3.65,3.65
rovina,rubenův,3,11.582,11.582,3.228,3.228
boj,dvadcítiletý,9,11.577,11.577,4.808,4.808
uvést,zlý,3,11.567,11.567,3.213,3.213
jordán,pomezí,3,11.567,11.567,3.213,3.213
amen,ježíš,3,11.567,11.567,3.213,3.213
eleazar,vládařství,3,11.567,11.567,3.213,3.213
jazyk,všeliký,3,11.567,11.567,3.213,3.213
druhý,sedmý,4,11.545,11.545,3.605,3.605
druhý,šestý,4,11.545,11.545,3.605,3.605
dome,počet,12,11.541,11.541,5.187,5.187
abraham,přísaha,3,11.537,11.537,3.183,3.183
manasses,neftalí,3,11.523,11.523,3.168,3.168
jozef,manasses,3,11.523,11.523,3.168,3.168
boj,rodina,10,11.523,11.523,4.905,4.905
načtený,čtyřidcet,4,11.523,11.523,3.583,3.583
jíst,oběť,3,11.508,11.508,3.154,3.154
přejít,ruben,3,11.508,11.508,3.154,3.154
jít,načtený,9,11.508,11.508,4.739,4.739
jochanan,třetí,3,11.48,11.48,3.125,3.125
izák,sára,3,11.452,11.452,3.097,3.097
dvadcítiletý,moci,9,11.452,11.452,4.682,4.682
jeruzalém,roboa,3,11.438,11.438,3.083,3.083
izraelův,ruben,5,11.438,11.438,3.82,3.82
ostatní,předměstí,3,11.438,11.438,3.083,3.083
předměstí,rámot,3,11.438,11.438,3.083,3.083
přísaha,slovo,3,11.438,11.438,3.083,3.083
boj,výše,10,11.43,11.43,4.812,4.812
dvadcítiletý,čtyřidcet,4,11.407,11.407,3.468,3.468
jeruzalém,šalomoun,7,11.397,11.397,4.265,4.265
přední,shromáždit,4,11.397,11.397,3.458,3.458
polovice,rubenský,3,11.397,11.397,3.043,3.043
vydat,zákon,3,11.397,11.397,3.043,3.043
věk,zákon,3,11.397,11.397,3.043,3.043
arnon,polovice,3,11.397,11.397,3.043,3.043
oga,polovice,3,11.397,11.397,3.043,3.043
polovice,seon,3,11.397,11.397,3.043,3.043
gáda,polovice,5,11.397,11.397,3.78,3.78
devater,polovice,3,11.397,11.397,3.043,3.043
kněz,nun,4,11.397,11.397,3.458,3.458
moci,rodina,10,11.397,11.397,4.78,4.78
padesát,rodina,5,11.397,11.397,3.78,3.78
načtený,čtyři,5,11.397,11.397,3.78,3.78
druhý,pátý,5,11.381,11.381,3.764,3.764
vedlo,všecka,3,11.358,11.358,3.003,3.003
nátan,zrodit,3,11.345,11.345,2.99,2.99
sammua,zrodit,3,11.345,11.345,2.99,2.99
jordán,poušť,3,11.345,11.345,2.99,2.99
abraham,sára,3,11.345,11.345,2.99,2.99
jordán,prostřed,3,11.345,11.345,2.99,2.99
galád,gádův,5,11.342,11.342,3.725,3.725
boj,dome,10,11.342,11.342,4.725,4.725
dům,skutečně,3,11.319,11.319,2.965,2.965
den,všecky,3,11.319,11.319,2.965,2.965
moci,výše,10,11.304,11.304,4.687,4.687
padesát,výše,5,11.304,11.304,3.687,3.687
přikázat,přísaha,3,11.257,11.257,2.903,2.903
galád,východ,3,11.257,11.257,2.903,2.903
oko,zlý,4,11.245,11.245,3.306,3.306
david,hebron,4,11.236,11.236,3.297,3.297
dvadcítiletý,jít,8,11.223,11.223,4.283,4.283
bázan,galád,5,11.217,11.217,3.599,3.599
dome,moci,10,11.217,11.217,4.599,4.599
načtený,pět,5,11.217,11.217,3.599,3.599
dome,padesát,5,11.217,11.217,3.599,3.599
lid,vojšta,8,11.21,11.21,4.27,4.27
eleazar,kněz,7,11.205,11.205,4.072,4.072
rodina,čtyřidcet,4,11.201,11.201,3.261,3.261
sečtený,čtyři,4,11.201,11.201,3.261,3.261
jít,rodina,9,11.186,11.186,4.417,4.417
moc,pán,3,11.175,11.175,2.82,2.82
padesát,sto,12,11.175,11.175,4.82,4.82
abraham,smlouva,3,11.175,11.175,2.82,2.82
beniamin,cis,3,11.175,11.175,2.82,2.82
egyptský,hovad,3,11.175,11.175,2.82,2.82
juda,pomezí,3,11.175,11.175,2.82,2.82
pocházet,ústa,4,11.175,11.175,3.235,3.235
eleazar,jozue,4,11.175,11.175,3.235,3.235
načtený,sto,12,11.175,11.175,4.82,4.82
sto,vojšta,8,11.175,11.175,4.235,4.235
levíta,vzít,4,11.175,11.175,3.235,3.235
přední,vládařství,3,11.152,11.152,2.798,2.798
druhý,natanael,3,11.13,11.13,2.775,2.775
obětovat,oběť,3,11.13,11.13,2.775,2.775
kámen,vedlý,4,11.124,11.124,3.185,3.185
gádův,polovice,9,11.108,11.108,4.338,4.338
efraim,manasses,3,11.108,11.108,2.753,2.753
toba,tvý,4,11.108,11.108,3.168,3.168
každý,zeměplaza,3,11.108,11.108,2.753,2.753
gáda,manassesův,5,11.108,11.108,3.49,3.49
výše,čtyřidcet,4,11.108,11.108,3.168,3.168
dvadcítiletý,pět,5,11.101,11.101,3.484,3.484
rubenův,východ,3,11.097,11.097,2.742,2.742
jít,výše,9,11.093,11.093,4.324,4.324
jordán,jozue,5,11.082,11.082,3.464,3.464
jozue,přední,5,11.082,11.082,3.464,3.464
slovo,smlouva,3,11.075,11.075,2.721,2.721
kníže,úředník,3,11.075,11.075,2.721,2.721
obdržet,polovice,4,11.075,11.075,3.136,3.136
léta,šedesát,4,11.075,11.075,3.136,3.136
způsobit,řko,3,11.075,11.075,2.721,2.721
rodina,čtyři,5,11.075,11.075,3.458,3.458
ostříhat,přikázat,3,11.065,11.065,2.71,2.71
sára,čas,3,11.065,11.065,2.71,2.71
pět,vojšta,3,11.065,11.065,2.71,2.71
dvadcítiletý,sto,12,11.059,11.059,4.705,4.705
daný,los,5,11.056,11.056,3.439,3.439
kámen,počet,3,11.044,11.044,2.689,2.689
mužský,počet,3,11.044,11.044,2.689,2.689
pohlaví,počet,3,11.044,11.044,2.689,2.689
sečtený,sto,10,11.037,11.037,4.42,4.42
dva,šedesský,3,11.023,11.023,2.668,2.668
hovada,člověk,3,11.023,11.023,2.668,2.668
bratr,melcha,3,11.023,11.023,2.668,2.668
dome,čtyřidcet,4,11.02,11.02,3.081,3.081
gád,ruben,8,11.016,11.016,4.077,4.077
dědictví,pozůstalý,3,11.013,11.013,2.658,2.658
dědictví,ves,3,11.013,11.013,2.658,2.658
dome,jít,9,11.006,11.006,4.236,4.236
jeruzalém,shromáždit,4,11.005,11.005,3.065,3.065
dům,semaiáš,4,10.997,10.997,3.058,3.058
jozue,přikázat,5,10.994,10.994,3.377,3.377
silný,čtvrtý,3,10.992,10.992,2.638,2.638
čtyřidcet,šest,3,10.992,10.992,2.638,2.638
přední,starý,3,10.982,10.982,2.628,2.628
jeruzalém,vyvolit,7,10.982,10.982,3.85,3.85
bázan,manassesův,11,10.982,10.982,4.502,4.502
deset,polovice,3,10.982,10.982,2.628,2.628
jordán,strana,3,10.982,10.982,2.628,2.628
sto,výše,14,10.982,10.982,4.85,4.85
dědičně,polovice,3,10.982,10.982,2.628,2.628
krajina,polovice,3,10.982,10.982,2.628,2.628
polovice,potok,3,10.982,10.982,2.628,2.628
kněz,levítský,3,10.982,10.982,2.628,2.628
eleazar,přední,4,10.982,10.982,3.043,3.043
neftalímův,tři,3,10.982,10.982,2.628,2.628
výše,čtyři,5,10.982,10.982,3.365,3.365
vedlý,šedesský,3,10.972,10.972,2.618,2.618
dvadcítiletý,čtyři,4,10.96,10.96,3.02,3.02
hebron,zrodit,4,10.953,10.953,3.013,3.013
devater,mojžíš,3,10.953,10.953,2.598,2.598
