word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
ptactvo,živočich,3,15.397,15.397,6.651,6.651
ferezejský,gergezejský,3,15.397,15.397,6.651,6.651
ferezejský,hetejský,3,15.397,15.397,6.651,6.651
gergezejský,hetejský,3,15.397,15.397,6.651,6.651
jitro,večer,3,14.982,14.982,6.236,6.236
amorejský,ferezejský,3,14.982,14.982,6.236,6.236
amorejský,gergezejský,3,14.982,14.982,6.236,6.236
amorejský,hetejský,3,14.982,14.982,6.236,6.236
perský,proměnitelný,3,14.66,14.66,5.914,5.914
mléko,oplývající,3,14.66,14.66,5.914,5.914
příbuznost,užitý,3,14.66,14.66,5.914,5.914
izák,jákob,3,14.567,14.567,5.821,5.821
médský,perský,5,14.397,14.397,6.388,6.388
médský,proměnitelný,3,14.397,14.397,5.651,5.651
smilovat,zajatý,3,14.245,14.245,5.499,5.499
správce,úředník,3,14.245,14.245,5.499,5.499
držení,dědičný,3,14.174,14.174,5.428,5.428
evangelium,užívat,3,13.982,13.982,5.236,5.236
duha,oblak,3,13.982,13.982,5.236,5.236
farize,zákonník,4,13.852,13.852,5.522,5.522
držení,učit,3,13.812,13.812,5.066,5.066
podrobovat,služba,3,13.812,13.812,5.066,5.066
meč,ostrý,3,13.812,13.812,5.066,5.066
správce,vůdce,3,13.759,13.759,5.013,5.013
poušť,ukydaný,3,13.759,13.759,5.013,5.013
asver,královský,3,13.66,13.66,4.914,4.914
stříbro,zlato,9,13.508,13.508,6.347,6.347
vést,šťastně,4,13.49,13.49,5.159,5.159
vůdce,úředník,3,13.437,13.437,4.691,4.691
dsk,kamenný,3,13.437,13.437,4.691,4.691
dluh,odpustit,3,13.437,13.437,4.691,4.691
přivstávat,ráno,8,13.397,13.397,6.066,6.066
ostříhejtit,čidit,3,13.281,13.281,4.535,4.535
abraham,izák,3,13.245,13.245,4.499,4.499
abraham,jákob,3,13.245,13.245,4.499,4.499
abrahamův,zaslíbení,3,13.245,13.245,4.499,4.499
posílat,přivstávat,4,13.174,13.174,4.843,4.843
poškvrnit,sobota,3,13.107,13.107,4.361,4.361
ostříhající,silný,3,12.982,12.982,4.236,4.236
přivstávat,ustavičně,6,12.982,12.982,5.236,5.236
pohostina,příchozí,5,12.964,12.964,4.955,4.955
jeremiáš,řkoucí,3,12.952,12.952,4.206,4.206
noc,čtyřidcet,3,12.866,12.866,4.12,4.12
pronárod,příbytek,4,12.852,12.852,4.522,4.522
kananejský,pohostina,3,12.812,12.812,4.066,4.066
dědičně,obdržet,5,12.796,12.796,4.787,4.787
dědičně,vládnout,7,12.767,12.767,5.243,5.243
jeruzalémský,obyvatel,6,12.759,12.759,5.013,5.013
jeremiáš,jeruzalémský,3,12.759,12.759,4.013,4.013
oblak,řkoucí,3,12.759,12.759,4.013,4.013
hora,vrch,3,12.734,12.734,3.988,3.988
hora,sinai,5,12.734,12.734,4.725,4.725
poklad,poslat,3,12.66,12.66,3.914,3.914
stánek,úmluva,11,12.66,12.66,5.788,5.788
jednostejný,příchozí,4,12.642,12.642,4.311,4.311
ráno,ustavičně,7,12.619,12.619,5.096,5.096
dědičný,učit,3,12.589,12.589,3.843,3.843
posílat,ráno,4,12.589,12.589,4.258,4.258
přísaha,zavázat,3,12.567,12.567,3.821,3.821
jeruzalémský,mluvívat,3,12.567,12.567,3.821,3.821
křivý,zabít,3,12.567,12.567,3.821,3.821
hrazený,město,3,12.522,12.522,3.776,3.776
cizí,sloužíc,3,12.522,12.522,3.776,3.776
kámží,obrátit,3,12.458,12.458,3.712,3.712
milovat,ostříhající,4,12.458,12.458,4.127,4.127
kole,kámží,3,12.397,12.397,3.651,3.651
správce,starý,3,12.397,12.397,3.651,3.651
hrozný,veliký,3,12.397,12.397,3.651,3.651
chléb,voda,3,12.397,12.397,3.651,3.651
sedmkrát,více,3,12.338,12.338,3.592,3.592
cizí,klanět,7,12.33,12.33,4.806,4.806
tabule,tam,3,12.319,12.319,3.573,3.573
abosi,přikazovat,3,12.319,12.319,3.573,3.573
pohrdnout,poušť,3,12.3,12.3,3.554,3.554
milý,řkoucí,3,12.3,12.3,3.554,3.554
dveře,úmluva,3,12.3,12.3,3.554,3.554
kniha,poslední,3,12.281,12.281,3.535,3.535
dsk,dva,4,12.267,12.267,3.937,3.937
jeruzalémský,judský,5,12.216,12.216,4.207,4.207
jít,vyhnat,3,12.174,12.174,3.428,3.428
přísaha,zaslíbit,4,12.174,12.174,3.843,3.843
posílat,ustavičně,3,12.174,12.174,3.428,3.428
nepřítel,protivník,3,12.157,12.157,3.411,3.411
jeruzalém,sion,3,12.157,12.157,3.411,3.411
cizí,ctít,3,12.107,12.107,3.361,3.361
aron,úmluva,3,12.107,12.107,3.361,3.361
milý,oblak,3,12.107,12.107,3.361,3.361
naklonit,ucho,4,12.087,12.087,3.756,3.756
sion,vyjít,3,12.075,12.075,3.329,3.329
kdež,přicházet,3,12.075,12.075,3.329,3.329
egyptský,vyvést,10,12.046,12.046,5.037,5.037
lidé,šlechetný,3,12.028,12.028,3.282,3.282
kámen,slyšet,3,12.028,12.028,3.282,3.282
dsk,hora,3,11.997,11.997,3.251,3.251
daný,milost,3,11.982,11.982,3.236,3.236
ježíš,zjevení,3,11.982,11.982,3.236,3.236
david,kámží,3,11.982,11.982,3.236,3.236
krajina,postavit,3,11.982,11.982,3.236,3.236
bratr,švagrovství,3,11.982,11.982,3.236,3.236
jeremiáš,obyvatel,3,11.952,11.952,3.206,3.206
hřích,sedmkrát,3,11.937,11.937,3.191,3.191
abosi,dnes,3,11.923,11.923,3.177,3.177
truhlo,vložit,3,11.923,11.923,3.177,3.177
bývat,ospravedlněný,3,11.894,11.894,3.148,3.148
bližní,křivý,3,11.866,11.866,3.12,3.12
kniha,číst,3,11.866,11.866,3.12,3.12
dva,truhlý,3,11.852,11.852,3.106,3.106
dva,oba,3,11.852,11.852,3.106,3.106
dveře,stánek,4,11.852,11.852,3.522,3.522
kterak,žid,3,11.812,11.812,3.066,3.066
dnes,přikazovat,13,11.79,11.79,5.16,5.16
rod,stolice,3,11.785,11.785,3.039,3.039
chodíc,tvář,3,11.785,11.785,3.039,3.039
dva,kamenný,4,11.782,11.782,3.451,3.451
hrdlo,jeden,3,11.772,11.772,3.026,3.026
dnový,jít,3,11.759,11.759,3.013,3.013
mluvívat,obyvatel,3,11.759,11.759,3.013,3.013
slitovnice,truhlo,4,11.753,11.753,3.422,3.422
opona,truhlo,4,11.753,11.753,3.422,3.422
klanět,sloužit,5,11.719,11.719,3.71,3.71
jeremiáš,judský,3,11.672,11.672,2.926,2.926
bratr,vzbudit,4,11.66,11.66,3.329,3.329
aron,stánek,4,11.66,11.66,3.329,3.329
ospravedlněný,víra,3,11.66,11.66,2.914,2.914
víra,zaslíbení,5,11.66,11.66,3.651,3.651
přivést,zase,3,11.648,11.648,2.902,2.902
hovada,lidé,3,11.612,11.612,2.867,2.867
nalézat,vina,3,11.612,11.612,2.867,2.867
kniha,zapsaný,5,11.603,11.603,3.594,3.594
pohnout,více,3,11.601,11.601,2.855,2.855
sláva,svatý,3,11.601,11.601,2.855,2.855
dnes,předkládat,3,11.601,11.601,2.855,2.855
vědět,zdaliž,3,11.589,11.589,2.843,2.843
prorok,prorokovat,4,11.589,11.589,3.258,3.258
farize,starý,3,11.589,11.589,2.843,2.843
ostříhaj,přikazovat,4,11.564,11.564,3.233,3.233
přestoupit,zhřešit,5,11.549,11.549,3.54,3.54
tvář,zahladit,3,11.522,11.522,2.776,2.776
milý,tvoj,3,11.522,11.522,2.776,2.776
brána,město,3,11.522,11.522,2.776,2.776
panovník,pohrdnout,3,11.522,11.522,2.776,2.776
pohrdnout,přísaha,4,11.522,11.522,3.191,3.191
hora,kamenný,3,11.511,11.511,2.765,2.765
pohostina,prostřed,3,11.49,11.49,2.744,2.744
prostřed,příchozí,3,11.49,11.49,2.744,2.744
rozumný,řeč,3,11.458,11.458,2.712,2.712
kámží,zachovávat,3,11.397,11.397,2.651,2.651
egypt,vyjít,3,11.397,11.397,2.651,2.651
malý,veliký,3,11.397,11.397,2.651,2.651
odvrátit,pravost,3,11.397,11.397,2.651,2.651
panovník,přísaha,4,11.397,11.397,3.066,3.066
myšlení,zlý,3,11.387,11.387,2.641,2.641
jordán,jít,4,11.367,11.367,3.036,3.036
pohrdnout,zrušit,4,11.352,11.352,3.021,3.021
poslat,stříbro,3,11.338,11.338,2.592,2.592
poslat,zlato,3,11.338,11.338,2.592,2.592
boží,zjevení,3,11.309,11.309,2.563,2.563
