word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
jonášův,šimone,3,14.486,14.486,5.787,5.787
stromový,studnice,3,14.071,14.071,5.372,5.372
lítostivý,milostivý,3,14.071,14.071,5.372,5.372
uvržený,vyťat,3,14.071,14.071,5.372,5.372
pole,stromový,3,13.264,13.264,4.564,4.564
hříšný,pokání,3,13.071,13.071,4.372,4.372
mistře,otázat,3,13.071,13.071,4.372,4.372
dědičně,obdržet,4,12.942,12.942,4.657,4.657
oheň,uvržený,3,12.901,12.901,4.202,4.202
pole,studnice,3,12.849,12.849,4.149,4.149
rozchvátání,vydat,3,12.749,12.749,4.05,4.05
nést,uvržený,3,12.749,12.749,4.05,4.05
odejmout,prostředek,4,12.679,12.679,4.394,4.394
strom,uvržený,3,12.611,12.611,3.912,3.912
falešný,svědek,4,12.611,12.611,4.327,4.327
odpus,prosit,3,12.527,12.527,3.827,3.827
oheň,vyťat,3,12.486,12.486,3.787,3.787
hříšný,volat,3,12.486,12.486,3.787,3.787
nést,vyťat,3,12.334,12.334,3.635,3.635
oblak,vysoký,3,12.334,12.334,3.635,3.635
přivést,vinný,3,12.264,12.264,3.564,3.564
ovoce,uvržený,3,12.264,12.264,3.564,3.564
strom,vyťat,3,12.196,12.196,3.497,3.497
světlo,tma,4,12.164,12.164,3.88,3.88
nebe,oblak,3,12.164,12.164,3.465,3.465
skrýt,tvář,3,12.071,12.071,3.372,3.372
město,stromový,3,11.901,11.901,3.202,3.202
osoba,přijímat,4,11.901,11.901,3.617,3.617
pokání,volat,3,11.901,11.901,3.202,3.202
nést,strom,6,11.875,11.875,4.175,4.175
obětovat,volka,3,11.875,11.875,3.175,3.175
ovoce,vyťat,3,11.849,11.849,3.149,3.149
oběť,poblouzení,3,11.823,11.823,3.124,3.124
ovoce,strom,8,11.804,11.804,4.52,4.52
druhý,jedny,9,11.749,11.749,4.635,4.635
duch,saule,3,11.749,11.749,3.05,3.05
nést,ovoce,7,11.749,11.749,4.272,4.272
izrael,jeroboámův,3,11.656,11.656,2.957,2.957
hněv,prchlivost,3,11.656,11.656,2.957,2.957
dobře,služebníč,3,11.656,11.656,2.957,2.957
petr,učedlník,3,11.611,11.611,2.912,2.912
hrazený,město,3,11.486,11.486,2.787,2.787
kamení,město,3,11.486,11.486,2.787,2.787
město,studnice,3,11.486,11.486,2.787,2.787
nebe,vysoký,3,11.486,11.486,2.787,2.787
voda,výborný,3,11.37,11.37,2.671,2.671
izrael,všeckený,3,11.334,11.334,2.635,2.635
jiný,padnout,3,11.246,11.246,2.547,2.547
trvat,věk,3,11.196,11.196,2.497,2.497
obětovat,oběť,7,11.171,11.171,3.694,3.694
izraelský,jákobův,3,11.164,11.164,2.465,2.465
pravý,vynášet,3,11.164,11.164,2.465,2.465
vynášet,řeč,3,11.164,11.164,2.465,2.465
nést,oheň,3,11.164,11.164,2.465,2.465
pole,voda,3,11.148,11.148,2.449,2.449
oběť,volka,3,11.086,11.086,2.387,2.387
achabův,oko,3,11.027,11.027,2.327,2.327
oheň,strom,3,11.027,11.027,2.327,2.327
pán,služebníč,3,11.012,11.012,2.313,2.313
bývat,uvržený,3,10.983,10.983,2.284,2.284
jiný,užitek,4,10.983,10.983,2.699,2.699
ježíš,petr,8,10.857,10.857,3.572,3.572
mistře,věčný,3,10.849,10.849,2.149,2.149
chléb,voda,3,10.786,10.786,2.086,2.086
bezbožnost,odvrátit,3,10.786,10.786,2.086,2.086
věčný,život,10,10.778,10.778,3.816,3.816
učid,vidět,3,10.749,10.749,2.05,2.05
boží,lidský,3,10.749,10.749,2.05,2.05
učiňit,vidět,3,10.749,10.749,2.05,2.05
zdaž,člověk,3,10.749,10.749,2.05,2.05
buď,mysl,3,10.737,10.737,2.038,2.038
ježíš,učedlník,4,10.731,10.731,2.447,2.447
město,pole,3,10.679,10.679,1.979,1.979
oheň,ovoce,3,10.679,10.679,1.979,1.979
chodit,stezka,3,10.656,10.656,1.957,1.957
anděl,sláva,3,10.633,10.633,1.934,1.934
oko,ucho,3,10.611,10.611,1.912,1.912
oko,patřit,3,10.611,10.611,1.912,1.912
lež,prorokovat,3,10.568,10.568,1.869,1.869
bývat,vyťat,3,10.568,10.568,1.869,1.869
falešný,lež,3,10.568,10.568,1.869,1.869
hříšný,přijít,3,10.527,10.527,1.827,1.827
město,odpustit,3,10.486,10.486,1.787,1.787
oslavovat,věk,4,10.442,10.442,2.157,2.157
tělo,žádost,3,10.427,10.427,1.728,1.728
pravý,rada,3,10.427,10.427,1.728,1.728
boží,učit,3,10.427,10.427,1.728,1.728
izraelský,svatý,5,10.398,10.398,2.436,2.436
výborný,všecka,3,10.37,10.37,1.671,1.671
odvrátit,umřít,4,10.37,10.37,2.086,2.086
milosrdenství,oslavovat,6,10.316,10.316,2.617,2.617
den,měsíc,3,10.316,10.316,1.617,1.617
pravost,shlazený,3,10.29,10.29,1.59,1.59
pravost,zpomenout,3,10.29,10.29,1.59,1.59
nic,čekat,3,10.264,10.264,1.564,1.564
jediný,žádný,3,10.264,10.264,1.564,1.564
láska,svatý,3,10.246,10.246,1.547,1.547
noha,pokoj,3,10.164,10.164,1.465,1.465
hodný,skutek,3,10.164,10.164,1.465,1.465
napomínat,skutek,3,10.164,10.164,1.465,1.465
milosrdenství,oblak,3,10.164,10.164,1.465,1.465
pole,všecka,3,10.148,10.148,1.449,1.449
oběť,zhřešit,4,10.016,10.016,1.731,1.731
slunce,vidět,3,10.012,10.012,1.313,1.313
cesta,přímý,4,9.962,9.962,1.678,1.678
ježíš,kristus,9,9.962,9.962,2.848,2.848
boží,dokonalý,3,9.942,9.942,1.242,1.242
duše,trápit,3,9.942,9.942,1.242,1.242
pokání,přijít,3,9.942,9.942,1.242,1.242
dělat,všecek,3,9.901,9.901,1.202,1.202
den,léta,6,9.901,9.901,2.202,2.202
den,užívat,3,9.901,9.901,1.202,1.202
milosrdenství,vysoký,4,9.901,9.901,1.617,1.617
milostiv,pravost,3,9.875,9.875,1.175,1.175
mistře,život,3,9.849,9.849,1.149,1.149
kristus,láska,3,9.81,9.81,1.111,1.111
cesta,učit,3,9.81,9.81,1.111,1.111
cesta,převrácený,3,9.81,9.81,1.111,1.111
dům,izraelský,8,9.806,9.806,2.522,2.522
město,voda,3,9.786,9.786,1.086,1.086
teba,toba,3,9.786,9.786,1.086,1.086
líbit,vidět,3,9.749,9.749,1.05,1.05
dům,jákobův,3,9.713,9.713,1.014,1.014
ježíš,pán,8,9.672,9.672,2.388,2.388
kristus,tělo,4,9.64,9.64,1.356,1.356
díky,činit,3,9.628,9.628,0.929,0.929
horší,věc,3,9.611,9.611,0.912,0.912
skrz,víra,3,9.601,9.601,0.901,0.901
egyptský,země,3,9.579,9.579,0.88,0.88
soud,vynášet,3,9.579,9.579,0.88,0.88
padnout,země,3,9.579,9.579,0.88,0.88
odpustit,samý,3,9.568,9.568,0.869,0.869
cesta,stezka,4,9.547,9.547,1.263,1.263
člověk,řko,3,9.527,9.527,0.827,0.827
lež,svědek,4,9.524,9.524,1.24,1.24
bydlit,země,4,9.509,9.509,1.224,1.224
odvrátit,živý,3,9.496,9.496,0.797,0.797
nenávidět,nepřítel,12,9.469,9.469,2.769,2.769
město,všecek,5,9.468,9.468,1.506,1.506
obrátit,oko,3,9.442,9.442,0.742,0.742
chléb,oko,3,9.442,9.442,0.742,0.742
bezbožnost,spravedlnost,4,9.442,9.442,1.157,1.157
duch,tělo,3,9.427,9.427,0.728,0.728
bližní,každý,4,9.402,9.402,1.118,1.118
jméno,svatý,3,9.398,9.398,0.699,0.699
bývat,oheň,3,9.398,9.398,0.699,0.699
líbost,mít,4,9.384,9.384,1.1,1.1
pokoj,čas,4,9.357,9.357,1.072,1.072
přijít,volat,3,9.357,9.357,0.657,0.657
slyšet,svatý,3,9.32,9.32,0.621,0.621
jiný,slyšet,3,9.32,9.32,0.621,0.621
den,všecky,3,9.316,9.316,0.617,0.617
vyplénit,země,3,9.316,9.316,0.617,0.617
užitek,země,4,9.316,9.316,1.032,1.032
milosrdenství,nebe,3,9.316,9.316,0.617,0.617
kristus,víra,4,9.299,9.299,1.015,1.015
tělo,živý,3,9.29,9.29,0.59,0.59
jeden,každý,14,9.276,9.276,2.8,2.8
jeden,mistře,3,9.264,9.264,0.564,0.564
voda,všecka,3,9.255,9.255,0.556,0.556
