word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
kadit,popouzet,3,14.426,14.426,6.763,6.763
kmen,vinný,3,14.426,14.426,6.763,6.763
stráž,síň,3,14.104,14.104,6.441,6.441
pahrbek,údolí,3,14.011,14.011,6.348,6.348
cizí,popouzet,3,13.841,13.841,6.178,6.178
troj,čtver,6,13.841,13.841,7.178,7.178
ovce,pást,3,13.689,13.689,6.026,6.026
rozptýlený,shromáždit,3,13.618,13.618,5.955,5.955
mrtvý,tělo,3,13.618,13.618,5.955,5.955
odpustit,troj,4,13.519,13.519,6.271,6.271
odpustit,čtver,4,13.519,13.519,6.271,6.271
cizí,kadit,3,13.426,13.426,5.763,5.763
faraon,hebrejský,3,13.426,13.426,5.763,5.763
poslední,první,3,13.203,13.203,5.54,5.54
pustit,strach,3,13.203,13.203,5.54,5.54
faraon,propus,4,13.104,13.104,5.856,5.856
propus,sloužit,4,13.104,13.104,5.856,5.856
hebrejský,mojžíš,3,13.104,13.104,5.441,5.441
tři,vysvobodit,3,13.104,13.104,5.441,5.441
nikoli,vysvobodit,3,13.104,13.104,5.441,5.441
mnohý,přikrýt,3,13.104,13.104,5.441,5.441
pohostina,tam,3,13.104,13.104,5.441,5.441
amosův,izaiáš,4,12.966,12.966,5.718,5.718
sedět,stolice,3,12.881,12.881,5.218,5.218
soud,spravedlnost,3,12.881,12.881,5.218,5.218
ezechiáš,vidět,3,12.841,12.841,5.178,5.178
pahrbek,potok,3,12.841,12.841,5.178,5.178
potok,údolí,3,12.841,12.841,5.178,5.178
mojžíš,propus,4,12.782,12.782,5.534,5.534
ezechiáš,izaiáš,5,12.703,12.703,5.777,5.777
ohlásit,volat,3,12.689,12.689,5.026,5.026
hlad,mor,5,12.618,12.618,5.692,5.692
troj,šlechetnost,6,12.618,12.618,5.955,5.955
čtver,šlechetnost,6,12.618,12.618,5.955,5.955
davidův,stolice,3,12.618,12.618,4.955,4.955
hovada,vyhubit,3,12.551,12.551,4.888,4.888
zvěř,živ,3,12.551,12.551,4.888,4.888
nebe,síma,3,12.551,12.551,4.888,4.888
obr,tvář,3,12.519,12.519,4.856,4.856
prchlivost,vylitý,3,12.519,12.519,4.856,4.856
bezpečně,bydlit,3,12.519,12.519,4.856,4.856
skrýt,tvář,3,12.519,12.519,4.856,4.856
faraon,mojžíš,5,12.426,12.426,5.5,5.5
obr,prorokovat,3,12.338,12.338,4.675,4.675
