word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
kbelík,nádobce,3,16.614,16.614,6.937,6.937
jozadakův,salatielův,3,16.614,16.614,6.937,6.937
onychinový,vsazování,3,16.614,16.614,6.937,6.937
koltra,očkovatý,3,16.614,16.614,6.937,6.937
obrazový,sluneční,3,16.614,16.614,6.937,6.937
jatra,kryjící,3,16.199,16.199,6.522,6.522
chlupový,zbělet,4,16.199,16.199,6.937,6.937
jozadakov,salatielov,3,15.877,15.877,6.2,6.2
vedený,zabití,3,15.877,15.877,6.2,6.2
iškariotský,zradit,3,15.877,15.877,6.2,6.2
osnova,outek,5,15.877,15.877,6.937,6.937
humna,jebuzejský,3,15.784,15.784,6.107,6.107
smilstvo,udávený,3,15.784,15.784,6.107,6.107
dvadcítiletý,výše,3,15.614,15.614,5.937,5.937
koltra,přikrytí,3,15.614,15.614,5.937,5.937
očkovatý,přikrytí,3,15.614,15.614,5.937,5.937
pomezí,západní,3,15.614,15.614,5.937,5.937
jatra,slabina,4,15.614,15.614,6.352,6.352
kryjící,slabina,3,15.614,15.614,5.937,5.937
odjímat,všecken,3,15.614,15.614,5.937,5.937
slitina,terafim,3,15.614,15.614,5.937,5.937
biskupova,uťít,4,15.555,15.555,6.293,6.293
cherubín,křídlo,3,15.391,15.391,5.715,5.715
hudebný,nástroj,4,15.391,15.391,6.13,6.13
mužský,pohlaví,6,15.391,15.391,6.715,6.715
koltra,zastření,3,15.391,15.391,5.715,5.715
očkovatý,zastření,3,15.391,15.391,5.715,5.715
iškariotský,jidáš,3,15.391,15.391,5.715,5.715
pomaž,vylej,3,15.391,15.391,5.715,5.715
dvé,holoubátka,6,15.391,15.391,6.715,6.715
horlit,horlivost,3,15.391,15.391,5.715,5.715
balák,balám,5,15.351,15.351,6.411,6.411
ocas,přikrývající,4,15.292,15.292,6.03,6.03
biskupova,udeřit,4,15.292,15.292,6.03,6.03
udeřit,uťít,4,15.292,15.292,6.03,6.03
hluboký,černý,4,15.292,15.292,6.03,6.03
kožený,osnova,4,15.292,15.292,6.03,6.03
kožený,outek,4,15.292,15.292,6.03,6.03
banaiáš,joiadov,3,15.199,15.199,5.522,5.522
joiadov,sádocha,3,15.199,15.199,5.522,5.522
salatielov,zorobábel,3,15.199,15.199,5.522,5.522
jozadakův,zorobábel,3,15.199,15.199,5.522,5.522
salatielův,zorobábel,3,15.199,15.199,5.522,5.522
aman,kůň,3,15.199,15.199,5.522,5.522
jezevčí,červeno,3,15.199,15.199,5.522,5.522
svícení,červeno,3,15.199,15.199,5.522,5.522
droba,játra,3,15.199,15.199,5.522,5.522
droba,přikrývající,3,15.199,15.199,5.522,5.522
len,vlna,3,15.199,15.199,5.522,5.522
rytina,slitina,3,15.199,15.199,5.522,5.522
elí,sílo,3,15.14,15.14,5.463,5.463
tinecský,vrátní,3,15.14,15.14,5.463,5.463
holoubátka,hrdlička,5,15.128,15.128,6.189,6.189
joáb,sarvie,4,15.069,15.069,5.808,5.808
jidáš,zradit,4,15.069,15.069,5.808,5.808
vlas,černý,4,15.069,15.069,5.808,5.808
postavec,šarla,3,15.029,15.029,5.352,5.352
játra,přikrývající,4,15.029,15.029,5.767,5.767
východní,západní,3,15.029,15.029,5.352,5.352
jatra,ledvinka,4,15.029,15.029,5.767,5.767
jatra,střevo,4,15.029,15.029,5.767,5.767
kryjící,ledvinka,3,15.029,15.029,5.352,5.352
kryjící,střevo,3,15.029,15.029,5.352,5.352
spodek,vylej,3,15.029,15.029,5.352,5.352
hluboký,způsob,4,15.029,15.029,5.767,5.767
vrabce,yzopa,4,15.029,15.029,5.767,5.767
koza,samec,3,14.976,14.976,5.3,5.3
babylonský,sedechiáš,3,14.976,14.976,5.3,5.3
jezevčí,přikrytí,5,14.936,14.936,5.996,5.996
kož,přikrytí,5,14.936,14.936,5.996,5.996
cedrový,vrabce,5,14.936,14.936,5.996,5.996
cedrový,yzopa,5,14.936,14.936,5.996,5.996
