word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
méza,nahat,3,17.89,17.89,6.38,6.38
achoborův,bálanan,3,17.89,17.89,6.38,6.38
jonadaba,rechabov,3,17.89,17.89,6.38,6.38
ava,sefarvaim,3,17.89,17.89,6.38,6.38
gessuri,machati,3,17.89,17.89,6.38,6.38
hegl,mahl,3,17.89,17.89,6.38,6.38
hegl,noa,3,17.89,17.89,6.38,6.38
mahl,noa,3,17.89,17.89,6.38,6.38
salamiel,surisaddai,3,17.89,17.89,6.38,6.38
elisur,sedeurův,3,17.89,17.89,6.38,6.38
chusan,risataimský,3,17.89,17.89,6.38,6.38
salmuna,zebaha,3,17.89,17.89,6.38,6.38
bičík,uzlovatý,4,17.475,17.475,6.38,6.38
hra,onan,3,17.475,17.475,5.965,5.965
híra,ikeš,3,17.475,17.475,5.965,5.965
ikeš,tekoitský,3,17.475,17.475,5.965,5.965
nůž,ostrý,3,17.475,17.475,5.965,5.965
chutný,krmě,4,17.475,17.475,6.38,6.38
hegl,melcha,3,17.475,17.475,5.965,5.965
hegl,salfad,3,17.475,17.475,5.965,5.965
mahl,melcha,3,17.475,17.475,5.965,5.965
mahl,salfad,3,17.475,17.475,5.965,5.965
melcha,noa,3,17.475,17.475,5.965,5.965
noa,salfad,3,17.475,17.475,5.965,5.965
iškariotský,matouš,3,17.475,17.475,5.965,5.965
matouš,tomáš,3,17.475,17.475,5.965,5.965
ahiezer,amisaddai,4,17.475,17.475,6.38,6.38
třidcítiletý,způsobní,4,17.475,17.475,6.38,6.38
abizag,sunamitská,5,17.153,17.153,6.38,6.38
bič,bičík,4,17.153,17.153,6.058,6.058
bič,uzlovatý,4,17.153,17.153,6.058,6.058
javan,tubal,3,17.153,17.153,5.643,5.643
méza,rahuel,3,17.153,17.153,5.643,5.643
nahat,rahuel,3,17.153,17.153,5.643,5.643
cheretejský,peletejský,5,17.153,17.153,6.38,6.38
vzíst,zadělat,3,17.153,17.153,5.643,5.643
karmelský,nábale,3,17.153,17.153,5.643,5.643
eliakim,helkiášův,4,17.153,17.153,6.058,6.058
eliakim,sobn,5,17.153,17.153,6.38,6.38
helkiášův,sobn,4,17.153,17.153,6.058,6.058
iškariotský,jidáš,4,17.153,17.153,6.058,6.058
jidáš,matouš,3,17.153,17.153,5.643,5.643
elisur,rubenův,3,17.153,17.153,5.643,5.643
rubenův,sedeurův,3,17.153,17.153,5.643,5.643
padesátiletý,třidcítiletý,4,17.153,17.153,6.058,6.058
padesátiletý,způsobní,4,17.153,17.153,6.058,6.058
salmun,zebah,5,17.153,17.153,6.38,6.38
estaol,zaraha,4,17.153,17.153,6.058,6.058
híra,tekoitský,3,17.06,17.06,5.55,5.55
požívající,prsí,3,17.06,17.06,5.55,5.55
abel,kain,3,17.06,17.06,5.55,5.55
melcha,salfad,3,17.06,17.06,5.55,5.55
iškariotský,tomáš,3,17.06,17.06,5.55,5.55
sanballat,tobiáš,3,17.06,17.06,5.55,5.55
aminadabův,názon,3,17.06,17.06,5.55,5.55
elizea,safatov,3,16.89,16.89,5.38,5.38
