word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
podnož,seď,3,15.157,15.157,6.162,6.162
sirotek,vdova,3,14.742,14.742,5.747,5.747
dík,činění,5,14.42,14.42,6.162,6.162
obřízka,obřízkat,3,14.42,14.42,5.425,5.425
gomora,sodoma,3,14.42,14.42,5.425,5.425
vyvyšiž,všeck,3,14.157,14.157,5.162,5.162
podnož,položit,3,13.935,13.935,4.939,4.939
podnož,pravice,3,13.935,13.935,4.939,4.939
podnož,tvý,3,13.935,13.935,4.939,4.939
položit,seď,3,13.935,13.935,4.939,4.939
pravice,seď,3,13.935,13.935,4.939,4.939
seď,tvý,3,13.935,13.935,4.939,4.939
trouba,troubení,3,13.935,13.935,4.939,4.939
nápoj,víno,3,13.742,13.742,4.747,4.747
půlnoční,strana,3,13.742,13.742,4.747,4.747
stříbro,zlato,3,13.42,13.42,4.425,4.425
mudrc,oznámit,3,13.42,13.42,4.425,4.425
zpívat,žalma,5,13.283,13.283,5.024,5.024
hrad,útočiště,3,13.198,13.198,4.202,4.202
gomora,podobný,3,13.157,13.157,4.162,4.162
dědičně,obdržet,6,13.06,13.06,5.065,5.065
noha,podnož,3,13.042,13.042,4.046,4.046
noha,seď,3,13.042,13.042,4.046,4.046
slunce,západ,5,12.935,12.935,4.676,4.676
jan,křtít,3,12.935,12.935,3.939,3.939
oběť,ohnivý,5,12.894,12.894,4.636,4.636
ohavnost,závaží,3,12.835,12.835,3.84,3.84
poslední,první,3,12.742,12.742,3.747,3.747
položit,pravice,3,12.712,12.712,3.717,3.717
položit,tvý,3,12.712,12.712,3.717,3.717
pravice,tvý,3,12.712,12.712,3.717,3.717
dědičně,vládnout,4,12.698,12.698,4.117,4.117
spustit,žeť,4,12.654,12.654,4.074,4.074
marnost,trápení,6,12.546,12.546,4.55,4.55
pomazaný,vztáhnout,3,12.52,12.52,3.524,3.524
léta,sto,3,12.42,12.42,3.425,3.425
podobný,sodoma,3,12.42,12.42,3.425,3.425
spustit,živ,4,12.35,12.35,3.769,3.769
anděl,manue,3,12.35,12.35,3.354,3.354
dobrota,milosrdenství,3,12.327,12.327,3.332,3.332
naděje,skládat,3,12.218,12.218,3.223,3.223
filistinský,vojsko,3,12.198,12.198,3.202,3.202
příbytek,stánek,3,12.157,12.157,3.162,3.162
hojný,onť,3,12.157,12.157,3.162,3.162
oheň,spálit,4,12.042,12.042,3.461,3.461
oheň,plamen,3,12.042,12.042,3.046,3.046
nepřítel,podnož,3,12.042,12.042,3.046,3.046
nepřítel,seď,3,12.042,12.042,3.046,3.046
hrad,vysoký,5,12.009,12.009,3.75,3.75
nést,pravost,3,12.005,12.005,3.01,3.01
mrtvý,vstát,5,11.976,11.976,3.718,3.718
druhý,láska,3,11.935,11.935,2.939,2.939
jákobův,říkajíc,3,11.935,11.935,2.939,2.939
