word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
mrzký,zisk,3,15.417,15.417,6.338,6.338
jed,lítý,3,15.417,15.417,6.338,6.338
had,jed,3,15.002,15.002,5.923,5.923
had,lítý,3,15.002,15.002,5.923,5.923
báruch,jeremiáš,3,15.002,15.002,5.923,5.923
jeremiáš,sepsat,3,15.002,15.002,5.923,5.923
maličký,pohoršit,3,15.002,15.002,5.923,5.923
maličký,žernov,3,15.002,15.002,5.923,5.923
jeremiáš,jeremiášův,3,14.68,14.68,5.601,5.601
báruch,sepsat,3,14.587,14.587,5.508,5.508
pohoršit,žernov,3,14.587,14.587,5.508,5.508
uvržený,vjít,3,14.587,14.587,5.508,5.508
výsost,zkažený,3,14.417,14.417,5.338,5.338
dásní,přilnout,3,14.417,14.417,5.338,5.338
hrdlo,maličký,3,14.417,14.417,5.338,5.338
báruch,jeremiášův,3,14.265,14.265,5.186,5.186
jeremiášův,sepsat,3,14.265,14.265,5.186,5.186
oběť,přinést,3,14.002,14.002,4.923,4.923
báruch,kniha,4,14.002,14.002,5.338,5.338
jeremiáš,kniha,3,14.002,14.002,4.923,4.923
hrdlo,pohoršit,3,14.002,14.002,4.923,4.923
hrdlo,žernov,3,14.002,14.002,4.923,4.923
ledev,zkušovat,3,13.943,13.943,4.864,4.864
léta,čtyřidcet,4,13.873,13.873,5.209,5.209
klekat,koleno,3,13.832,13.832,4.753,4.753
med,sladký,4,13.832,13.832,5.168,5.168
jeruzalémský,obyvatel,3,13.779,13.779,4.701,4.701
bydlit,svárlivý,3,13.779,13.779,4.701,4.701
pálit,vstoupit,3,13.68,13.68,4.601,4.601
dnes,popuzení,3,13.68,13.68,4.601,4.601
kniha,sepsat,3,13.587,13.587,4.508,4.508
mající,uvržený,3,13.587,13.587,4.508,4.508
mající,vjít,3,13.587,13.587,4.508,4.508
popuzení,uslyšet,3,13.542,13.542,4.464,4.464
náramně,šalomounův,3,13.417,13.417,4.338,4.338
díl,oběť,3,13.417,13.417,4.338,4.338
moře,pohoršit,3,13.417,13.417,4.338,4.338
pozdvihnout,zmocnit,3,13.301,13.301,4.223,4.223
krajina,čeleď,3,13.265,13.265,4.186,4.186
jeremiášův,kniha,3,13.265,13.265,4.186,4.186
oběť,ochotný,3,13.194,13.194,4.116,4.116
krajina,vedlý,5,13.002,13.002,4.66,4.66
dokudž,vykonat,3,12.943,12.943,3.864,3.864
vedlý,čeleď,3,12.943,12.943,3.864,3.864
dnes,zatvrzovat,3,12.943,12.943,3.864,3.864
divný,skutek,4,12.914,12.914,4.251,4.251
odplatit,skutek,3,12.914,12.914,3.836,3.836
hlas,popuzení,3,12.914,12.914,3.836,3.836
porazit,pozdvihnout,3,12.886,12.886,3.808,3.808
stříbro,zlato,9,12.886,12.886,5.393,5.393
vůle,činíce,3,12.832,12.832,3.753,3.753
svědek,tři,4,12.832,12.832,4.168,4.168
uslyšet,zatvrzovat,3,12.805,12.805,3.727,3.727
pokrm,stůl,3,12.779,12.779,3.701,3.701
znamení,zázrak,3,12.779,12.779,3.701,3.701
dva,svědek,4,12.716,12.716,4.053,4.053
dým,oheň,3,12.68,12.68,3.601,3.601
oheň,pekelný,3,12.68,12.68,3.601,3.601
člověčí,řkoucí,3,12.61,12.61,3.531,3.531
oslavovat,zpívat,3,12.61,12.61,3.531,3.531
skrytý,tajemství,3,12.587,12.587,3.508,3.508
faraonův,zsilit,3,12.587,12.587,3.508,3.508
bližní,obmýšlet,3,12.564,12.564,3.486,3.486
meč,ostrý,4,12.51,12.51,3.846,3.846
hlas,vydávat,3,12.499,12.499,3.421,3.421
krajina,písmo,3,12.417,12.417,3.338,3.338
slýt,člověčí,3,12.417,12.417,3.338,3.338
chudý,nuzný,4,12.417,12.417,3.753,3.753
david,saulův,4,12.358,12.358,3.694,3.694
lest,obmýšlet,3,12.358,12.358,3.279,3.279
voda,řeka,3,12.339,12.339,3.26,3.26
podobný,šelma,3,12.265,12.265,3.186,3.186
krajina,královský,3,12.265,12.265,3.186,3.186
oheň,uvržený,3,12.265,12.265,3.186,3.186
oheň,vjít,3,12.265,12.265,3.186,3.186
obrátit,uzdravit,3,12.247,12.247,3.168,3.168
strom,život,3,12.247,12.247,3.168,3.168
dnes,uslyšet,4,12.22,12.22,3.557,3.557
stříbro,výborný,3,12.194,12.194,3.116,3.116
hlas,zatvrzovat,3,12.177,12.177,3.099,3.099
jiný,spálit,3,12.144,12.144,3.065,3.065
kníže,znamenitý,3,12.127,12.127,3.049,3.049
faraonův,propustit,6,12.127,12.127,4.049,4.049
chodit,zdání,3,12.127,12.127,3.049,3.049
práce,veselit,3,12.127,12.127,3.049,3.049
bratr,věrný,3,12.095,12.095,3.016,3.016
královský,písmo,3,12.095,12.095,3.016,3.016
opatrnost,prozřetelnost,3,12.095,12.095,3.016,3.016
dva,tři,5,12.038,12.038,3.697,3.697
judský,kniha,3,12.002,12.002,2.923,2.923
lživý,marnost,3,11.972,11.972,2.893,2.893
láska,víra,4,11.957,11.957,3.294,3.294
odpovídat,zdali,3,11.957,11.957,2.879,2.879
oblíčej,postavit,3,11.943,11.943,2.864,2.864
lest,nalezený,3,11.873,11.873,2.794,2.794
bezbožný,přikrývat,3,11.873,11.873,2.794,2.794
práce,slunce,4,11.842,11.842,3.178,3.178
opatrnost,utvrdit,3,11.832,11.832,2.753,2.753
pramen,život,3,11.832,11.832,2.753,2.753
uzdravit,vidět,3,11.792,11.792,2.714,2.714
hlas,uslyšet,5,11.777,11.777,3.435,3.435
prosit,teba,3,11.692,11.692,2.613,2.613
dávat,déš,3,11.68,11.68,2.601,2.601
svárlivý,žena,3,11.68,11.68,2.601,2.601
bláznovství,nemoudrost,3,11.61,11.61,2.531,2.531
dnes,hlas,4,11.592,11.592,2.929,2.929
národ,pronároda,3,11.576,11.576,2.497,2.497
přikázat,vstoupit,3,11.564,11.564,2.486,2.486
lépe,mnohem,5,11.51,11.51,3.168,3.168
lépe,maličký,3,11.51,11.51,2.431,2.431
lépe,uvržený,4,11.51,11.51,2.846,2.846
moci,zdržet,3,11.499,11.499,2.421,2.421
buď,pokoj,3,11.499,11.499,2.421,2.421
klekat,pán,3,11.478,11.478,2.4,2.4
jeden,maličký,3,11.447,11.447,2.369,2.369
bohatství,láska,3,11.427,11.427,2.348,2.348
dobře,vůle,3,11.417,11.417,2.338,2.338
